date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2016,クチコミ総合評価,2.82
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2017,クチコミ総合評価,2.81
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2018,クチコミ総合評価,2.82
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2019,クチコミ総合評価,2.92
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2020,クチコミ総合評価,2.97
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2021,クチコミ総合評価,2.89
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2022,クチコミ総合評価,2.89
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2023,クチコミ総合評価,2.77
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2024,クチコミ総合評価,2.95
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2025,クチコミ総合評価,2.94
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2016,待遇面の満足度,2.93
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2017,待遇面の満足度,2.88
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2018,待遇面の満足度,2.94
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2019,待遇面の満足度,3.18
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2020,待遇面の満足度,3.37
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2021,待遇面の満足度,3.2
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2022,待遇面の満足度,3.06
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2023,待遇面の満足度,2.96
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2024,待遇面の満足度,3
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2025,待遇面の満足度,3
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2016,社員の士気,2.67
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2017,社員の士気,2.66
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2018,社員の士気,2.62
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2019,社員の士気,2.69
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2020,社員の士気,2.61
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2021,社員の士気,2.6
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2022,社員の士気,2.69
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2023,社員の士気,2.54
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2024,社員の士気,2.54
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2025,社員の士気,2.67
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2016,風通しの良さ,2.71
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2017,風通しの良さ,2.77
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2018,風通しの良さ,2.83
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2019,風通しの良さ,2.85
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2020,風通しの良さ,2.88
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2021,風通しの良さ,2.85
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2022,風通しの良さ,2.97
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2023,風通しの良さ,2.85
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2024,風通しの良さ,2.92
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2025,風通しの良さ,3
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2016,社員の相互尊重,2.62
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2017,社員の相互尊重,2.7
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2018,社員の相互尊重,2.71
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2019,社員の相互尊重,2.76
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2020,社員の相互尊重,2.8
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2021,社員の相互尊重,2.78
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2022,社員の相互尊重,2.89
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2023,社員の相互尊重,2.81
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2024,社員の相互尊重,2.85
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2025,社員の相互尊重,2.67
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2016,20代成長環境,3.2
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2017,20代成長環境,3
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2018,20代成長環境,3.08
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2019,20代成長環境,3
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2020,20代成長環境,2.83
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2021,20代成長環境,2.9
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2022,20代成長環境,2.94
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2023,20代成長環境,2.92
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2024,20代成長環境,3.3
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2025,20代成長環境,3
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2016,人材の長期育成,2.28
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2017,人材の長期育成,2.34
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2018,人材の長期育成,2.33
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2019,人材の長期育成,2.35
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2020,人材の長期育成,2.29
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2021,人材の長期育成,2.2
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2022,人材の長期育成,2.22
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2023,人材の長期育成,2.12
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2024,人材の長期育成,2.46
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2025,人材の長期育成,2.33
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2016,法令順守意識,3.23
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2017,法令順守意識,3.34
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2018,法令順守意識,3.26
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2019,法令順守意識,3.52
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2020,法令順守意識,3.82
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2021,法令順守意識,3.64
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2022,法令順守意識,3.56
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2023,法令順守意識,3.43
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2024,法令順守意識,3.7
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2025,法令順守意識,3.61
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2016,人事評価の適正感,2.72
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2017,人事評価の適正感,2.66
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2018,人事評価の適正感,2.65
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2019,人事評価の適正感,2.72
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2020,人事評価の適正感,2.68
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2021,人事評価の適正感,2.6
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2022,人事評価の適正感,2.56
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2023,人事評価の適正感,2.38
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2024,人事評価の適正感,2.46
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2025,人事評価の適正感,3
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2016,有給休暇消化率,40.43
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2017,有給休暇消化率,42.77
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2018,有給休暇消化率,46.54
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2019,有給休暇消化率,48.15
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2020,有給休暇消化率,52.2
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2021,有給休暇消化率,51.38
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2022,有給休暇消化率,51.39
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2023,有給休暇消化率,50.96
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2024,有給休暇消化率,55.38
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2025,有給休暇消化率,56.67
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2016,残業時間(月間),34.19
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2017,残業時間(月間),29.88
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2018,残業時間(月間),26.6
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2019,残業時間(月間),26.48
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2020,残業時間(月間),24.15
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2021,残業時間(月間),24.33
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2022,残業時間(月間),25.08
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2023,残業時間(月間),24.73
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2024,残業時間(月間),22.31
2025/6/30,エア・ウォーター,4088,TOPIX Mid400,a0910000000Fqz2,2025,残業時間(月間),16.67
