date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2016,クチコミ総合評価,3.18
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2017,クチコミ総合評価,3.17
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2018,クチコミ総合評価,3.14
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2019,クチコミ総合評価,3.17
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2020,クチコミ総合評価,3.18
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2021,クチコミ総合評価,3.12
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2022,クチコミ総合評価,3.15
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2023,クチコミ総合評価,3.11
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2024,クチコミ総合評価,3.31
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2025,クチコミ総合評価,3.38
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2016,待遇面の満足度,3.64
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2017,待遇面の満足度,3.54
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2018,待遇面の満足度,3.48
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2019,待遇面の満足度,3.52
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2020,待遇面の満足度,3.57
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2021,待遇面の満足度,3.42
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2022,待遇面の満足度,3.52
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2023,待遇面の満足度,3.47
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2024,待遇面の満足度,3.7
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2025,待遇面の満足度,3.79
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2016,社員の士気,2.63
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2017,社員の士気,2.64
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2018,社員の士気,2.68
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2019,社員の士気,2.72
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2020,社員の士気,2.7
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2021,社員の士気,2.64
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2022,社員の士気,2.63
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2023,社員の士気,2.54
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2024,社員の士気,2.62
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2025,社員の士気,2.67
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2016,風通しの良さ,2.93
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2017,風通しの良さ,2.97
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2018,風通しの良さ,2.95
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2019,風通しの良さ,2.95
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2020,風通しの良さ,2.94
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2021,風通しの良さ,2.97
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2022,風通しの良さ,2.93
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2023,風通しの良さ,2.86
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2024,風通しの良さ,3.43
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2025,風通しの良さ,3.42
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2016,社員の相互尊重,3.32
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2017,社員の相互尊重,3.33
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2018,社員の相互尊重,3.2
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2019,社員の相互尊重,3.27
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2020,社員の相互尊重,3.3
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2021,社員の相互尊重,3.23
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2022,社員の相互尊重,3.14
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2023,社員の相互尊重,2.96
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2024,社員の相互尊重,3
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2025,社員の相互尊重,2.89
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2016,20代成長環境,2.75
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2017,20代成長環境,2.71
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2018,20代成長環境,2.72
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2019,20代成長環境,2.73
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2020,20代成長環境,2.7
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2021,20代成長環境,2.67
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2022,20代成長環境,2.72
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2023,20代成長環境,2.75
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2024,20代成長環境,3.15
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2025,20代成長環境,3.42
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2016,人材の長期育成,2.7
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2017,人材の長期育成,2.72
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2018,人材の長期育成,2.72
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2019,人材の長期育成,2.73
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2020,人材の長期育成,2.72
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2021,人材の長期育成,2.69
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2022,人材の長期育成,2.74
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2023,人材の長期育成,2.86
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2024,人材の長期育成,2.85
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2025,人材の長期育成,2.89
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2016,法令順守意識,4.38
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2017,法令順守意識,4.42
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2018,法令順守意識,4.46
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2019,法令順守意識,4.45
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2020,法令順守意識,4.5
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2021,法令順守意識,4.55
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2022,法令順守意識,4.52
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2023,法令順守意識,4.57
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2024,法令順守意識,4.5
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2025,法令順守意識,4.7
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2016,人事評価の適正感,2.41
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2017,人事評価の適正感,2.37
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2018,人事評価の適正感,2.37
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2019,人事評価の適正感,2.4
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2020,人事評価の適正感,2.37
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2021,人事評価の適正感,2.29
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2022,人事評価の適正感,2.49
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2023,人事評価の適正感,2.43
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2024,人事評価の適正感,2.46
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2025,人事評価の適正感,2.44
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2016,有給休暇消化率,54.15
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2017,有給休暇消化率,56.58
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2018,有給休暇消化率,55.26
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2019,有給休暇消化率,54.17
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2020,有給休暇消化率,53.87
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2021,有給休暇消化率,53.19
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2022,有給休暇消化率,54.19
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2023,有給休暇消化率,54.64
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2024,有給休暇消化率,58.85
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2025,有給休暇消化率,66.67
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2016,残業時間(月間),20.42
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2017,残業時間(月間),18.89
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2018,残業時間(月間),18.06
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2019,残業時間(月間),17.83
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2020,残業時間(月間),17.44
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2021,残業時間(月間),17.81
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2022,残業時間(月間),18.33
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2023,残業時間(月間),17.43
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2024,残業時間(月間),19.08
2025/6/30,日本触媒,4114,TOPIX Mid400,a0910000000FqzK,2025,残業時間(月間),17.56
