date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,三菱瓦斯化学,4182,TOPIX Mid400,a0910000000FqzS,2016,クチコミ総合評価,3.43
2025/6/30,三菱瓦斯化学,4182,TOPIX Mid400,a0910000000FqzS,2017,クチコミ総合評価,3.46
2025/6/30,三菱瓦斯化学,4182,TOPIX Mid400,a0910000000FqzS,2018,クチコミ総合評価,3.51
2025/6/30,三菱瓦斯化学,4182,TOPIX Mid400,a0910000000FqzS,2019,クチコミ総合評価,3.51
2025/6/30,三菱瓦斯化学,4182,TOPIX Mid400,a0910000000FqzS,2020,クチコミ総合評価,3.47
2025/6/30,三菱瓦斯化学,4182,TOPIX Mid400,a0910000000FqzS,2021,クチコミ総合評価,3.43
2025/6/30,三菱瓦斯化学,4182,TOPIX Mid400,a0910000000FqzS,2022,クチコミ総合評価,3.47
2025/6/30,三菱瓦斯化学,4182,TOPIX Mid400,a0910000000FqzS,2023,クチコミ総合評価,3.41
2025/6/30,三菱瓦斯化学,4182,TOPIX Mid400,a0910000000FqzS,2024,クチコミ総合評価,3.3
2025/6/30,三菱瓦斯化学,4182,TOPIX Mid400,a0910000000FqzS,2025,クチコミ総合評価,3.34
2025/6/30,三菱瓦斯化学,4182,TOPIX Mid400,a0910000000FqzS,2016,待遇面の満足度,4.08
2025/6/30,三菱瓦斯化学,4182,TOPIX Mid400,a0910000000FqzS,2017,待遇面の満足度,4.11
2025/6/30,三菱瓦斯化学,4182,TOPIX Mid400,a0910000000FqzS,2018,待遇面の満足度,4.19
2025/6/30,三菱瓦斯化学,4182,TOPIX Mid400,a0910000000FqzS,2019,待遇面の満足度,4.2
2025/6/30,三菱瓦斯化学,4182,TOPIX Mid400,a0910000000FqzS,2020,待遇面の満足度,4.24
2025/6/30,三菱瓦斯化学,4182,TOPIX Mid400,a0910000000FqzS,2021,待遇面の満足度,4.23
2025/6/30,三菱瓦斯化学,4182,TOPIX Mid400,a0910000000FqzS,2022,待遇面の満足度,4.34
2025/6/30,三菱瓦斯化学,4182,TOPIX Mid400,a0910000000FqzS,2023,待遇面の満足度,4.41
2025/6/30,三菱瓦斯化学,4182,TOPIX Mid400,a0910000000FqzS,2024,待遇面の満足度,4.34
2025/6/30,三菱瓦斯化学,4182,TOPIX Mid400,a0910000000FqzS,2025,待遇面の満足度,3.93
