date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,東京応化工業,4186,TOPIX Mid400,a0910000000FqzV,2016,クチコミ総合評価,2.65
2025/6/30,東京応化工業,4186,TOPIX Mid400,a0910000000FqzV,2017,クチコミ総合評価,2.62
2025/6/30,東京応化工業,4186,TOPIX Mid400,a0910000000FqzV,2018,クチコミ総合評価,2.74
2025/6/30,東京応化工業,4186,TOPIX Mid400,a0910000000FqzV,2019,クチコミ総合評価,2.74
2025/6/30,東京応化工業,4186,TOPIX Mid400,a0910000000FqzV,2020,クチコミ総合評価,2.68
2025/6/30,東京応化工業,4186,TOPIX Mid400,a0910000000FqzV,2021,クチコミ総合評価,2.68
2025/6/30,東京応化工業,4186,TOPIX Mid400,a0910000000FqzV,2022,クチコミ総合評価,3.01
2025/6/30,東京応化工業,4186,TOPIX Mid400,a0910000000FqzV,2023,クチコミ総合評価,2.97
2025/6/30,東京応化工業,4186,TOPIX Mid400,a0910000000FqzV,2024,クチコミ総合評価,2.7
2025/6/30,東京応化工業,4186,TOPIX Mid400,a0910000000FqzV,2025,クチコミ総合評価,2.6
2025/6/30,東京応化工業,4186,TOPIX Mid400,a0910000000FqzV,2016,待遇面の満足度,2.79
2025/6/30,東京応化工業,4186,TOPIX Mid400,a0910000000FqzV,2017,待遇面の満足度,2.91
2025/6/30,東京応化工業,4186,TOPIX Mid400,a0910000000FqzV,2018,待遇面の満足度,3
2025/6/30,東京応化工業,4186,TOPIX Mid400,a0910000000FqzV,2019,待遇面の満足度,3
2025/6/30,東京応化工業,4186,TOPIX Mid400,a0910000000FqzV,2020,待遇面の満足度,3
2025/6/30,東京応化工業,4186,TOPIX Mid400,a0910000000FqzV,2021,待遇面の満足度,3
2025/6/30,東京応化工業,4186,TOPIX Mid400,a0910000000FqzV,2022,待遇面の満足度,3.58
2025/6/30,東京応化工業,4186,TOPIX Mid400,a0910000000FqzV,2023,待遇面の満足度,3.48
2025/6/30,東京応化工業,4186,TOPIX Mid400,a0910000000FqzV,2024,待遇面の満足度,3.3
2025/6/30,東京応化工業,4186,TOPIX Mid400,a0910000000FqzV,2025,待遇面の満足度,3
2025/6/30,東京応化工業,4186,TOPIX Mid400,a0910000000FqzV,2016,社員の士気,2.23
2025/6/30,東京応化工業,4186,TOPIX Mid400,a0910000000FqzV,2017,社員の士気,2.19
2025/6/30,東京応化工業,4186,TOPIX Mid400,a0910000000FqzV,2018,社員の士気,2.23
2025/6/30,東京応化工業,4186,TOPIX Mid400,a0910000000FqzV,2019,社員の士気,2.23
2025/6/30,東京応化工業,4186,TOPIX Mid400,a0910000000FqzV,2020,社員の士気,2.18
2025/6/30,東京応化工業,4186,TOPIX Mid400,a0910000000FqzV,2021,社員の士気,2.18
