date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,三菱ケミカルグループ,4188,TOPIX Large70,a0910000000FqzX,2015,クチコミ総合評価,2.94
2025/6/30,三菱ケミカルグループ,4188,TOPIX Large70,a0910000000FqzX,2016,クチコミ総合評価,2.98
2025/6/30,三菱ケミカルグループ,4188,TOPIX Large70,a0910000000FqzX,2017,クチコミ総合評価,3.01
2025/6/30,三菱ケミカルグループ,4188,TOPIX Large70,a0910000000FqzX,2018,クチコミ総合評価,3.01
2025/6/30,三菱ケミカルグループ,4188,TOPIX Large70,a0910000000FqzX,2019,クチコミ総合評価,3.01
2025/6/30,三菱ケミカルグループ,4188,TOPIX Large70,a0910000000FqzX,2020,クチコミ総合評価,2.99
2025/6/30,三菱ケミカルグループ,4188,TOPIX Large70,a0910000000FqzX,2021,クチコミ総合評価,2.99
2025/6/30,三菱ケミカルグループ,4188,TOPIX Large70,a0910000000FqzX,2022,クチコミ総合評価,3.03
2025/6/30,三菱ケミカルグループ,4188,TOPIX Large70,a0910000000FqzX,2023,クチコミ総合評価,3.12
2025/6/30,三菱ケミカルグループ,4188,TOPIX Large70,a0910000000FqzX,2024,クチコミ総合評価,3.22
2025/6/30,三菱ケミカルグループ,4188,TOPIX Large70,a0910000000FqzX,2015,待遇面の満足度,2.52
2025/6/30,三菱ケミカルグループ,4188,TOPIX Large70,a0910000000FqzX,2016,待遇面の満足度,2.58
2025/6/30,三菱ケミカルグループ,4188,TOPIX Large70,a0910000000FqzX,2017,待遇面の満足度,2.61
2025/6/30,三菱ケミカルグループ,4188,TOPIX Large70,a0910000000FqzX,2018,待遇面の満足度,2.61
2025/6/30,三菱ケミカルグループ,4188,TOPIX Large70,a0910000000FqzX,2019,待遇面の満足度,2.57
2025/6/30,三菱ケミカルグループ,4188,TOPIX Large70,a0910000000FqzX,2020,待遇面の満足度,2.45
2025/6/30,三菱ケミカルグループ,4188,TOPIX Large70,a0910000000FqzX,2021,待遇面の満足度,2.57
2025/6/30,三菱ケミカルグループ,4188,TOPIX Large70,a0910000000FqzX,2022,待遇面の満足度,2.55
2025/6/30,三菱ケミカルグループ,4188,TOPIX Large70,a0910000000FqzX,2023,待遇面の満足度,2.48
2025/6/30,三菱ケミカルグループ,4188,TOPIX Large70,a0910000000FqzX,2024,待遇面の満足度,2.8
2025/6/30,三菱ケミカルグループ,4188,TOPIX Large70,a0910000000FqzX,2015,社員の士気,2.54
2025/6/30,三菱ケミカルグループ,4188,TOPIX Large70,a0910000000FqzX,2016,社員の士気,2.54
2025/6/30,三菱ケミカルグループ,4188,TOPIX Large70,a0910000000FqzX,2017,社員の士気,2.57
2025/6/30,三菱ケミカルグループ,4188,TOPIX Large70,a0910000000FqzX,2018,社員の士気,2.57
2025/6/30,三菱ケミカルグループ,4188,TOPIX Large70,a0910000000FqzX,2019,社員の士気,2.53
2025/6/30,三菱ケミカルグループ,4188,TOPIX Large70,a0910000000FqzX,2020,社員の士気,2.57
2025/6/30,三菱ケミカルグループ,4188,TOPIX Large70,a0910000000FqzX,2021,社員の士気,2.62
2025/6/30,三菱ケミカルグループ,4188,TOPIX Large70,a0910000000FqzX,2022,社員の士気,2.51
2025/6/30,三菱ケミカルグループ,4188,TOPIX Large70,a0910000000FqzX,2023,社員の士気,2.43
2025/6/30,三菱ケミカルグループ,4188,TOPIX Large70,a0910000000FqzX,2024,社員の士気,2.57
2025/6/30,三菱ケミカルグループ,4188,TOPIX Large70,a0910000000FqzX,2015,風通しの良さ,2.8
2025/6/30,三菱ケミカルグループ,4188,TOPIX Large70,a0910000000FqzX,2016,風通しの良さ,2.89
2025/6/30,三菱ケミカルグループ,4188,TOPIX Large70,a0910000000FqzX,2017,風通しの良さ,2.82
2025/6/30,三菱ケミカルグループ,4188,TOPIX Large70,a0910000000FqzX,2018,風通しの良さ,2.86
2025/6/30,三菱ケミカルグループ,4188,TOPIX Large70,a0910000000FqzX,2019,風通しの良さ,2.84
2025/6/30,三菱ケミカルグループ,4188,TOPIX Large70,a0910000000FqzX,2020,風通しの良さ,2.83
2025/6/30,三菱ケミカルグループ,4188,TOPIX Large70,a0910000000FqzX,2021,風通しの良さ,2.9
2025/6/30,三菱ケミカルグループ,4188,TOPIX Large70,a0910000000FqzX,2022,風通しの良さ,3
2025/6/30,三菱ケミカルグループ,4188,TOPIX Large70,a0910000000FqzX,2023,風通しの良さ,3.27
2025/6/30,三菱ケミカルグループ,4188,TOPIX Large70,a0910000000FqzX,2024,風通しの良さ,3.4
2025/6/30,三菱ケミカルグループ,4188,TOPIX Large70,a0910000000FqzX,2015,社員の相互尊重,3.37
2025/6/30,三菱ケミカルグループ,4188,TOPIX Large70,a0910000000FqzX,2016,社員の相互尊重,3.52
2025/6/30,三菱ケミカルグループ,4188,TOPIX Large70,a0910000000FqzX,2017,社員の相互尊重,3.56
2025/6/30,三菱ケミカルグループ,4188,TOPIX Large70,a0910000000FqzX,2018,社員の相互尊重,3.52
2025/6/30,三菱ケミカルグループ,4188,TOPIX Large70,a0910000000FqzX,2019,社員の相互尊重,3.57
2025/6/30,三菱ケミカルグループ,4188,TOPIX Large70,a0910000000FqzX,2020,社員の相互尊重,3.48
2025/6/30,三菱ケミカルグループ,4188,TOPIX Large70,a0910000000FqzX,2021,社員の相互尊重,3.36
2025/6/30,三菱ケミカルグループ,4188,TOPIX Large70,a0910000000FqzX,2022,社員の相互尊重,3.24
2025/6/30,三菱ケミカルグループ,4188,TOPIX Large70,a0910000000FqzX,2023,社員の相互尊重,3.52
2025/6/30,三菱ケミカルグループ,4188,TOPIX Large70,a0910000000FqzX,2024,社員の相互尊重,3.4
