date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,ダイセル,4202,TOPIX Mid400,a0910000000FqzZ,2016,クチコミ総合評価,3.06
2025/6/30,ダイセル,4202,TOPIX Mid400,a0910000000FqzZ,2017,クチコミ総合評価,3.07
2025/6/30,ダイセル,4202,TOPIX Mid400,a0910000000FqzZ,2018,クチコミ総合評価,3.07
2025/6/30,ダイセル,4202,TOPIX Mid400,a0910000000FqzZ,2019,クチコミ総合評価,3.07
2025/6/30,ダイセル,4202,TOPIX Mid400,a0910000000FqzZ,2020,クチコミ総合評価,3.08
2025/6/30,ダイセル,4202,TOPIX Mid400,a0910000000FqzZ,2021,クチコミ総合評価,3.05
2025/6/30,ダイセル,4202,TOPIX Mid400,a0910000000FqzZ,2022,クチコミ総合評価,3.07
2025/6/30,ダイセル,4202,TOPIX Mid400,a0910000000FqzZ,2023,クチコミ総合評価,2.98
2025/6/30,ダイセル,4202,TOPIX Mid400,a0910000000FqzZ,2024,クチコミ総合評価,3
2025/6/30,ダイセル,4202,TOPIX Mid400,a0910000000FqzZ,2025,クチコミ総合評価,3.01
2025/6/30,ダイセル,4202,TOPIX Mid400,a0910000000FqzZ,2016,待遇面の満足度,3.18
2025/6/30,ダイセル,4202,TOPIX Mid400,a0910000000FqzZ,2017,待遇面の満足度,3.3
2025/6/30,ダイセル,4202,TOPIX Mid400,a0910000000FqzZ,2018,待遇面の満足度,3.36
2025/6/30,ダイセル,4202,TOPIX Mid400,a0910000000FqzZ,2019,待遇面の満足度,3.42
2025/6/30,ダイセル,4202,TOPIX Mid400,a0910000000FqzZ,2020,待遇面の満足度,3.43
2025/6/30,ダイセル,4202,TOPIX Mid400,a0910000000FqzZ,2021,待遇面の満足度,3.48
2025/6/30,ダイセル,4202,TOPIX Mid400,a0910000000FqzZ,2022,待遇面の満足度,3.62
2025/6/30,ダイセル,4202,TOPIX Mid400,a0910000000FqzZ,2023,待遇面の満足度,3.46
2025/6/30,ダイセル,4202,TOPIX Mid400,a0910000000FqzZ,2024,待遇面の満足度,3.61
2025/6/30,ダイセル,4202,TOPIX Mid400,a0910000000FqzZ,2025,待遇面の満足度,3.66
2025/6/30,ダイセル,4202,TOPIX Mid400,a0910000000FqzZ,2016,社員の士気,2.53
2025/6/30,ダイセル,4202,TOPIX Mid400,a0910000000FqzZ,2017,社員の士気,2.52
