date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,積水化学工業,4204,TOPIX Mid400,a0910000000Fqzb,2016,クチコミ総合評価,3.48
2025/6/30,積水化学工業,4204,TOPIX Mid400,a0910000000Fqzb,2017,クチコミ総合評価,3.51
2025/6/30,積水化学工業,4204,TOPIX Mid400,a0910000000Fqzb,2018,クチコミ総合評価,3.51
2025/6/30,積水化学工業,4204,TOPIX Mid400,a0910000000Fqzb,2019,クチコミ総合評価,3.54
2025/6/30,積水化学工業,4204,TOPIX Mid400,a0910000000Fqzb,2020,クチコミ総合評価,3.62
2025/6/30,積水化学工業,4204,TOPIX Mid400,a0910000000Fqzb,2021,クチコミ総合評価,3.71
2025/6/30,積水化学工業,4204,TOPIX Mid400,a0910000000Fqzb,2022,クチコミ総合評価,3.7
2025/6/30,積水化学工業,4204,TOPIX Mid400,a0910000000Fqzb,2023,クチコミ総合評価,3.9
2025/6/30,積水化学工業,4204,TOPIX Mid400,a0910000000Fqzb,2024,クチコミ総合評価,3.95
2025/6/30,積水化学工業,4204,TOPIX Mid400,a0910000000Fqzb,2025,クチコミ総合評価,4.02
2025/6/30,積水化学工業,4204,TOPIX Mid400,a0910000000Fqzb,2016,待遇面の満足度,4.36
2025/6/30,積水化学工業,4204,TOPIX Mid400,a0910000000Fqzb,2017,待遇面の満足度,4.4
2025/6/30,積水化学工業,4204,TOPIX Mid400,a0910000000Fqzb,2018,待遇面の満足度,4.38
2025/6/30,積水化学工業,4204,TOPIX Mid400,a0910000000Fqzb,2019,待遇面の満足度,4.36
2025/6/30,積水化学工業,4204,TOPIX Mid400,a0910000000Fqzb,2020,待遇面の満足度,4.4
2025/6/30,積水化学工業,4204,TOPIX Mid400,a0910000000Fqzb,2021,待遇面の満足度,4.4
2025/6/30,積水化学工業,4204,TOPIX Mid400,a0910000000Fqzb,2022,待遇面の満足度,4.37
2025/6/30,積水化学工業,4204,TOPIX Mid400,a0910000000Fqzb,2023,待遇面の満足度,4.4
