date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,日本ゼオン,4205,TOPIX Mid400,a0910000000Fqzc,2016,クチコミ総合評価,2.96
2025/6/30,日本ゼオン,4205,TOPIX Mid400,a0910000000Fqzc,2017,クチコミ総合評価,2.89
2025/6/30,日本ゼオン,4205,TOPIX Mid400,a0910000000Fqzc,2018,クチコミ総合評価,2.86
2025/6/30,日本ゼオン,4205,TOPIX Mid400,a0910000000Fqzc,2019,クチコミ総合評価,2.82
2025/6/30,日本ゼオン,4205,TOPIX Mid400,a0910000000Fqzc,2020,クチコミ総合評価,2.88
2025/6/30,日本ゼオン,4205,TOPIX Mid400,a0910000000Fqzc,2021,クチコミ総合評価,2.92
2025/6/30,日本ゼオン,4205,TOPIX Mid400,a0910000000Fqzc,2022,クチコミ総合評価,2.97
2025/6/30,日本ゼオン,4205,TOPIX Mid400,a0910000000Fqzc,2023,クチコミ総合評価,3.12
2025/6/30,日本ゼオン,4205,TOPIX Mid400,a0910000000Fqzc,2024,クチコミ総合評価,2.92
2025/6/30,日本ゼオン,4205,TOPIX Mid400,a0910000000Fqzc,2025,クチコミ総合評価,2.87
2025/6/30,日本ゼオン,4205,TOPIX Mid400,a0910000000Fqzc,2016,待遇面の満足度,2.87
2025/6/30,日本ゼオン,4205,TOPIX Mid400,a0910000000Fqzc,2017,待遇面の満足度,2.81
2025/6/30,日本ゼオン,4205,TOPIX Mid400,a0910000000Fqzc,2018,待遇面の満足度,2.77
2025/6/30,日本ゼオン,4205,TOPIX Mid400,a0910000000Fqzc,2019,待遇面の満足度,2.71
2025/6/30,日本ゼオン,4205,TOPIX Mid400,a0910000000Fqzc,2020,待遇面の満足度,2.72
2025/6/30,日本ゼオン,4205,TOPIX Mid400,a0910000000Fqzc,2021,待遇面の満足度,2.78
2025/6/30,日本ゼオン,4205,TOPIX Mid400,a0910000000Fqzc,2022,待遇面の満足度,2.97
2025/6/30,日本ゼオン,4205,TOPIX Mid400,a0910000000Fqzc,2023,待遇面の満足度,3.41
2025/6/30,日本ゼオン,4205,TOPIX Mid400,a0910000000Fqzc,2024,待遇面の満足度,3.12
2025/6/30,日本ゼオン,4205,TOPIX Mid400,a0910000000Fqzc,2025,待遇面の満足度,2.67
2025/6/30,日本ゼオン,4205,TOPIX Mid400,a0910000000Fqzc,2016,社員の士気,2.57
2025/6/30,日本ゼオン,4205,TOPIX Mid400,a0910000000Fqzc,2017,社員の士気,2.51
2025/6/30,日本ゼオン,4205,TOPIX Mid400,a0910000000Fqzc,2018,社員の士気,2.44
2025/6/30,日本ゼオン,4205,TOPIX Mid400,a0910000000Fqzc,2019,社員の士気,2.38
2025/6/30,日本ゼオン,4205,TOPIX Mid400,a0910000000Fqzc,2020,社員の士気,2.44
2025/6/30,日本ゼオン,4205,TOPIX Mid400,a0910000000Fqzc,2021,社員の士気,2.49
2025/6/30,日本ゼオン,4205,TOPIX Mid400,a0910000000Fqzc,2022,社員の士気,2.66
2025/6/30,日本ゼオン,4205,TOPIX Mid400,a0910000000Fqzc,2023,社員の士気,2.71
2025/6/30,日本ゼオン,4205,TOPIX Mid400,a0910000000Fqzc,2024,社員の士気,2.53
2025/6/30,日本ゼオン,4205,TOPIX Mid400,a0910000000Fqzc,2025,社員の士気,2.5
2025/6/30,日本ゼオン,4205,TOPIX Mid400,a0910000000Fqzc,2016,風通しの良さ,3.02
2025/6/30,日本ゼオン,4205,TOPIX Mid400,a0910000000Fqzc,2017,風通しの良さ,2.91
2025/6/30,日本ゼオン,4205,TOPIX Mid400,a0910000000Fqzc,2018,風通しの良さ,2.84
