date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,野村総合研究所,4307,TOPIX Mid400,a0910000000Fr0Q,2016,クチコミ総合評価,4.26
2025/6/30,野村総合研究所,4307,TOPIX Mid400,a0910000000Fr0Q,2017,クチコミ総合評価,4.29
2025/6/30,野村総合研究所,4307,TOPIX Mid400,a0910000000Fr0Q,2018,クチコミ総合評価,4.29
2025/6/30,野村総合研究所,4307,TOPIX Mid400,a0910000000Fr0Q,2019,クチコミ総合評価,4.34
2025/6/30,野村総合研究所,4307,TOPIX Mid400,a0910000000Fr0Q,2020,クチコミ総合評価,4.37
2025/6/30,野村総合研究所,4307,TOPIX Mid400,a0910000000Fr0Q,2021,クチコミ総合評価,4.42
2025/6/30,野村総合研究所,4307,TOPIX Mid400,a0910000000Fr0Q,2022,クチコミ総合評価,4.43
2025/6/30,野村総合研究所,4307,TOPIX Mid400,a0910000000Fr0Q,2023,クチコミ総合評価,4.42
2025/6/30,野村総合研究所,4307,TOPIX Mid400,a0910000000Fr0Q,2024,クチコミ総合評価,4.48
2025/6/30,野村総合研究所,4307,TOPIX Mid400,a0910000000Fr0Q,2025,クチコミ総合評価,4.39
2025/6/30,野村総合研究所,4307,TOPIX Mid400,a0910000000Fr0Q,2016,待遇面の満足度,4.61
2025/6/30,野村総合研究所,4307,TOPIX Mid400,a0910000000Fr0Q,2017,待遇面の満足度,4.61
2025/6/30,野村総合研究所,4307,TOPIX Mid400,a0910000000Fr0Q,2018,待遇面の満足度,4.59
2025/6/30,野村総合研究所,4307,TOPIX Mid400,a0910000000Fr0Q,2019,待遇面の満足度,4.58
2025/6/30,野村総合研究所,4307,TOPIX Mid400,a0910000000Fr0Q,2020,待遇面の満足度,4.57
2025/6/30,野村総合研究所,4307,TOPIX Mid400,a0910000000Fr0Q,2021,待遇面の満足度,4.5
2025/6/30,野村総合研究所,4307,TOPIX Mid400,a0910000000Fr0Q,2022,待遇面の満足度,4.5
2025/6/30,野村総合研究所,4307,TOPIX Mid400,a0910000000Fr0Q,2023,待遇面の満足度,4.39
2025/6/30,野村総合研究所,4307,TOPIX Mid400,a0910000000Fr0Q,2024,待遇面の満足度,4.36
2025/6/30,野村総合研究所,4307,TOPIX Mid400,a0910000000Fr0Q,2025,待遇面の満足度,4.12
2025/6/30,野村総合研究所,4307,TOPIX Mid400,a0910000000Fr0Q,2016,社員の士気,3.63
2025/6/30,野村総合研究所,4307,TOPIX Mid400,a0910000000Fr0Q,2017,社員の士気,3.64
2025/6/30,野村総合研究所,4307,TOPIX Mid400,a0910000000Fr0Q,2018,社員の士気,3.64
2025/6/30,野村総合研究所,4307,TOPIX Mid400,a0910000000Fr0Q,2019,社員の士気,3.73
2025/6/30,野村総合研究所,4307,TOPIX Mid400,a0910000000Fr0Q,2020,社員の士気,3.75
2025/6/30,野村総合研究所,4307,TOPIX Mid400,a0910000000Fr0Q,2021,社員の士気,3.85
2025/6/30,野村総合研究所,4307,TOPIX Mid400,a0910000000Fr0Q,2022,社員の士気,3.89
2025/6/30,野村総合研究所,4307,TOPIX Mid400,a0910000000Fr0Q,2023,社員の士気,3.88
2025/6/30,野村総合研究所,4307,TOPIX Mid400,a0910000000Fr0Q,2024,社員の士気,4
2025/6/30,野村総合研究所,4307,TOPIX Mid400,a0910000000Fr0Q,2025,社員の士気,3.82
2025/6/30,野村総合研究所,4307,TOPIX Mid400,a0910000000Fr0Q,2016,風通しの良さ,3.91
2025/6/30,野村総合研究所,4307,TOPIX Mid400,a0910000000Fr0Q,2017,風通しの良さ,3.96
2025/6/30,野村総合研究所,4307,TOPIX Mid400,a0910000000Fr0Q,2018,風通しの良さ,3.91
2025/6/30,野村総合研究所,4307,TOPIX Mid400,a0910000000Fr0Q,2019,風通しの良さ,3.95
2025/6/30,野村総合研究所,4307,TOPIX Mid400,a0910000000Fr0Q,2020,風通しの良さ,3.94
2025/6/30,野村総合研究所,4307,TOPIX Mid400,a0910000000Fr0Q,2021,風通しの良さ,4
2025/6/30,野村総合研究所,4307,TOPIX Mid400,a0910000000Fr0Q,2022,風通しの良さ,4
2025/6/30,野村総合研究所,4307,TOPIX Mid400,a0910000000Fr0Q,2023,風通しの良さ,3.97
2025/6/30,野村総合研究所,4307,TOPIX Mid400,a0910000000Fr0Q,2024,風通しの良さ,4.05
2025/6/30,野村総合研究所,4307,TOPIX Mid400,a0910000000Fr0Q,2025,風通しの良さ,4.08
2025/6/30,野村総合研究所,4307,TOPIX Mid400,a0910000000Fr0Q,2016,社員の相互尊重,3.82
2025/6/30,野村総合研究所,4307,TOPIX Mid400,a0910000000Fr0Q,2017,社員の相互尊重,3.86
2025/6/30,野村総合研究所,4307,TOPIX Mid400,a0910000000Fr0Q,2018,社員の相互尊重,3.89
2025/6/30,野村総合研究所,4307,TOPIX Mid400,a0910000000Fr0Q,2019,社員の相互尊重,3.94
2025/6/30,野村総合研究所,4307,TOPIX Mid400,a0910000000Fr0Q,2020,社員の相互尊重,3.94
2025/6/30,野村総合研究所,4307,TOPIX Mid400,a0910000000Fr0Q,2021,社員の相互尊重,4.01
2025/6/30,野村総合研究所,4307,TOPIX Mid400,a0910000000Fr0Q,2022,社員の相互尊重,3.99
2025/6/30,野村総合研究所,4307,TOPIX Mid400,a0910000000Fr0Q,2023,社員の相互尊重,4.02
2025/6/30,野村総合研究所,4307,TOPIX Mid400,a0910000000Fr0Q,2024,社員の相互尊重,4.08
2025/6/30,野村総合研究所,4307,TOPIX Mid400,a0910000000Fr0Q,2025,社員の相互尊重,4.04
2025/6/30,野村総合研究所,4307,TOPIX Mid400,a0910000000Fr0Q,2016,20代成長環境,4.45
2025/6/30,野村総合研究所,4307,TOPIX Mid400,a0910000000Fr0Q,2017,20代成長環境,4.45
2025/6/30,野村総合研究所,4307,TOPIX Mid400,a0910000000Fr0Q,2018,20代成長環境,4.43
2025/6/30,野村総合研究所,4307,TOPIX Mid400,a0910000000Fr0Q,2019,20代成長環境,4.45
2025/6/30,野村総合研究所,4307,TOPIX Mid400,a0910000000Fr0Q,2020,20代成長環境,4.44
2025/6/30,野村総合研究所,4307,TOPIX Mid400,a0910000000Fr0Q,2021,20代成長環境,4.49
2025/6/30,野村総合研究所,4307,TOPIX Mid400,a0910000000Fr0Q,2022,20代成長環境,4.53
2025/6/30,野村総合研究所,4307,TOPIX Mid400,a0910000000Fr0Q,2023,20代成長環境,4.54
2025/6/30,野村総合研究所,4307,TOPIX Mid400,a0910000000Fr0Q,2024,20代成長環境,4.6
2025/6/30,野村総合研究所,4307,TOPIX Mid400,a0910000000Fr0Q,2025,20代成長環境,4.67
2025/6/30,野村総合研究所,4307,TOPIX Mid400,a0910000000Fr0Q,2016,人材の長期育成,3.67
2025/6/30,野村総合研究所,4307,TOPIX Mid400,a0910000000Fr0Q,2017,人材の長期育成,3.75
2025/6/30,野村総合研究所,4307,TOPIX Mid400,a0910000000Fr0Q,2018,人材の長期育成,3.82
2025/6/30,野村総合研究所,4307,TOPIX Mid400,a0910000000Fr0Q,2019,人材の長期育成,3.86
2025/6/30,野村総合研究所,4307,TOPIX Mid400,a0910000000Fr0Q,2020,人材の長期育成,3.97
2025/6/30,野村総合研究所,4307,TOPIX Mid400,a0910000000Fr0Q,2021,人材の長期育成,4.06
2025/6/30,野村総合研究所,4307,TOPIX Mid400,a0910000000Fr0Q,2022,人材の長期育成,4.08
2025/6/30,野村総合研究所,4307,TOPIX Mid400,a0910000000Fr0Q,2023,人材の長期育成,4.14
2025/6/30,野村総合研究所,4307,TOPIX Mid400,a0910000000Fr0Q,2024,人材の長期育成,4.26
2025/6/30,野村総合研究所,4307,TOPIX Mid400,a0910000000Fr0Q,2025,人材の長期育成,4.2
