date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,電通グループ,4324,TOPIX Mid400,a0910000000Fr0g,2016,クチコミ総合評価,4.32
2025/6/30,電通グループ,4324,TOPIX Mid400,a0910000000Fr0g,2017,クチコミ総合評価,4.34
2025/6/30,電通グループ,4324,TOPIX Mid400,a0910000000Fr0g,2018,クチコミ総合評価,4.4
2025/6/30,電通グループ,4324,TOPIX Mid400,a0910000000Fr0g,2019,クチコミ総合評価,4.44
2025/6/30,電通グループ,4324,TOPIX Mid400,a0910000000Fr0g,2020,クチコミ総合評価,4.47
2025/6/30,電通グループ,4324,TOPIX Mid400,a0910000000Fr0g,2021,クチコミ総合評価,4.53
2025/6/30,電通グループ,4324,TOPIX Mid400,a0910000000Fr0g,2022,クチコミ総合評価,4.57
2025/6/30,電通グループ,4324,TOPIX Mid400,a0910000000Fr0g,2023,クチコミ総合評価,4.62
2025/6/30,電通グループ,4324,TOPIX Mid400,a0910000000Fr0g,2024,クチコミ総合評価,4.67
2025/6/30,電通グループ,4324,TOPIX Mid400,a0910000000Fr0g,2025,クチコミ総合評価,4.77
2025/6/30,電通グループ,4324,TOPIX Mid400,a0910000000Fr0g,2016,待遇面の満足度,4.3
2025/6/30,電通グループ,4324,TOPIX Mid400,a0910000000Fr0g,2017,待遇面の満足度,4.3
2025/6/30,電通グループ,4324,TOPIX Mid400,a0910000000Fr0g,2018,待遇面の満足度,4.33
2025/6/30,電通グループ,4324,TOPIX Mid400,a0910000000Fr0g,2019,待遇面の満足度,4.36
2025/6/30,電通グループ,4324,TOPIX Mid400,a0910000000Fr0g,2020,待遇面の満足度,4.36
2025/6/30,電通グループ,4324,TOPIX Mid400,a0910000000Fr0g,2021,待遇面の満足度,4.39
2025/6/30,電通グループ,4324,TOPIX Mid400,a0910000000Fr0g,2022,待遇面の満足度,4.4
2025/6/30,電通グループ,4324,TOPIX Mid400,a0910000000Fr0g,2023,待遇面の満足度,4.44
2025/6/30,電通グループ,4324,TOPIX Mid400,a0910000000Fr0g,2024,待遇面の満足度,4.46
2025/6/30,電通グループ,4324,TOPIX Mid400,a0910000000Fr0g,2025,待遇面の満足度,4.56
2025/6/30,電通グループ,4324,TOPIX Mid400,a0910000000Fr0g,2016,社員の士気,4.39
2025/6/30,電通グループ,4324,TOPIX Mid400,a0910000000Fr0g,2017,社員の士気,4.38
2025/6/30,電通グループ,4324,TOPIX Mid400,a0910000000Fr0g,2018,社員の士気,4.41
2025/6/30,電通グループ,4324,TOPIX Mid400,a0910000000Fr0g,2019,社員の士気,4.41
2025/6/30,電通グループ,4324,TOPIX Mid400,a0910000000Fr0g,2020,社員の士気,4.42
2025/6/30,電通グループ,4324,TOPIX Mid400,a0910000000Fr0g,2021,社員の士気,4.46
2025/6/30,電通グループ,4324,TOPIX Mid400,a0910000000Fr0g,2022,社員の士気,4.47
2025/6/30,電通グループ,4324,TOPIX Mid400,a0910000000Fr0g,2023,社員の士気,4.5
2025/6/30,電通グループ,4324,TOPIX Mid400,a0910000000Fr0g,2024,社員の士気,4.61
2025/6/30,電通グループ,4324,TOPIX Mid400,a0910000000Fr0g,2025,社員の士気,4.82
2025/6/30,電通グループ,4324,TOPIX Mid400,a0910000000Fr0g,2016,風通しの良さ,4.1
2025/6/30,電通グループ,4324,TOPIX Mid400,a0910000000Fr0g,2017,風通しの良さ,4.16
2025/6/30,電通グループ,4324,TOPIX Mid400,a0910000000Fr0g,2018,風通しの良さ,4.22
2025/6/30,電通グループ,4324,TOPIX Mid400,a0910000000Fr0g,2019,風通しの良さ,4.3
2025/6/30,電通グループ,4324,TOPIX Mid400,a0910000000Fr0g,2020,風通しの良さ,4.33
2025/6/30,電通グループ,4324,TOPIX Mid400,a0910000000Fr0g,2021,風通しの良さ,4.41
2025/6/30,電通グループ,4324,TOPIX Mid400,a0910000000Fr0g,2022,風通しの良さ,4.47
2025/6/30,電通グループ,4324,TOPIX Mid400,a0910000000Fr0g,2023,風通しの良さ,4.51
2025/6/30,電通グループ,4324,TOPIX Mid400,a0910000000Fr0g,2024,風通しの良さ,4.6
2025/6/30,電通グループ,4324,TOPIX Mid400,a0910000000Fr0g,2025,風通しの良さ,4.68
2025/6/30,電通グループ,4324,TOPIX Mid400,a0910000000Fr0g,2016,社員の相互尊重,4.41
2025/6/30,電通グループ,4324,TOPIX Mid400,a0910000000Fr0g,2017,社員の相互尊重,4.41
2025/6/30,電通グループ,4324,TOPIX Mid400,a0910000000Fr0g,2018,社員の相互尊重,4.47
2025/6/30,電通グループ,4324,TOPIX Mid400,a0910000000Fr0g,2019,社員の相互尊重,4.49
2025/6/30,電通グループ,4324,TOPIX Mid400,a0910000000Fr0g,2020,社員の相互尊重,4.51
2025/6/30,電通グループ,4324,TOPIX Mid400,a0910000000Fr0g,2021,社員の相互尊重,4.54
2025/6/30,電通グループ,4324,TOPIX Mid400,a0910000000Fr0g,2022,社員の相互尊重,4.57
2025/6/30,電通グループ,4324,TOPIX Mid400,a0910000000Fr0g,2023,社員の相互尊重,4.61
2025/6/30,電通グループ,4324,TOPIX Mid400,a0910000000Fr0g,2024,社員の相互尊重,4.65
