date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,ＡＤＥＫＡ,4401,TOPIX Mid400,a0910000000Fr1J,2016,クチコミ総合評価,3.27
2025/6/30,ＡＤＥＫＡ,4401,TOPIX Mid400,a0910000000Fr1J,2017,クチコミ総合評価,3.23
2025/6/30,ＡＤＥＫＡ,4401,TOPIX Mid400,a0910000000Fr1J,2018,クチコミ総合評価,3.25
2025/6/30,ＡＤＥＫＡ,4401,TOPIX Mid400,a0910000000Fr1J,2019,クチコミ総合評価,3.29
2025/6/30,ＡＤＥＫＡ,4401,TOPIX Mid400,a0910000000Fr1J,2020,クチコミ総合評価,3.15
2025/6/30,ＡＤＥＫＡ,4401,TOPIX Mid400,a0910000000Fr1J,2021,クチコミ総合評価,3.11
2025/6/30,ＡＤＥＫＡ,4401,TOPIX Mid400,a0910000000Fr1J,2022,クチコミ総合評価,3.07
2025/6/30,ＡＤＥＫＡ,4401,TOPIX Mid400,a0910000000Fr1J,2023,クチコミ総合評価,3.11
2025/6/30,ＡＤＥＫＡ,4401,TOPIX Mid400,a0910000000Fr1J,2024,クチコミ総合評価,3.12
2025/6/30,ＡＤＥＫＡ,4401,TOPIX Mid400,a0910000000Fr1J,2025,クチコミ総合評価,3.62
2025/6/30,ＡＤＥＫＡ,4401,TOPIX Mid400,a0910000000Fr1J,2016,待遇面の満足度,3.19
2025/6/30,ＡＤＥＫＡ,4401,TOPIX Mid400,a0910000000Fr1J,2017,待遇面の満足度,3.21
2025/6/30,ＡＤＥＫＡ,4401,TOPIX Mid400,a0910000000Fr1J,2018,待遇面の満足度,3.2
2025/6/30,ＡＤＥＫＡ,4401,TOPIX Mid400,a0910000000Fr1J,2019,待遇面の満足度,3.2
2025/6/30,ＡＤＥＫＡ,4401,TOPIX Mid400,a0910000000Fr1J,2020,待遇面の満足度,2.98
2025/6/30,ＡＤＥＫＡ,4401,TOPIX Mid400,a0910000000Fr1J,2021,待遇面の満足度,2.98
2025/6/30,ＡＤＥＫＡ,4401,TOPIX Mid400,a0910000000Fr1J,2022,待遇面の満足度,2.88
2025/6/30,ＡＤＥＫＡ,4401,TOPIX Mid400,a0910000000Fr1J,2023,待遇面の満足度,2.73
2025/6/30,ＡＤＥＫＡ,4401,TOPIX Mid400,a0910000000Fr1J,2024,待遇面の満足度,2.75
2025/6/30,ＡＤＥＫＡ,4401,TOPIX Mid400,a0910000000Fr1J,2025,待遇面の満足度,3
2025/6/30,ＡＤＥＫＡ,4401,TOPIX Mid400,a0910000000Fr1J,2016,社員の士気,2.8
2025/6/30,ＡＤＥＫＡ,4401,TOPIX Mid400,a0910000000Fr1J,2017,社員の士気,2.75
2025/6/30,ＡＤＥＫＡ,4401,TOPIX Mid400,a0910000000Fr1J,2018,社員の士気,2.77
2025/6/30,ＡＤＥＫＡ,4401,TOPIX Mid400,a0910000000Fr1J,2019,社員の士気,2.71
2025/6/30,ＡＤＥＫＡ,4401,TOPIX Mid400,a0910000000Fr1J,2020,社員の士気,2.62
2025/6/30,ＡＤＥＫＡ,4401,TOPIX Mid400,a0910000000Fr1J,2021,社員の士気,2.63
2025/6/30,ＡＤＥＫＡ,4401,TOPIX Mid400,a0910000000Fr1J,2022,社員の士気,2.6
2025/6/30,ＡＤＥＫＡ,4401,TOPIX Mid400,a0910000000Fr1J,2023,社員の士気,2.73
2025/6/30,ＡＤＥＫＡ,4401,TOPIX Mid400,a0910000000Fr1J,2024,社員の士気,2.94
2025/6/30,ＡＤＥＫＡ,4401,TOPIX Mid400,a0910000000Fr1J,2025,社員の士気,3.88
2025/6/30,ＡＤＥＫＡ,4401,TOPIX Mid400,a0910000000Fr1J,2016,風通しの良さ,3.46
2025/6/30,ＡＤＥＫＡ,4401,TOPIX Mid400,a0910000000Fr1J,2017,風通しの良さ,3.47
2025/6/30,ＡＤＥＫＡ,4401,TOPIX Mid400,a0910000000Fr1J,2018,風通しの良さ,3.58
2025/6/30,ＡＤＥＫＡ,4401,TOPIX Mid400,a0910000000Fr1J,2019,風通しの良さ,3.68
2025/6/30,ＡＤＥＫＡ,4401,TOPIX Mid400,a0910000000Fr1J,2020,風通しの良さ,3.52
2025/6/30,ＡＤＥＫＡ,4401,TOPIX Mid400,a0910000000Fr1J,2021,風通しの良さ,3.3
2025/6/30,ＡＤＥＫＡ,4401,TOPIX Mid400,a0910000000Fr1J,2022,風通しの良さ,3.31
2025/6/30,ＡＤＥＫＡ,4401,TOPIX Mid400,a0910000000Fr1J,2023,風通しの良さ,3.3
2025/6/30,ＡＤＥＫＡ,4401,TOPIX Mid400,a0910000000Fr1J,2024,風通しの良さ,3.36
2025/6/30,ＡＤＥＫＡ,4401,TOPIX Mid400,a0910000000Fr1J,2025,風通しの良さ,3.88
2025/6/30,ＡＤＥＫＡ,4401,TOPIX Mid400,a0910000000Fr1J,2016,社員の相互尊重,3.49
2025/6/30,ＡＤＥＫＡ,4401,TOPIX Mid400,a0910000000Fr1J,2017,社員の相互尊重,3.39
2025/6/30,ＡＤＥＫＡ,4401,TOPIX Mid400,a0910000000Fr1J,2018,社員の相互尊重,3.38
2025/6/30,ＡＤＥＫＡ,4401,TOPIX Mid400,a0910000000Fr1J,2019,社員の相互尊重,3.54
2025/6/30,ＡＤＥＫＡ,4401,TOPIX Mid400,a0910000000Fr1J,2020,社員の相互尊重,3.38
2025/6/30,ＡＤＥＫＡ,4401,TOPIX Mid400,a0910000000Fr1J,2021,社員の相互尊重,3.34
2025/6/30,ＡＤＥＫＡ,4401,TOPIX Mid400,a0910000000Fr1J,2022,社員の相互尊重,3.4
