date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,日油,4403,TOPIX Mid400,a0910000002WX4T,2016,クチコミ総合評価,3.22
2025/6/30,日油,4403,TOPIX Mid400,a0910000002WX4T,2017,クチコミ総合評価,3.25
2025/6/30,日油,4403,TOPIX Mid400,a0910000002WX4T,2018,クチコミ総合評価,3.31
2025/6/30,日油,4403,TOPIX Mid400,a0910000002WX4T,2019,クチコミ総合評価,3.39
2025/6/30,日油,4403,TOPIX Mid400,a0910000002WX4T,2020,クチコミ総合評価,3.46
2025/6/30,日油,4403,TOPIX Mid400,a0910000002WX4T,2021,クチコミ総合評価,3.68
2025/6/30,日油,4403,TOPIX Mid400,a0910000002WX4T,2022,クチコミ総合評価,3.72
2025/6/30,日油,4403,TOPIX Mid400,a0910000002WX4T,2023,クチコミ総合評価,3.86
2025/6/30,日油,4403,TOPIX Mid400,a0910000002WX4T,2024,クチコミ総合評価,3.64
2025/6/30,日油,4403,TOPIX Mid400,a0910000002WX4T,2025,クチコミ総合評価,4.09
2025/6/30,日油,4403,TOPIX Mid400,a0910000002WX4T,2016,待遇面の満足度,3.92
2025/6/30,日油,4403,TOPIX Mid400,a0910000002WX4T,2017,待遇面の満足度,4
2025/6/30,日油,4403,TOPIX Mid400,a0910000002WX4T,2018,待遇面の満足度,4.01
2025/6/30,日油,4403,TOPIX Mid400,a0910000002WX4T,2019,待遇面の満足度,4
2025/6/30,日油,4403,TOPIX Mid400,a0910000002WX4T,2020,待遇面の満足度,3.96
2025/6/30,日油,4403,TOPIX Mid400,a0910000002WX4T,2021,待遇面の満足度,4.08
2025/6/30,日油,4403,TOPIX Mid400,a0910000002WX4T,2022,待遇面の満足度,4.11
2025/6/30,日油,4403,TOPIX Mid400,a0910000002WX4T,2023,待遇面の満足度,4.22
2025/6/30,日油,4403,TOPIX Mid400,a0910000002WX4T,2024,待遇面の満足度,4.04
2025/6/30,日油,4403,TOPIX Mid400,a0910000002WX4T,2025,待遇面の満足度,4.02
2025/6/30,日油,4403,TOPIX Mid400,a0910000002WX4T,2016,社員の士気,2.59
2025/6/30,日油,4403,TOPIX Mid400,a0910000002WX4T,2017,社員の士気,2.55
2025/6/30,日油,4403,TOPIX Mid400,a0910000002WX4T,2018,社員の士気,2.63
2025/6/30,日油,4403,TOPIX Mid400,a0910000002WX4T,2019,社員の士気,2.69
2025/6/30,日油,4403,TOPIX Mid400,a0910000002WX4T,2020,社員の士気,2.74
2025/6/30,日油,4403,TOPIX Mid400,a0910000002WX4T,2021,社員の士気,2.88
2025/6/30,日油,4403,TOPIX Mid400,a0910000002WX4T,2022,社員の士気,2.86
2025/6/30,日油,4403,TOPIX Mid400,a0910000002WX4T,2023,社員の士気,2.69
2025/6/30,日油,4403,TOPIX Mid400,a0910000002WX4T,2024,社員の士気,2.62
2025/6/30,日油,4403,TOPIX Mid400,a0910000002WX4T,2025,社員の士気,2.6
2025/6/30,日油,4403,TOPIX Mid400,a0910000002WX4T,2016,風通しの良さ,2.91
2025/6/30,日油,4403,TOPIX Mid400,a0910000002WX4T,2017,風通しの良さ,2.97
2025/6/30,日油,4403,TOPIX Mid400,a0910000002WX4T,2018,風通しの良さ,3.29
2025/6/30,日油,4403,TOPIX Mid400,a0910000002WX4T,2019,風通しの良さ,3.39
2025/6/30,日油,4403,TOPIX Mid400,a0910000002WX4T,2020,風通しの良さ,3.48
2025/6/30,日油,4403,TOPIX Mid400,a0910000002WX4T,2021,風通しの良さ,3.72
2025/6/30,日油,4403,TOPIX Mid400,a0910000002WX4T,2022,風通しの良さ,3.77
2025/6/30,日油,4403,TOPIX Mid400,a0910000002WX4T,2023,風通しの良さ,3.97
2025/6/30,日油,4403,TOPIX Mid400,a0910000002WX4T,2024,風通しの良さ,4.04
2025/6/30,日油,4403,TOPIX Mid400,a0910000002WX4T,2025,風通しの良さ,4.5
2025/6/30,日油,4403,TOPIX Mid400,a0910000002WX4T,2016,社員の相互尊重,2.97
2025/6/30,日油,4403,TOPIX Mid400,a0910000002WX4T,2017,社員の相互尊重,3
