date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,花王,4452,TOPIX Large70,a0910000000Fr1P,2016,クチコミ総合評価,3.53
2025/6/30,花王,4452,TOPIX Large70,a0910000000Fr1P,2017,クチコミ総合評価,3.53
2025/6/30,花王,4452,TOPIX Large70,a0910000000Fr1P,2018,クチコミ総合評価,3.49
2025/6/30,花王,4452,TOPIX Large70,a0910000000Fr1P,2019,クチコミ総合評価,3.49
2025/6/30,花王,4452,TOPIX Large70,a0910000000Fr1P,2020,クチコミ総合評価,3.45
2025/6/30,花王,4452,TOPIX Large70,a0910000000Fr1P,2021,クチコミ総合評価,3.43
2025/6/30,花王,4452,TOPIX Large70,a0910000000Fr1P,2022,クチコミ総合評価,3.39
2025/6/30,花王,4452,TOPIX Large70,a0910000000Fr1P,2023,クチコミ総合評価,3.31
2025/6/30,花王,4452,TOPIX Large70,a0910000000Fr1P,2024,クチコミ総合評価,3.32
2025/6/30,花王,4452,TOPIX Large70,a0910000000Fr1P,2025,クチコミ総合評価,3.37
2025/6/30,花王,4452,TOPIX Large70,a0910000000Fr1P,2016,待遇面の満足度,3.61
2025/6/30,花王,4452,TOPIX Large70,a0910000000Fr1P,2017,待遇面の満足度,3.59
2025/6/30,花王,4452,TOPIX Large70,a0910000000Fr1P,2018,待遇面の満足度,3.61
2025/6/30,花王,4452,TOPIX Large70,a0910000000Fr1P,2019,待遇面の満足度,3.64
2025/6/30,花王,4452,TOPIX Large70,a0910000000Fr1P,2020,待遇面の満足度,3.58
2025/6/30,花王,4452,TOPIX Large70,a0910000000Fr1P,2021,待遇面の満足度,3.58
2025/6/30,花王,4452,TOPIX Large70,a0910000000Fr1P,2022,待遇面の満足度,3.47
2025/6/30,花王,4452,TOPIX Large70,a0910000000Fr1P,2023,待遇面の満足度,3.41
2025/6/30,花王,4452,TOPIX Large70,a0910000000Fr1P,2024,待遇面の満足度,3.42
2025/6/30,花王,4452,TOPIX Large70,a0910000000Fr1P,2025,待遇面の満足度,3.27
2025/6/30,花王,4452,TOPIX Large70,a0910000000Fr1P,2016,社員の士気,3.03
2025/6/30,花王,4452,TOPIX Large70,a0910000000Fr1P,2017,社員の士気,3.06
2025/6/30,花王,4452,TOPIX Large70,a0910000000Fr1P,2018,社員の士気,2.97
2025/6/30,花王,4452,TOPIX Large70,a0910000000Fr1P,2019,社員の士気,2.99
2025/6/30,花王,4452,TOPIX Large70,a0910000000Fr1P,2020,社員の士気,2.92
2025/6/30,花王,4452,TOPIX Large70,a0910000000Fr1P,2021,社員の士気,2.86
2025/6/30,花王,4452,TOPIX Large70,a0910000000Fr1P,2022,社員の士気,2.83
2025/6/30,花王,4452,TOPIX Large70,a0910000000Fr1P,2023,社員の士気,2.73
2025/6/30,花王,4452,TOPIX Large70,a0910000000Fr1P,2024,社員の士気,2.72
2025/6/30,花王,4452,TOPIX Large70,a0910000000Fr1P,2025,社員の士気,2.86
2025/6/30,花王,4452,TOPIX Large70,a0910000000Fr1P,2016,風通しの良さ,3.7
2025/6/30,花王,4452,TOPIX Large70,a0910000000Fr1P,2017,風通しの良さ,3.7
2025/6/30,花王,4452,TOPIX Large70,a0910000000Fr1P,2018,風通しの良さ,3.63
2025/6/30,花王,4452,TOPIX Large70,a0910000000Fr1P,2019,風通しの良さ,3.64
2025/6/30,花王,4452,TOPIX Large70,a0910000000Fr1P,2020,風通しの良さ,3.65
2025/6/30,花王,4452,TOPIX Large70,a0910000000Fr1P,2021,風通しの良さ,3.65
2025/6/30,花王,4452,TOPIX Large70,a0910000000Fr1P,2022,風通しの良さ,3.58
2025/6/30,花王,4452,TOPIX Large70,a0910000000Fr1P,2023,風通しの良さ,3.56
2025/6/30,花王,4452,TOPIX Large70,a0910000000Fr1P,2024,風通しの良さ,3.6
2025/6/30,花王,4452,TOPIX Large70,a0910000000Fr1P,2025,風通しの良さ,3.79
2025/6/30,花王,4452,TOPIX Large70,a0910000000Fr1P,2016,社員の相互尊重,3.69
2025/6/30,花王,4452,TOPIX Large70,a0910000000Fr1P,2017,社員の相互尊重,3.72
2025/6/30,花王,4452,TOPIX Large70,a0910000000Fr1P,2018,社員の相互尊重,3.62
2025/6/30,花王,4452,TOPIX Large70,a0910000000Fr1P,2019,社員の相互尊重,3.68
2025/6/30,花王,4452,TOPIX Large70,a0910000000Fr1P,2020,社員の相互尊重,3.61
2025/6/30,花王,4452,TOPIX Large70,a0910000000Fr1P,2021,社員の相互尊重,3.61
2025/6/30,花王,4452,TOPIX Large70,a0910000000Fr1P,2022,社員の相互尊重,3.58
2025/6/30,花王,4452,TOPIX Large70,a0910000000Fr1P,2023,社員の相互尊重,3.44
2025/6/30,花王,4452,TOPIX Large70,a0910000000Fr1P,2024,社員の相互尊重,3.28
2025/6/30,花王,4452,TOPIX Large70,a0910000000Fr1P,2025,社員の相互尊重,3.37
2025/6/30,花王,4452,TOPIX Large70,a0910000000Fr1P,2016,20代成長環境,2.84
2025/6/30,花王,4452,TOPIX Large70,a0910000000Fr1P,2017,20代成長環境,2.85
2025/6/30,花王,4452,TOPIX Large70,a0910000000Fr1P,2018,20代成長環境,2.8
2025/6/30,花王,4452,TOPIX Large70,a0910000000Fr1P,2019,20代成長環境,2.76
2025/6/30,花王,4452,TOPIX Large70,a0910000000Fr1P,2020,20代成長環境,2.72
2025/6/30,花王,4452,TOPIX Large70,a0910000000Fr1P,2021,20代成長環境,2.7
2025/6/30,花王,4452,TOPIX Large70,a0910000000Fr1P,2022,20代成長環境,2.7
2025/6/30,花王,4452,TOPIX Large70,a0910000000Fr1P,2023,20代成長環境,2.65
2025/6/30,花王,4452,TOPIX Large70,a0910000000Fr1P,2024,20代成長環境,2.72
2025/6/30,花王,4452,TOPIX Large70,a0910000000Fr1P,2025,20代成長環境,2.72
2025/6/30,花王,4452,TOPIX Large70,a0910000000Fr1P,2016,人材の長期育成,2.87
2025/6/30,花王,4452,TOPIX Large70,a0910000000Fr1P,2017,人材の長期育成,2.83
2025/6/30,花王,4452,TOPIX Large70,a0910000000Fr1P,2018,人材の長期育成,2.82
2025/6/30,花王,4452,TOPIX Large70,a0910000000Fr1P,2019,人材の長期育成,2.78
