date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,ＪＭＤＣ,4483,TOPIX Mid400,a0C30000003C8nH,2015,クチコミ総合評価,3.55
2025/6/30,ＪＭＤＣ,4483,TOPIX Mid400,a0C30000003C8nH,2016,クチコミ総合評価,3.41
2025/6/30,ＪＭＤＣ,4483,TOPIX Mid400,a0C30000003C8nH,2017,クチコミ総合評価,3.17
2025/6/30,ＪＭＤＣ,4483,TOPIX Mid400,a0C30000003C8nH,2018,クチコミ総合評価,3.13
2025/6/30,ＪＭＤＣ,4483,TOPIX Mid400,a0C30000003C8nH,2019,クチコミ総合評価,3.19
2025/6/30,ＪＭＤＣ,4483,TOPIX Mid400,a0C30000003C8nH,2020,クチコミ総合評価,3.13
2025/6/30,ＪＭＤＣ,4483,TOPIX Mid400,a0C30000003C8nH,2021,クチコミ総合評価,3
2025/6/30,ＪＭＤＣ,4483,TOPIX Mid400,a0C30000003C8nH,2022,クチコミ総合評価,3.38
2025/6/30,ＪＭＤＣ,4483,TOPIX Mid400,a0C30000003C8nH,2023,クチコミ総合評価,3.4
2025/6/30,ＪＭＤＣ,4483,TOPIX Mid400,a0C30000003C8nH,2024,クチコミ総合評価,2.71
2025/6/30,ＪＭＤＣ,4483,TOPIX Mid400,a0C30000003C8nH,2015,待遇面の満足度,2.92
2025/6/30,ＪＭＤＣ,4483,TOPIX Mid400,a0C30000003C8nH,2016,待遇面の満足度,2.8
2025/6/30,ＪＭＤＣ,4483,TOPIX Mid400,a0C30000003C8nH,2017,待遇面の満足度,2.63
2025/6/30,ＪＭＤＣ,4483,TOPIX Mid400,a0C30000003C8nH,2018,待遇面の満足度,2.6
2025/6/30,ＪＭＤＣ,4483,TOPIX Mid400,a0C30000003C8nH,2019,待遇面の満足度,2.82
2025/6/30,ＪＭＤＣ,4483,TOPIX Mid400,a0C30000003C8nH,2020,待遇面の満足度,2.79
2025/6/30,ＪＭＤＣ,4483,TOPIX Mid400,a0C30000003C8nH,2021,待遇面の満足度,2.5
2025/6/30,ＪＭＤＣ,4483,TOPIX Mid400,a0C30000003C8nH,2022,待遇面の満足度,3.19
2025/6/30,ＪＭＤＣ,4483,TOPIX Mid400,a0C30000003C8nH,2023,待遇面の満足度,3.36
2025/6/30,ＪＭＤＣ,4483,TOPIX Mid400,a0C30000003C8nH,2024,待遇面の満足度,3
