date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2016,クチコミ総合評価,3.55
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2017,クチコミ総合評価,3.59
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2018,クチコミ総合評価,3.67
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2019,クチコミ総合評価,3.76
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2020,クチコミ総合評価,3.79
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2021,クチコミ総合評価,3.81
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2022,クチコミ総合評価,3.86
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2023,クチコミ総合評価,3.92
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2024,クチコミ総合評価,3.98
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2025,クチコミ総合評価,3.97
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2016,待遇面の満足度,4.46
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2017,待遇面の満足度,4.48
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2018,待遇面の満足度,4.47
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2019,待遇面の満足度,4.48
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2020,待遇面の満足度,4.46
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2021,待遇面の満足度,4.33
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2022,待遇面の満足度,4.32
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2023,待遇面の満足度,4.35
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2024,待遇面の満足度,4.44
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2025,待遇面の満足度,4.52
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2016,社員の士気,2.86
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2017,社員の士気,2.88
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2018,社員の士気,2.93
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2019,社員の士気,2.99
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2020,社員の士気,3.03
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2021,社員の士気,3.09
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2022,社員の士気,3.17
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2023,社員の士気,3.15
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2024,社員の士気,3.21
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2025,社員の士気,3.11
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2016,風通しの良さ,2.97
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2017,風通しの良さ,3.02
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2018,風通しの良さ,3.13
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2019,風通しの良さ,3.27
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2020,風通しの良さ,3.29
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2021,風通しの良さ,3.38
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2022,風通しの良さ,3.55
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2023,風通しの良さ,3.65
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2024,風通しの良さ,3.74
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2025,風通しの良さ,3.86
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2016,社員の相互尊重,3.5
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2017,社員の相互尊重,3.49
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2018,社員の相互尊重,3.58
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2019,社員の相互尊重,3.69
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2020,社員の相互尊重,3.74
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2021,社員の相互尊重,3.75
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2022,社員の相互尊重,3.78
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2023,社員の相互尊重,3.92
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2024,社員の相互尊重,4.04
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2025,社員の相互尊重,4.1
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2016,20代成長環境,3.33
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2017,20代成長環境,3.4
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2018,20代成長環境,3.41
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2019,20代成長環境,3.52
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2020,20代成長環境,3.57
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2021,20代成長環境,3.6
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2022,20代成長環境,3.56
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2023,20代成長環境,3.59
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2024,20代成長環境,3.64
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2025,20代成長環境,3.62
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2016,人材の長期育成,2.63
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2017,人材の長期育成,2.7
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2018,人材の長期育成,2.78
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2019,人材の長期育成,2.84
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2020,人材の長期育成,2.87
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2021,人材の長期育成,2.86
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2022,人材の長期育成,2.82
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2023,人材の長期育成,2.87
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2024,人材の長期育成,2.87
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2025,人材の長期育成,2.95
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2016,法令順守意識,4.74
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2017,法令順守意識,4.78
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2018,法令順守意識,4.82
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2019,法令順守意識,4.86
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2020,法令順守意識,4.87
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2021,法令順守意識,4.85
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2022,法令順守意識,4.86
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2023,法令順守意識,4.86
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2024,法令順守意識,4.88
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2025,法令順守意識,4.88
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2016,人事評価の適正感,3.08
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2017,人事評価の適正感,3.15
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2018,人事評価の適正感,3.24
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2019,人事評価の適正感,3.36
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2020,人事評価の適正感,3.38
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2021,人事評価の適正感,3.4
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2022,人事評価の適正感,3.46
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2023,人事評価の適正感,3.51
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2024,人事評価の適正感,3.56
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2025,人事評価の適正感,3.37
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2016,有給休暇消化率,63.67
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2017,有給休暇消化率,65.17
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2018,有給休暇消化率,67.21
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2019,有給休暇消化率,68
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2020,有給休暇消化率,68.55
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2021,有給休暇消化率,67.51
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2022,有給休暇消化率,67.17
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2023,有給休暇消化率,68.05
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2024,有給休暇消化率,66.22
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2025,有給休暇消化率,64.02
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2016,残業時間(月間),23.67
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2017,残業時間(月間),23.24
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2018,残業時間(月間),23.01
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2019,残業時間(月間),22.46
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2020,残業時間(月間),22.03
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2021,残業時間(月間),23.31
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2022,残業時間(月間),22.77
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2023,残業時間(月間),21.92
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2024,残業時間(月間),22.2
2025/6/30,武田薬品工業,4502,TOPIX Core30,a0910000000Fr38,2025,残業時間(月間),22.49
