date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,塩野義製薬,4507,TOPIX Large70,a0910000000Fr3B,2016,クチコミ総合評価,3.22
2025/6/30,塩野義製薬,4507,TOPIX Large70,a0910000000Fr3B,2017,クチコミ総合評価,3.21
2025/6/30,塩野義製薬,4507,TOPIX Large70,a0910000000Fr3B,2018,クチコミ総合評価,3.2
2025/6/30,塩野義製薬,4507,TOPIX Large70,a0910000000Fr3B,2019,クチコミ総合評価,3.18
2025/6/30,塩野義製薬,4507,TOPIX Large70,a0910000000Fr3B,2020,クチコミ総合評価,3.12
2025/6/30,塩野義製薬,4507,TOPIX Large70,a0910000000Fr3B,2021,クチコミ総合評価,3.13
2025/6/30,塩野義製薬,4507,TOPIX Large70,a0910000000Fr3B,2022,クチコミ総合評価,3.06
2025/6/30,塩野義製薬,4507,TOPIX Large70,a0910000000Fr3B,2023,クチコミ総合評価,3.13
2025/6/30,塩野義製薬,4507,TOPIX Large70,a0910000000Fr3B,2024,クチコミ総合評価,3.2
2025/6/30,塩野義製薬,4507,TOPIX Large70,a0910000000Fr3B,2025,クチコミ総合評価,3.25
2025/6/30,塩野義製薬,4507,TOPIX Large70,a0910000000Fr3B,2016,待遇面の満足度,3.49
2025/6/30,塩野義製薬,4507,TOPIX Large70,a0910000000Fr3B,2017,待遇面の満足度,3.49
2025/6/30,塩野義製薬,4507,TOPIX Large70,a0910000000Fr3B,2018,待遇面の満足度,3.44
2025/6/30,塩野義製薬,4507,TOPIX Large70,a0910000000Fr3B,2019,待遇面の満足度,3.35
2025/6/30,塩野義製薬,4507,TOPIX Large70,a0910000000Fr3B,2020,待遇面の満足度,3.29
2025/6/30,塩野義製薬,4507,TOPIX Large70,a0910000000Fr3B,2021,待遇面の満足度,3.14
2025/6/30,塩野義製薬,4507,TOPIX Large70,a0910000000Fr3B,2022,待遇面の満足度,3.06
2025/6/30,塩野義製薬,4507,TOPIX Large70,a0910000000Fr3B,2023,待遇面の満足度,3.2
2025/6/30,塩野義製薬,4507,TOPIX Large70,a0910000000Fr3B,2024,待遇面の満足度,3.37
2025/6/30,塩野義製薬,4507,TOPIX Large70,a0910000000Fr3B,2025,待遇面の満足度,3.47
2025/6/30,塩野義製薬,4507,TOPIX Large70,a0910000000Fr3B,2016,社員の士気,2.63
2025/6/30,塩野義製薬,4507,TOPIX Large70,a0910000000Fr3B,2017,社員の士気,2.61
2025/6/30,塩野義製薬,4507,TOPIX Large70,a0910000000Fr3B,2018,社員の士気,2.57
2025/6/30,塩野義製薬,4507,TOPIX Large70,a0910000000Fr3B,2019,社員の士気,2.54
2025/6/30,塩野義製薬,4507,TOPIX Large70,a0910000000Fr3B,2020,社員の士気,2.53
2025/6/30,塩野義製薬,4507,TOPIX Large70,a0910000000Fr3B,2021,社員の士気,2.61
2025/6/30,塩野義製薬,4507,TOPIX Large70,a0910000000Fr3B,2022,社員の士気,2.7
2025/6/30,塩野義製薬,4507,TOPIX Large70,a0910000000Fr3B,2023,社員の士気,2.84
2025/6/30,塩野義製薬,4507,TOPIX Large70,a0910000000Fr3B,2024,社員の士気,2.98
2025/6/30,塩野義製薬,4507,TOPIX Large70,a0910000000Fr3B,2025,社員の士気,3.32
2025/6/30,塩野義製薬,4507,TOPIX Large70,a0910000000Fr3B,2016,風通しの良さ,2.95
2025/6/30,塩野義製薬,4507,TOPIX Large70,a0910000000Fr3B,2017,風通しの良さ,2.92
2025/6/30,塩野義製薬,4507,TOPIX Large70,a0910000000Fr3B,2018,風通しの良さ,2.91
2025/6/30,塩野義製薬,4507,TOPIX Large70,a0910000000Fr3B,2019,風通しの良さ,2.92
2025/6/30,塩野義製薬,4507,TOPIX Large70,a0910000000Fr3B,2020,風通しの良さ,2.87
2025/6/30,塩野義製薬,4507,TOPIX Large70,a0910000000Fr3B,2021,風通しの良さ,2.89
2025/6/30,塩野義製薬,4507,TOPIX Large70,a0910000000Fr3B,2022,風通しの良さ,2.85
2025/6/30,塩野義製薬,4507,TOPIX Large70,a0910000000Fr3B,2023,風通しの良さ,2.92
2025/6/30,塩野義製薬,4507,TOPIX Large70,a0910000000Fr3B,2024,風通しの良さ,2.91
2025/6/30,塩野義製薬,4507,TOPIX Large70,a0910000000Fr3B,2025,風通しの良さ,3
2025/6/30,塩野義製薬,4507,TOPIX Large70,a0910000000Fr3B,2016,社員の相互尊重,3.29
2025/6/30,塩野義製薬,4507,TOPIX Large70,a0910000000Fr3B,2017,社員の相互尊重,3.27
2025/6/30,塩野義製薬,4507,TOPIX Large70,a0910000000Fr3B,2018,社員の相互尊重,3.3
2025/6/30,塩野義製薬,4507,TOPIX Large70,a0910000000Fr3B,2019,社員の相互尊重,3.29
2025/6/30,塩野義製薬,4507,TOPIX Large70,a0910000000Fr3B,2020,社員の相互尊重,3.19
2025/6/30,塩野義製薬,4507,TOPIX Large70,a0910000000Fr3B,2021,社員の相互尊重,3.23
2025/6/30,塩野義製薬,4507,TOPIX Large70,a0910000000Fr3B,2022,社員の相互尊重,3.03
2025/6/30,塩野義製薬,4507,TOPIX Large70,a0910000000Fr3B,2023,社員の相互尊重,2.97
2025/6/30,塩野義製薬,4507,TOPIX Large70,a0910000000Fr3B,2024,社員の相互尊重,3.04
2025/6/30,塩野義製薬,4507,TOPIX Large70,a0910000000Fr3B,2025,社員の相互尊重,3.16
2025/6/30,塩野義製薬,4507,TOPIX Large70,a0910000000Fr3B,2016,20代成長環境,2.83
2025/6/30,塩野義製薬,4507,TOPIX Large70,a0910000000Fr3B,2017,20代成長環境,2.81
2025/6/30,塩野義製薬,4507,TOPIX Large70,a0910000000Fr3B,2018,20代成長環境,2.76
2025/6/30,塩野義製薬,4507,TOPIX Large70,a0910000000Fr3B,2019,20代成長環境,2.72
2025/6/30,塩野義製薬,4507,TOPIX Large70,a0910000000Fr3B,2020,20代成長環境,2.7
2025/6/30,塩野義製薬,4507,TOPIX Large70,a0910000000Fr3B,2021,20代成長環境,2.74
2025/6/30,塩野義製薬,4507,TOPIX Large70,a0910000000Fr3B,2022,20代成長環境,2.68
2025/6/30,塩野義製薬,4507,TOPIX Large70,a0910000000Fr3B,2023,20代成長環境,2.69
2025/6/30,塩野義製薬,4507,TOPIX Large70,a0910000000Fr3B,2024,20代成長環境,2.72
2025/6/30,塩野義製薬,4507,TOPIX Large70,a0910000000Fr3B,2025,20代成長環境,2.58
2025/6/30,塩野義製薬,4507,TOPIX Large70,a0910000000Fr3B,2016,人材の長期育成,2.62
2025/6/30,塩野義製薬,4507,TOPIX Large70,a0910000000Fr3B,2017,人材の長期育成,2.65
2025/6/30,塩野義製薬,4507,TOPIX Large70,a0910000000Fr3B,2018,人材の長期育成,2.63
2025/6/30,塩野義製薬,4507,TOPIX Large70,a0910000000Fr3B,2019,人材の長期育成,2.62
2025/6/30,塩野義製薬,4507,TOPIX Large70,a0910000000Fr3B,2020,人材の長期育成,2.54
2025/6/30,塩野義製薬,4507,TOPIX Large70,a0910000000Fr3B,2021,人材の長期育成,2.56
2025/6/30,塩野義製薬,4507,TOPIX Large70,a0910000000Fr3B,2022,人材の長期育成,2.43
2025/6/30,塩野義製薬,4507,TOPIX Large70,a0910000000Fr3B,2023,人材の長期育成,2.52
2025/6/30,塩野義製薬,4507,TOPIX Large70,a0910000000Fr3B,2024,人材の長期育成,2.54
2025/6/30,塩野義製薬,4507,TOPIX Large70,a0910000000Fr3B,2025,人材の長期育成,2.33
2025/6/30,塩野義製薬,4507,TOPIX Large70,a0910000000Fr3B,2016,法令順守意識,4.77
2025/6/30,塩野義製薬,4507,TOPIX Large70,a0910000000Fr3B,2017,法令順守意識,4.79
2025/6/30,塩野義製薬,4507,TOPIX Large70,a0910000000Fr3B,2018,法令順守意識,4.79
2025/6/30,塩野義製薬,4507,TOPIX Large70,a0910000000Fr3B,2019,法令順守意識,4.79
2025/6/30,塩野義製薬,4507,TOPIX Large70,a0910000000Fr3B,2020,法令順守意識,4.77
2025/6/30,塩野義製薬,4507,TOPIX Large70,a0910000000Fr3B,2021,法令順守意識,4.76
2025/6/30,塩野義製薬,4507,TOPIX Large70,a0910000000Fr3B,2022,法令順守意識,4.79
2025/6/30,塩野義製薬,4507,TOPIX Large70,a0910000000Fr3B,2023,法令順守意識,4.71
