date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,日本新薬,4516,TOPIX Mid400,a0910000000Fr3F,2016,クチコミ総合評価,3.71
2025/6/30,日本新薬,4516,TOPIX Mid400,a0910000000Fr3F,2017,クチコミ総合評価,3.79
2025/6/30,日本新薬,4516,TOPIX Mid400,a0910000000Fr3F,2018,クチコミ総合評価,3.72
2025/6/30,日本新薬,4516,TOPIX Mid400,a0910000000Fr3F,2019,クチコミ総合評価,3.89
2025/6/30,日本新薬,4516,TOPIX Mid400,a0910000000Fr3F,2020,クチコミ総合評価,3.87
2025/6/30,日本新薬,4516,TOPIX Mid400,a0910000000Fr3F,2021,クチコミ総合評価,3.92
2025/6/30,日本新薬,4516,TOPIX Mid400,a0910000000Fr3F,2022,クチコミ総合評価,3.98
2025/6/30,日本新薬,4516,TOPIX Mid400,a0910000000Fr3F,2023,クチコミ総合評価,3.99
2025/6/30,日本新薬,4516,TOPIX Mid400,a0910000000Fr3F,2024,クチコミ総合評価,3.84
2025/6/30,日本新薬,4516,TOPIX Mid400,a0910000000Fr3F,2025,クチコミ総合評価,3.5
2025/6/30,日本新薬,4516,TOPIX Mid400,a0910000000Fr3F,2016,待遇面の満足度,4.17
2025/6/30,日本新薬,4516,TOPIX Mid400,a0910000000Fr3F,2017,待遇面の満足度,4.1
2025/6/30,日本新薬,4516,TOPIX Mid400,a0910000000Fr3F,2018,待遇面の満足度,4.01
2025/6/30,日本新薬,4516,TOPIX Mid400,a0910000000Fr3F,2019,待遇面の満足度,3.95
2025/6/30,日本新薬,4516,TOPIX Mid400,a0910000000Fr3F,2020,待遇面の満足度,3.91
2025/6/30,日本新薬,4516,TOPIX Mid400,a0910000000Fr3F,2021,待遇面の満足度,3.96
2025/6/30,日本新薬,4516,TOPIX Mid400,a0910000000Fr3F,2022,待遇面の満足度,4.05
2025/6/30,日本新薬,4516,TOPIX Mid400,a0910000000Fr3F,2023,待遇面の満足度,4.16
2025/6/30,日本新薬,4516,TOPIX Mid400,a0910000000Fr3F,2024,待遇面の満足度,4.11
2025/6/30,日本新薬,4516,TOPIX Mid400,a0910000000Fr3F,2025,待遇面の満足度,3.98
2025/6/30,日本新薬,4516,TOPIX Mid400,a0910000000Fr3F,2016,社員の士気,3
2025/6/30,日本新薬,4516,TOPIX Mid400,a0910000000Fr3F,2017,社員の士気,3.04
2025/6/30,日本新薬,4516,TOPIX Mid400,a0910000000Fr3F,2018,社員の士気,2.98
2025/6/30,日本新薬,4516,TOPIX Mid400,a0910000000Fr3F,2019,社員の士気,3.13
2025/6/30,日本新薬,4516,TOPIX Mid400,a0910000000Fr3F,2020,社員の士気,2.95
2025/6/30,日本新薬,4516,TOPIX Mid400,a0910000000Fr3F,2021,社員の士気,2.92
2025/6/30,日本新薬,4516,TOPIX Mid400,a0910000000Fr3F,2022,社員の士気,2.84
2025/6/30,日本新薬,4516,TOPIX Mid400,a0910000000Fr3F,2023,社員の士気,2.89
2025/6/30,日本新薬,4516,TOPIX Mid400,a0910000000Fr3F,2024,社員の士気,2.72
2025/6/30,日本新薬,4516,TOPIX Mid400,a0910000000Fr3F,2025,社員の士気,2.57
2025/6/30,日本新薬,4516,TOPIX Mid400,a0910000000Fr3F,2016,風通しの良さ,3.24
2025/6/30,日本新薬,4516,TOPIX Mid400,a0910000000Fr3F,2017,風通しの良さ,3.39
2025/6/30,日本新薬,4516,TOPIX Mid400,a0910000000Fr3F,2018,風通しの良さ,3.32
2025/6/30,日本新薬,4516,TOPIX Mid400,a0910000000Fr3F,2019,風通しの良さ,3.48
2025/6/30,日本新薬,4516,TOPIX Mid400,a0910000000Fr3F,2020,風通しの良さ,3.45
2025/6/30,日本新薬,4516,TOPIX Mid400,a0910000000Fr3F,2021,風通しの良さ,3.52
2025/6/30,日本新薬,4516,TOPIX Mid400,a0910000000Fr3F,2022,風通しの良さ,3.78
2025/6/30,日本新薬,4516,TOPIX Mid400,a0910000000Fr3F,2023,風通しの良さ,3.85
2025/6/30,日本新薬,4516,TOPIX Mid400,a0910000000Fr3F,2024,風通しの良さ,3.7
2025/6/30,日本新薬,4516,TOPIX Mid400,a0910000000Fr3F,2025,風通しの良さ,3.28
2025/6/30,日本新薬,4516,TOPIX Mid400,a0910000000Fr3F,2016,社員の相互尊重,3.71
2025/6/30,日本新薬,4516,TOPIX Mid400,a0910000000Fr3F,2017,社員の相互尊重,3.77
2025/6/30,日本新薬,4516,TOPIX Mid400,a0910000000Fr3F,2018,社員の相互尊重,3.67
2025/6/30,日本新薬,4516,TOPIX Mid400,a0910000000Fr3F,2019,社員の相互尊重,3.83
2025/6/30,日本新薬,4516,TOPIX Mid400,a0910000000Fr3F,2020,社員の相互尊重,3.84
2025/6/30,日本新薬,4516,TOPIX Mid400,a0910000000Fr3F,2021,社員の相互尊重,3.79
2025/6/30,日本新薬,4516,TOPIX Mid400,a0910000000Fr3F,2022,社員の相互尊重,3.88
2025/6/30,日本新薬,4516,TOPIX Mid400,a0910000000Fr3F,2023,社員の相互尊重,3.96
2025/6/30,日本新薬,4516,TOPIX Mid400,a0910000000Fr3F,2024,社員の相互尊重,3.7
2025/6/30,日本新薬,4516,TOPIX Mid400,a0910000000Fr3F,2025,社員の相互尊重,3.53
2025/6/30,日本新薬,4516,TOPIX Mid400,a0910000000Fr3F,2016,20代成長環境,3.47
2025/6/30,日本新薬,4516,TOPIX Mid400,a0910000000Fr3F,2017,20代成長環境,3.56
2025/6/30,日本新薬,4516,TOPIX Mid400,a0910000000Fr3F,2018,20代成長環境,3.42
2025/6/30,日本新薬,4516,TOPIX Mid400,a0910000000Fr3F,2019,20代成長環境,3.69
2025/6/30,日本新薬,4516,TOPIX Mid400,a0910000000Fr3F,2020,20代成長環境,3.91
2025/6/30,日本新薬,4516,TOPIX Mid400,a0910000000Fr3F,2021,20代成長環境,3.96
2025/6/30,日本新薬,4516,TOPIX Mid400,a0910000000Fr3F,2022,20代成長環境,3.97
2025/6/30,日本新薬,4516,TOPIX Mid400,a0910000000Fr3F,2023,20代成長環境,3.79
2025/6/30,日本新薬,4516,TOPIX Mid400,a0910000000Fr3F,2024,20代成長環境,3.7
2025/6/30,日本新薬,4516,TOPIX Mid400,a0910000000Fr3F,2025,20代成長環境,3.28
2025/6/30,日本新薬,4516,TOPIX Mid400,a0910000000Fr3F,2016,人材の長期育成,3.32
2025/6/30,日本新薬,4516,TOPIX Mid400,a0910000000Fr3F,2017,人材の長期育成,3.46
2025/6/30,日本新薬,4516,TOPIX Mid400,a0910000000Fr3F,2018,人材の長期育成,3.52
2025/6/30,日本新薬,4516,TOPIX Mid400,a0910000000Fr3F,2019,人材の長期育成,3.59
2025/6/30,日本新薬,4516,TOPIX Mid400,a0910000000Fr3F,2020,人材の長期育成,3.53
2025/6/30,日本新薬,4516,TOPIX Mid400,a0910000000Fr3F,2021,人材の長期育成,3.75
2025/6/30,日本新薬,4516,TOPIX Mid400,a0910000000Fr3F,2022,人材の長期育成,3.78
2025/6/30,日本新薬,4516,TOPIX Mid400,a0910000000Fr3F,2023,人材の長期育成,3.61
2025/6/30,日本新薬,4516,TOPIX Mid400,a0910000000Fr3F,2024,人材の長期育成,3.32
2025/6/30,日本新薬,4516,TOPIX Mid400,a0910000000Fr3F,2025,人材の長期育成,2.86
2025/6/30,日本新薬,4516,TOPIX Mid400,a0910000000Fr3F,2016,法令順守意識,4.52
2025/6/30,日本新薬,4516,TOPIX Mid400,a0910000000Fr3F,2017,法令順守意識,4.61
2025/6/30,日本新薬,4516,TOPIX Mid400,a0910000000Fr3F,2018,法令順守意識,4.62
2025/6/30,日本新薬,4516,TOPIX Mid400,a0910000000Fr3F,2019,法令順守意識,4.67
2025/6/30,日本新薬,4516,TOPIX Mid400,a0910000000Fr3F,2020,法令順守意識,4.71
