date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,科研製薬,4521,TOPIX Mid400,a0910000000Fr3J,2016,クチコミ総合評価,2.45
2025/6/30,科研製薬,4521,TOPIX Mid400,a0910000000Fr3J,2017,クチコミ総合評価,2.51
2025/6/30,科研製薬,4521,TOPIX Mid400,a0910000000Fr3J,2018,クチコミ総合評価,2.51
2025/6/30,科研製薬,4521,TOPIX Mid400,a0910000000Fr3J,2019,クチコミ総合評価,2.56
2025/6/30,科研製薬,4521,TOPIX Mid400,a0910000000Fr3J,2020,クチコミ総合評価,2.6
2025/6/30,科研製薬,4521,TOPIX Mid400,a0910000000Fr3J,2021,クチコミ総合評価,2.61
2025/6/30,科研製薬,4521,TOPIX Mid400,a0910000000Fr3J,2022,クチコミ総合評価,2.67
2025/6/30,科研製薬,4521,TOPIX Mid400,a0910000000Fr3J,2023,クチコミ総合評価,2.83
2025/6/30,科研製薬,4521,TOPIX Mid400,a0910000000Fr3J,2024,クチコミ総合評価,2.71
2025/6/30,科研製薬,4521,TOPIX Mid400,a0910000000Fr3J,2025,クチコミ総合評価,2.64
2025/6/30,科研製薬,4521,TOPIX Mid400,a0910000000Fr3J,2016,待遇面の満足度,2.68
2025/6/30,科研製薬,4521,TOPIX Mid400,a0910000000Fr3J,2017,待遇面の満足度,2.75
2025/6/30,科研製薬,4521,TOPIX Mid400,a0910000000Fr3J,2018,待遇面の満足度,2.74
2025/6/30,科研製薬,4521,TOPIX Mid400,a0910000000Fr3J,2019,待遇面の満足度,2.65
2025/6/30,科研製薬,4521,TOPIX Mid400,a0910000000Fr3J,2020,待遇面の満足度,2.59
2025/6/30,科研製薬,4521,TOPIX Mid400,a0910000000Fr3J,2021,待遇面の満足度,2.65
2025/6/30,科研製薬,4521,TOPIX Mid400,a0910000000Fr3J,2022,待遇面の満足度,2.57
2025/6/30,科研製薬,4521,TOPIX Mid400,a0910000000Fr3J,2023,待遇面の満足度,2.52
2025/6/30,科研製薬,4521,TOPIX Mid400,a0910000000Fr3J,2024,待遇面の満足度,2.4
2025/6/30,科研製薬,4521,TOPIX Mid400,a0910000000Fr3J,2025,待遇面の満足度,2.4
2025/6/30,科研製薬,4521,TOPIX Mid400,a0910000000Fr3J,2016,社員の士気,2.26
2025/6/30,科研製薬,4521,TOPIX Mid400,a0910000000Fr3J,2017,社員の士気,2.32
2025/6/30,科研製薬,4521,TOPIX Mid400,a0910000000Fr3J,2018,社員の士気,2.31
2025/6/30,科研製薬,4521,TOPIX Mid400,a0910000000Fr3J,2019,社員の士気,2.39
2025/6/30,科研製薬,4521,TOPIX Mid400,a0910000000Fr3J,2020,社員の士気,2.49
2025/6/30,科研製薬,4521,TOPIX Mid400,a0910000000Fr3J,2021,社員の士気,2.48
2025/6/30,科研製薬,4521,TOPIX Mid400,a0910000000Fr3J,2022,社員の士気,2.52
2025/6/30,科研製薬,4521,TOPIX Mid400,a0910000000Fr3J,2023,社員の士気,2.59
2025/6/30,科研製薬,4521,TOPIX Mid400,a0910000000Fr3J,2024,社員の士気,2.5
2025/6/30,科研製薬,4521,TOPIX Mid400,a0910000000Fr3J,2025,社員の士気,2.2
2025/6/30,科研製薬,4521,TOPIX Mid400,a0910000000Fr3J,2016,風通しの良さ,2.51
2025/6/30,科研製薬,4521,TOPIX Mid400,a0910000000Fr3J,2017,風通しの良さ,2.52
2025/6/30,科研製薬,4521,TOPIX Mid400,a0910000000Fr3J,2018,風通しの良さ,2.53
2025/6/30,科研製薬,4521,TOPIX Mid400,a0910000000Fr3J,2019,風通しの良さ,2.62
2025/6/30,科研製薬,4521,TOPIX Mid400,a0910000000Fr3J,2020,風通しの良さ,2.64
2025/6/30,科研製薬,4521,TOPIX Mid400,a0910000000Fr3J,2021,風通しの良さ,2.72
2025/6/30,科研製薬,4521,TOPIX Mid400,a0910000000Fr3J,2022,風通しの良さ,2.81
2025/6/30,科研製薬,4521,TOPIX Mid400,a0910000000Fr3J,2023,風通しの良さ,2.83
2025/6/30,科研製薬,4521,TOPIX Mid400,a0910000000Fr3J,2024,風通しの良さ,2.95
2025/6/30,科研製薬,4521,TOPIX Mid400,a0910000000Fr3J,2025,風通しの良さ,2.8
2025/6/30,科研製薬,4521,TOPIX Mid400,a0910000000Fr3J,2016,社員の相互尊重,3.02
2025/6/30,科研製薬,4521,TOPIX Mid400,a0910000000Fr3J,2017,社員の相互尊重,3.15
2025/6/30,科研製薬,4521,TOPIX Mid400,a0910000000Fr3J,2018,社員の相互尊重,3.19
2025/6/30,科研製薬,4521,TOPIX Mid400,a0910000000Fr3J,2019,社員の相互尊重,3.21
2025/6/30,科研製薬,4521,TOPIX Mid400,a0910000000Fr3J,2020,社員の相互尊重,3.28
