date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,参天製薬,4536,TOPIX Mid400,a0910000000Fr3T,2016,クチコミ総合評価,3.2
2025/6/30,参天製薬,4536,TOPIX Mid400,a0910000000Fr3T,2017,クチコミ総合評価,3.22
2025/6/30,参天製薬,4536,TOPIX Mid400,a0910000000Fr3T,2018,クチコミ総合評価,3.22
2025/6/30,参天製薬,4536,TOPIX Mid400,a0910000000Fr3T,2019,クチコミ総合評価,3.27
2025/6/30,参天製薬,4536,TOPIX Mid400,a0910000000Fr3T,2020,クチコミ総合評価,3.3
2025/6/30,参天製薬,4536,TOPIX Mid400,a0910000000Fr3T,2021,クチコミ総合評価,3.33
2025/6/30,参天製薬,4536,TOPIX Mid400,a0910000000Fr3T,2022,クチコミ総合評価,3.35
2025/6/30,参天製薬,4536,TOPIX Mid400,a0910000000Fr3T,2023,クチコミ総合評価,3.41
2025/6/30,参天製薬,4536,TOPIX Mid400,a0910000000Fr3T,2024,クチコミ総合評価,3.28
2025/6/30,参天製薬,4536,TOPIX Mid400,a0910000000Fr3T,2025,クチコミ総合評価,3.05
2025/6/30,参天製薬,4536,TOPIX Mid400,a0910000000Fr3T,2016,待遇面の満足度,3.41
2025/6/30,参天製薬,4536,TOPIX Mid400,a0910000000Fr3T,2017,待遇面の満足度,3.48
2025/6/30,参天製薬,4536,TOPIX Mid400,a0910000000Fr3T,2018,待遇面の満足度,3.54
2025/6/30,参天製薬,4536,TOPIX Mid400,a0910000000Fr3T,2019,待遇面の満足度,3.62
2025/6/30,参天製薬,4536,TOPIX Mid400,a0910000000Fr3T,2020,待遇面の満足度,3.62
2025/6/30,参天製薬,4536,TOPIX Mid400,a0910000000Fr3T,2021,待遇面の満足度,3.69
2025/6/30,参天製薬,4536,TOPIX Mid400,a0910000000Fr3T,2022,待遇面の満足度,3.78
2025/6/30,参天製薬,4536,TOPIX Mid400,a0910000000Fr3T,2023,待遇面の満足度,3.85
2025/6/30,参天製薬,4536,TOPIX Mid400,a0910000000Fr3T,2024,待遇面の満足度,3.9
2025/6/30,参天製薬,4536,TOPIX Mid400,a0910000000Fr3T,2025,待遇面の満足度,3.72
2025/6/30,参天製薬,4536,TOPIX Mid400,a0910000000Fr3T,2016,社員の士気,2.83
2025/6/30,参天製薬,4536,TOPIX Mid400,a0910000000Fr3T,2017,社員の士気,2.8
2025/6/30,参天製薬,4536,TOPIX Mid400,a0910000000Fr3T,2018,社員の士気,2.75
2025/6/30,参天製薬,4536,TOPIX Mid400,a0910000000Fr3T,2019,社員の士気,2.78
2025/6/30,参天製薬,4536,TOPIX Mid400,a0910000000Fr3T,2020,社員の士気,2.78
2025/6/30,参天製薬,4536,TOPIX Mid400,a0910000000Fr3T,2021,社員の士気,2.77
2025/6/30,参天製薬,4536,TOPIX Mid400,a0910000000Fr3T,2022,社員の士気,2.76
2025/6/30,参天製薬,4536,TOPIX Mid400,a0910000000Fr3T,2023,社員の士気,2.74
2025/6/30,参天製薬,4536,TOPIX Mid400,a0910000000Fr3T,2024,社員の士気,2.67
2025/6/30,参天製薬,4536,TOPIX Mid400,a0910000000Fr3T,2025,社員の士気,2.4
