date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,Ｈ．Ｕ．グループホールディングス,4544,TOPIX Mid400,a0910000000Fr3b,2016,クチコミ総合評価,2.81
2025/6/30,Ｈ．Ｕ．グループホールディングス,4544,TOPIX Mid400,a0910000000Fr3b,2017,クチコミ総合評価,2.78
2025/6/30,Ｈ．Ｕ．グループホールディングス,4544,TOPIX Mid400,a0910000000Fr3b,2018,クチコミ総合評価,2.79
2025/6/30,Ｈ．Ｕ．グループホールディングス,4544,TOPIX Mid400,a0910000000Fr3b,2019,クチコミ総合評価,2.77
2025/6/30,Ｈ．Ｕ．グループホールディングス,4544,TOPIX Mid400,a0910000000Fr3b,2020,クチコミ総合評価,2.8
2025/6/30,Ｈ．Ｕ．グループホールディングス,4544,TOPIX Mid400,a0910000000Fr3b,2021,クチコミ総合評価,2.76
2025/6/30,Ｈ．Ｕ．グループホールディングス,4544,TOPIX Mid400,a0910000000Fr3b,2022,クチコミ総合評価,3.02
2025/6/30,Ｈ．Ｕ．グループホールディングス,4544,TOPIX Mid400,a0910000000Fr3b,2023,クチコミ総合評価,2.92
2025/6/30,Ｈ．Ｕ．グループホールディングス,4544,TOPIX Mid400,a0910000000Fr3b,2024,クチコミ総合評価,2.88
2025/6/30,Ｈ．Ｕ．グループホールディングス,4544,TOPIX Mid400,a0910000000Fr3b,2025,クチコミ総合評価,2.81
2025/6/30,Ｈ．Ｕ．グループホールディングス,4544,TOPIX Mid400,a0910000000Fr3b,2016,待遇面の満足度,2.92
2025/6/30,Ｈ．Ｕ．グループホールディングス,4544,TOPIX Mid400,a0910000000Fr3b,2017,待遇面の満足度,2.93
2025/6/30,Ｈ．Ｕ．グループホールディングス,4544,TOPIX Mid400,a0910000000Fr3b,2018,待遇面の満足度,2.88
2025/6/30,Ｈ．Ｕ．グループホールディングス,4544,TOPIX Mid400,a0910000000Fr3b,2019,待遇面の満足度,2.94
2025/6/30,Ｈ．Ｕ．グループホールディングス,4544,TOPIX Mid400,a0910000000Fr3b,2020,待遇面の満足度,2.94
2025/6/30,Ｈ．Ｕ．グループホールディングス,4544,TOPIX Mid400,a0910000000Fr3b,2021,待遇面の満足度,2.93
2025/6/30,Ｈ．Ｕ．グループホールディングス,4544,TOPIX Mid400,a0910000000Fr3b,2022,待遇面の満足度,3.2
2025/6/30,Ｈ．Ｕ．グループホールディングス,4544,TOPIX Mid400,a0910000000Fr3b,2023,待遇面の満足度,2.78
2025/6/30,Ｈ．Ｕ．グループホールディングス,4544,TOPIX Mid400,a0910000000Fr3b,2024,待遇面の満足度,2.71
2025/6/30,Ｈ．Ｕ．グループホールディングス,4544,TOPIX Mid400,a0910000000Fr3b,2025,待遇面の満足度,2.5
2025/6/30,Ｈ．Ｕ．グループホールディングス,4544,TOPIX Mid400,a0910000000Fr3b,2016,社員の士気,2.46
2025/6/30,Ｈ．Ｕ．グループホールディングス,4544,TOPIX Mid400,a0910000000Fr3b,2017,社員の士気,2.33
2025/6/30,Ｈ．Ｕ．グループホールディングス,4544,TOPIX Mid400,a0910000000Fr3b,2018,社員の士気,2.29
2025/6/30,Ｈ．Ｕ．グループホールディングス,4544,TOPIX Mid400,a0910000000Fr3b,2019,社員の士気,2.31
2025/6/30,Ｈ．Ｕ．グループホールディングス,4544,TOPIX Mid400,a0910000000Fr3b,2020,社員の士気,2.25
2025/6/30,Ｈ．Ｕ．グループホールディングス,4544,TOPIX Mid400,a0910000000Fr3b,2021,社員の士気,2.21
2025/6/30,Ｈ．Ｕ．グループホールディングス,4544,TOPIX Mid400,a0910000000Fr3b,2022,社員の士気,2.4
2025/6/30,Ｈ．Ｕ．グループホールディングス,4544,TOPIX Mid400,a0910000000Fr3b,2023,社員の士気,2.33
2025/6/30,Ｈ．Ｕ．グループホールディングス,4544,TOPIX Mid400,a0910000000Fr3b,2024,社員の士気,2.29
