date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,大塚ホールディングス,4578,TOPIX Large70,a0910000006eT5s,2016,クチコミ総合評価,3.1
2025/6/30,大塚ホールディングス,4578,TOPIX Large70,a0910000006eT5s,2017,クチコミ総合評価,3.17
2025/6/30,大塚ホールディングス,4578,TOPIX Large70,a0910000006eT5s,2018,クチコミ総合評価,3.18
2025/6/30,大塚ホールディングス,4578,TOPIX Large70,a0910000006eT5s,2019,クチコミ総合評価,3.27
2025/6/30,大塚ホールディングス,4578,TOPIX Large70,a0910000006eT5s,2020,クチコミ総合評価,3.39
2025/6/30,大塚ホールディングス,4578,TOPIX Large70,a0910000006eT5s,2021,クチコミ総合評価,3.4
2025/6/30,大塚ホールディングス,4578,TOPIX Large70,a0910000006eT5s,2022,クチコミ総合評価,3.34
2025/6/30,大塚ホールディングス,4578,TOPIX Large70,a0910000006eT5s,2023,クチコミ総合評価,3.34
2025/6/30,大塚ホールディングス,4578,TOPIX Large70,a0910000006eT5s,2024,クチコミ総合評価,3.32
2025/6/30,大塚ホールディングス,4578,TOPIX Large70,a0910000006eT5s,2025,クチコミ総合評価,3.37
2025/6/30,大塚ホールディングス,4578,TOPIX Large70,a0910000006eT5s,2016,待遇面の満足度,2.99
2025/6/30,大塚ホールディングス,4578,TOPIX Large70,a0910000006eT5s,2017,待遇面の満足度,3.02
2025/6/30,大塚ホールディングス,4578,TOPIX Large70,a0910000006eT5s,2018,待遇面の満足度,3.1
2025/6/30,大塚ホールディングス,4578,TOPIX Large70,a0910000006eT5s,2019,待遇面の満足度,3.1
2025/6/30,大塚ホールディングス,4578,TOPIX Large70,a0910000006eT5s,2020,待遇面の満足度,3.3
2025/6/30,大塚ホールディングス,4578,TOPIX Large70,a0910000006eT5s,2021,待遇面の満足度,3.23
2025/6/30,大塚ホールディングス,4578,TOPIX Large70,a0910000006eT5s,2022,待遇面の満足度,2.98
2025/6/30,大塚ホールディングス,4578,TOPIX Large70,a0910000006eT5s,2023,待遇面の満足度,2.99
2025/6/30,大塚ホールディングス,4578,TOPIX Large70,a0910000006eT5s,2024,待遇面の満足度,2.92
2025/6/30,大塚ホールディングス,4578,TOPIX Large70,a0910000006eT5s,2025,待遇面の満足度,2.73
2025/6/30,大塚ホールディングス,4578,TOPIX Large70,a0910000006eT5s,2016,社員の士気,3.02
2025/6/30,大塚ホールディングス,4578,TOPIX Large70,a0910000006eT5s,2017,社員の士気,3.1
2025/6/30,大塚ホールディングス,4578,TOPIX Large70,a0910000006eT5s,2018,社員の士気,3.1
2025/6/30,大塚ホールディングス,4578,TOPIX Large70,a0910000006eT5s,2019,社員の士気,3.21
2025/6/30,大塚ホールディングス,4578,TOPIX Large70,a0910000006eT5s,2020,社員の士気,3.3
2025/6/30,大塚ホールディングス,4578,TOPIX Large70,a0910000006eT5s,2021,社員の士気,3.31
2025/6/30,大塚ホールディングス,4578,TOPIX Large70,a0910000006eT5s,2022,社員の士気,3.3
2025/6/30,大塚ホールディングス,4578,TOPIX Large70,a0910000006eT5s,2023,社員の士気,3.31
2025/6/30,大塚ホールディングス,4578,TOPIX Large70,a0910000006eT5s,2024,社員の士気,3.5
2025/6/30,大塚ホールディングス,4578,TOPIX Large70,a0910000006eT5s,2025,社員の士気,3.92
2025/6/30,大塚ホールディングス,4578,TOPIX Large70,a0910000006eT5s,2016,風通しの良さ,3
2025/6/30,大塚ホールディングス,4578,TOPIX Large70,a0910000006eT5s,2017,風通しの良さ,3.18
2025/6/30,大塚ホールディングス,4578,TOPIX Large70,a0910000006eT5s,2018,風通しの良さ,3.13
2025/6/30,大塚ホールディングス,4578,TOPIX Large70,a0910000006eT5s,2019,風通しの良さ,3.2
2025/6/30,大塚ホールディングス,4578,TOPIX Large70,a0910000006eT5s,2020,風通しの良さ,3.24
2025/6/30,大塚ホールディングス,4578,TOPIX Large70,a0910000006eT5s,2021,風通しの良さ,3.33
2025/6/30,大塚ホールディングス,4578,TOPIX Large70,a0910000006eT5s,2022,風通しの良さ,3.28
2025/6/30,大塚ホールディングス,4578,TOPIX Large70,a0910000006eT5s,2023,風通しの良さ,3.33
