date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,ペプチドリーム,4587,TOPIX Mid400,a0C1000000TYfo0,2018,クチコミ総合評価,2.93
2025/6/30,ペプチドリーム,4587,TOPIX Mid400,a0C1000000TYfo0,2019,クチコミ総合評価,2.93
2025/6/30,ペプチドリーム,4587,TOPIX Mid400,a0C1000000TYfo0,2020,クチコミ総合評価,2.93
2025/6/30,ペプチドリーム,4587,TOPIX Mid400,a0C1000000TYfo0,2021,クチコミ総合評価,2.93
2025/6/30,ペプチドリーム,4587,TOPIX Mid400,a0C1000000TYfo0,2018,待遇面の満足度,2.94
2025/6/30,ペプチドリーム,4587,TOPIX Mid400,a0C1000000TYfo0,2019,待遇面の満足度,2.94
2025/6/30,ペプチドリーム,4587,TOPIX Mid400,a0C1000000TYfo0,2020,待遇面の満足度,2.94
2025/6/30,ペプチドリーム,4587,TOPIX Mid400,a0C1000000TYfo0,2021,待遇面の満足度,2.94
2025/6/30,ペプチドリーム,4587,TOPIX Mid400,a0C1000000TYfo0,2018,社員の士気,3.11
2025/6/30,ペプチドリーム,4587,TOPIX Mid400,a0C1000000TYfo0,2019,社員の士気,3.11
2025/6/30,ペプチドリーム,4587,TOPIX Mid400,a0C1000000TYfo0,2020,社員の士気,3.11
2025/6/30,ペプチドリーム,4587,TOPIX Mid400,a0C1000000TYfo0,2021,社員の士気,3.11
2025/6/30,ペプチドリーム,4587,TOPIX Mid400,a0C1000000TYfo0,2018,風通しの良さ,2.94
2025/6/30,ペプチドリーム,4587,TOPIX Mid400,a0C1000000TYfo0,2019,風通しの良さ,2.94
2025/6/30,ペプチドリーム,4587,TOPIX Mid400,a0C1000000TYfo0,2020,風通しの良さ,2.94
2025/6/30,ペプチドリーム,4587,TOPIX Mid400,a0C1000000TYfo0,2021,風通しの良さ,2.94
2025/6/30,ペプチドリーム,4587,TOPIX Mid400,a0C1000000TYfo0,2018,社員の相互尊重,3
2025/6/30,ペプチドリーム,4587,TOPIX Mid400,a0C1000000TYfo0,2019,社員の相互尊重,3
2025/6/30,ペプチドリーム,4587,TOPIX Mid400,a0C1000000TYfo0,2020,社員の相互尊重,3
2025/6/30,ペプチドリーム,4587,TOPIX Mid400,a0C1000000TYfo0,2021,社員の相互尊重,3
2025/6/30,ペプチドリーム,4587,TOPIX Mid400,a0C1000000TYfo0,2018,20代成長環境,2.81
2025/6/30,ペプチドリーム,4587,TOPIX Mid400,a0C1000000TYfo0,2019,20代成長環境,2.81
2025/6/30,ペプチドリーム,4587,TOPIX Mid400,a0C1000000TYfo0,2020,20代成長環境,2.81
2025/6/30,ペプチドリーム,4587,TOPIX Mid400,a0C1000000TYfo0,2021,20代成長環境,2.81
2025/6/30,ペプチドリーム,4587,TOPIX Mid400,a0C1000000TYfo0,2018,人材の長期育成,2.81
2025/6/30,ペプチドリーム,4587,TOPIX Mid400,a0C1000000TYfo0,2019,人材の長期育成,2.81
2025/6/30,ペプチドリーム,4587,TOPIX Mid400,a0C1000000TYfo0,2020,人材の長期育成,2.81
2025/6/30,ペプチドリーム,4587,TOPIX Mid400,a0C1000000TYfo0,2021,人材の長期育成,2.81
2025/6/30,ペプチドリーム,4587,TOPIX Mid400,a0C1000000TYfo0,2018,法令順守意識,2.88
2025/6/30,ペプチドリーム,4587,TOPIX Mid400,a0C1000000TYfo0,2019,法令順守意識,2.88
2025/6/30,ペプチドリーム,4587,TOPIX Mid400,a0C1000000TYfo0,2020,法令順守意識,2.88
2025/6/30,ペプチドリーム,4587,TOPIX Mid400,a0C1000000TYfo0,2021,法令順守意識,2.88
2025/6/30,ペプチドリーム,4587,TOPIX Mid400,a0C1000000TYfo0,2018,人事評価の適正感,2.94
2025/6/30,ペプチドリーム,4587,TOPIX Mid400,a0C1000000TYfo0,2019,人事評価の適正感,2.94
2025/6/30,ペプチドリーム,4587,TOPIX Mid400,a0C1000000TYfo0,2020,人事評価の適正感,2.94
2025/6/30,ペプチドリーム,4587,TOPIX Mid400,a0C1000000TYfo0,2021,人事評価の適正感,2.94
2025/6/30,ペプチドリーム,4587,TOPIX Mid400,a0C1000000TYfo0,2018,有給休暇消化率,90
2025/6/30,ペプチドリーム,4587,TOPIX Mid400,a0C1000000TYfo0,2019,有給休暇消化率,90
2025/6/30,ペプチドリーム,4587,TOPIX Mid400,a0C1000000TYfo0,2020,有給休暇消化率,90
2025/6/30,ペプチドリーム,4587,TOPIX Mid400,a0C1000000TYfo0,2021,有給休暇消化率,90
2025/6/30,ペプチドリーム,4587,TOPIX Mid400,a0C1000000TYfo0,2018,残業時間(月間),3
2025/6/30,ペプチドリーム,4587,TOPIX Mid400,a0C1000000TYfo0,2019,残業時間(月間),3
2025/6/30,ペプチドリーム,4587,TOPIX Mid400,a0C1000000TYfo0,2020,残業時間(月間),3
2025/6/30,ペプチドリーム,4587,TOPIX Mid400,a0C1000000TYfo0,2021,残業時間(月間),3
