date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,日本ペイントホールディングス,4612,TOPIX Mid400,a0C1000000kSOQZ,2016,クチコミ総合評価,3.28
2025/6/30,日本ペイントホールディングス,4612,TOPIX Mid400,a0C1000000kSOQZ,2017,クチコミ総合評価,3.23
2025/6/30,日本ペイントホールディングス,4612,TOPIX Mid400,a0C1000000kSOQZ,2018,クチコミ総合評価,3.26
2025/6/30,日本ペイントホールディングス,4612,TOPIX Mid400,a0C1000000kSOQZ,2019,クチコミ総合評価,3.15
2025/6/30,日本ペイントホールディングス,4612,TOPIX Mid400,a0C1000000kSOQZ,2020,クチコミ総合評価,3.1
2025/6/30,日本ペイントホールディングス,4612,TOPIX Mid400,a0C1000000kSOQZ,2021,クチコミ総合評価,3.09
2025/6/30,日本ペイントホールディングス,4612,TOPIX Mid400,a0C1000000kSOQZ,2022,クチコミ総合評価,3.1
2025/6/30,日本ペイントホールディングス,4612,TOPIX Mid400,a0C1000000kSOQZ,2023,クチコミ総合評価,3.09
2025/6/30,日本ペイントホールディングス,4612,TOPIX Mid400,a0C1000000kSOQZ,2024,クチコミ総合評価,3.12
2025/6/30,日本ペイントホールディングス,4612,TOPIX Mid400,a0C1000000kSOQZ,2025,クチコミ総合評価,2.74
2025/6/30,日本ペイントホールディングス,4612,TOPIX Mid400,a0C1000000kSOQZ,2016,待遇面の満足度,4.11
2025/6/30,日本ペイントホールディングス,4612,TOPIX Mid400,a0C1000000kSOQZ,2017,待遇面の満足度,4.08
2025/6/30,日本ペイントホールディングス,4612,TOPIX Mid400,a0C1000000kSOQZ,2018,待遇面の満足度,4.13
2025/6/30,日本ペイントホールディングス,4612,TOPIX Mid400,a0C1000000kSOQZ,2019,待遇面の満足度,3.95
2025/6/30,日本ペイントホールディングス,4612,TOPIX Mid400,a0C1000000kSOQZ,2020,待遇面の満足度,4.08
2025/6/30,日本ペイントホールディングス,4612,TOPIX Mid400,a0C1000000kSOQZ,2021,待遇面の満足度,4.41
2025/6/30,日本ペイントホールディングス,4612,TOPIX Mid400,a0C1000000kSOQZ,2022,待遇面の満足度,4.35
