date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,関西ペイント,4613,TOPIX Mid400,a0910000000Fr40,2016,クチコミ総合評価,3.16
2025/6/30,関西ペイント,4613,TOPIX Mid400,a0910000000Fr40,2017,クチコミ総合評価,3.21
2025/6/30,関西ペイント,4613,TOPIX Mid400,a0910000000Fr40,2018,クチコミ総合評価,3.3
2025/6/30,関西ペイント,4613,TOPIX Mid400,a0910000000Fr40,2019,クチコミ総合評価,3.25
2025/6/30,関西ペイント,4613,TOPIX Mid400,a0910000000Fr40,2020,クチコミ総合評価,3.15
2025/6/30,関西ペイント,4613,TOPIX Mid400,a0910000000Fr40,2021,クチコミ総合評価,2.99
2025/6/30,関西ペイント,4613,TOPIX Mid400,a0910000000Fr40,2022,クチコミ総合評価,2.98
2025/6/30,関西ペイント,4613,TOPIX Mid400,a0910000000Fr40,2023,クチコミ総合評価,3.1
2025/6/30,関西ペイント,4613,TOPIX Mid400,a0910000000Fr40,2024,クチコミ総合評価,3.2
2025/6/30,関西ペイント,4613,TOPIX Mid400,a0910000000Fr40,2025,クチコミ総合評価,3.27
2025/6/30,関西ペイント,4613,TOPIX Mid400,a0910000000Fr40,2016,待遇面の満足度,3.29
2025/6/30,関西ペイント,4613,TOPIX Mid400,a0910000000Fr40,2017,待遇面の満足度,3.35
2025/6/30,関西ペイント,4613,TOPIX Mid400,a0910000000Fr40,2018,待遇面の満足度,3.56
2025/6/30,関西ペイント,4613,TOPIX Mid400,a0910000000Fr40,2019,待遇面の満足度,3.53
2025/6/30,関西ペイント,4613,TOPIX Mid400,a0910000000Fr40,2020,待遇面の満足度,3.28
2025/6/30,関西ペイント,4613,TOPIX Mid400,a0910000000Fr40,2021,待遇面の満足度,3.15
2025/6/30,関西ペイント,4613,TOPIX Mid400,a0910000000Fr40,2022,待遇面の満足度,3.12
2025/6/30,関西ペイント,4613,TOPIX Mid400,a0910000000Fr40,2023,待遇面の満足度,3.18
2025/6/30,関西ペイント,4613,TOPIX Mid400,a0910000000Fr40,2024,待遇面の満足度,3.19
2025/6/30,関西ペイント,4613,TOPIX Mid400,a0910000000Fr40,2025,待遇面の満足度,3
2025/6/30,関西ペイント,4613,TOPIX Mid400,a0910000000Fr40,2016,社員の士気,2.6
2025/6/30,関西ペイント,4613,TOPIX Mid400,a0910000000Fr40,2017,社員の士気,2.69
2025/6/30,関西ペイント,4613,TOPIX Mid400,a0910000000Fr40,2018,社員の士気,2.7
2025/6/30,関西ペイント,4613,TOPIX Mid400,a0910000000Fr40,2019,社員の士気,2.69
2025/6/30,関西ペイント,4613,TOPIX Mid400,a0910000000Fr40,2020,社員の士気,2.57
2025/6/30,関西ペイント,4613,TOPIX Mid400,a0910000000Fr40,2021,社員の士気,2.46
2025/6/30,関西ペイント,4613,TOPIX Mid400,a0910000000Fr40,2022,社員の士気,2.51
2025/6/30,関西ペイント,4613,TOPIX Mid400,a0910000000Fr40,2023,社員の士気,2.55
2025/6/30,関西ペイント,4613,TOPIX Mid400,a0910000000Fr40,2024,社員の士気,2.71
