date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,オリエンタルランド,4661,TOPIX Large70,a0910000000Fr4a,2016,クチコミ総合評価,3.52
2025/6/30,オリエンタルランド,4661,TOPIX Large70,a0910000000Fr4a,2017,クチコミ総合評価,3.53
2025/6/30,オリエンタルランド,4661,TOPIX Large70,a0910000000Fr4a,2018,クチコミ総合評価,3.46
2025/6/30,オリエンタルランド,4661,TOPIX Large70,a0910000000Fr4a,2019,クチコミ総合評価,3.4
2025/6/30,オリエンタルランド,4661,TOPIX Large70,a0910000000Fr4a,2020,クチコミ総合評価,3.35
2025/6/30,オリエンタルランド,4661,TOPIX Large70,a0910000000Fr4a,2021,クチコミ総合評価,3.34
2025/6/30,オリエンタルランド,4661,TOPIX Large70,a0910000000Fr4a,2022,クチコミ総合評価,3.34
2025/6/30,オリエンタルランド,4661,TOPIX Large70,a0910000000Fr4a,2023,クチコミ総合評価,3.45
2025/6/30,オリエンタルランド,4661,TOPIX Large70,a0910000000Fr4a,2024,クチコミ総合評価,3.44
2025/6/30,オリエンタルランド,4661,TOPIX Large70,a0910000000Fr4a,2025,クチコミ総合評価,3.42
2025/6/30,オリエンタルランド,4661,TOPIX Large70,a0910000000Fr4a,2016,待遇面の満足度,2.98
2025/6/30,オリエンタルランド,4661,TOPIX Large70,a0910000000Fr4a,2017,待遇面の満足度,2.96
2025/6/30,オリエンタルランド,4661,TOPIX Large70,a0910000000Fr4a,2018,待遇面の満足度,2.97
2025/6/30,オリエンタルランド,4661,TOPIX Large70,a0910000000Fr4a,2019,待遇面の満足度,2.93
2025/6/30,オリエンタルランド,4661,TOPIX Large70,a0910000000Fr4a,2020,待遇面の満足度,2.89
2025/6/30,オリエンタルランド,4661,TOPIX Large70,a0910000000Fr4a,2021,待遇面の満足度,2.85
2025/6/30,オリエンタルランド,4661,TOPIX Large70,a0910000000Fr4a,2022,待遇面の満足度,2.85
2025/6/30,オリエンタルランド,4661,TOPIX Large70,a0910000000Fr4a,2023,待遇面の満足度,2.87
2025/6/30,オリエンタルランド,4661,TOPIX Large70,a0910000000Fr4a,2024,待遇面の満足度,2.82
2025/6/30,オリエンタルランド,4661,TOPIX Large70,a0910000000Fr4a,2025,待遇面の満足度,2.5
2025/6/30,オリエンタルランド,4661,TOPIX Large70,a0910000000Fr4a,2016,社員の士気,3.49
2025/6/30,オリエンタルランド,4661,TOPIX Large70,a0910000000Fr4a,2017,社員の士気,3.55
2025/6/30,オリエンタルランド,4661,TOPIX Large70,a0910000000Fr4a,2018,社員の士気,3.48
2025/6/30,オリエンタルランド,4661,TOPIX Large70,a0910000000Fr4a,2019,社員の士気,3.42
2025/6/30,オリエンタルランド,4661,TOPIX Large70,a0910000000Fr4a,2020,社員の士気,3.38
2025/6/30,オリエンタルランド,4661,TOPIX Large70,a0910000000Fr4a,2021,社員の士気,3.38
2025/6/30,オリエンタルランド,4661,TOPIX Large70,a0910000000Fr4a,2022,社員の士気,3.28
2025/6/30,オリエンタルランド,4661,TOPIX Large70,a0910000000Fr4a,2023,社員の士気,3.46
2025/6/30,オリエンタルランド,4661,TOPIX Large70,a0910000000Fr4a,2024,社員の士気,3.3
2025/6/30,オリエンタルランド,4661,TOPIX Large70,a0910000000Fr4a,2025,社員の士気,3.46
2025/6/30,オリエンタルランド,4661,TOPIX Large70,a0910000000Fr4a,2016,風通しの良さ,3.39
2025/6/30,オリエンタルランド,4661,TOPIX Large70,a0910000000Fr4a,2017,風通しの良さ,3.35
2025/6/30,オリエンタルランド,4661,TOPIX Large70,a0910000000Fr4a,2018,風通しの良さ,3.2
2025/6/30,オリエンタルランド,4661,TOPIX Large70,a0910000000Fr4a,2019,風通しの良さ,3.12
2025/6/30,オリエンタルランド,4661,TOPIX Large70,a0910000000Fr4a,2020,風通しの良さ,3.04
2025/6/30,オリエンタルランド,4661,TOPIX Large70,a0910000000Fr4a,2021,風通しの良さ,2.97
2025/6/30,オリエンタルランド,4661,TOPIX Large70,a0910000000Fr4a,2022,風通しの良さ,3.14
2025/6/30,オリエンタルランド,4661,TOPIX Large70,a0910000000Fr4a,2023,風通しの良さ,3.3
2025/6/30,オリエンタルランド,4661,TOPIX Large70,a0910000000Fr4a,2024,風通しの良さ,3.39
2025/6/30,オリエンタルランド,4661,TOPIX Large70,a0910000000Fr4a,2025,風通しの良さ,3.49
2025/6/30,オリエンタルランド,4661,TOPIX Large70,a0910000000Fr4a,2016,社員の相互尊重,4.16
2025/6/30,オリエンタルランド,4661,TOPIX Large70,a0910000000Fr4a,2017,社員の相互尊重,4.24
2025/6/30,オリエンタルランド,4661,TOPIX Large70,a0910000000Fr4a,2018,社員の相互尊重,4.23
2025/6/30,オリエンタルランド,4661,TOPIX Large70,a0910000000Fr4a,2019,社員の相互尊重,4.21
2025/6/30,オリエンタルランド,4661,TOPIX Large70,a0910000000Fr4a,2020,社員の相互尊重,4.22
2025/6/30,オリエンタルランド,4661,TOPIX Large70,a0910000000Fr4a,2021,社員の相互尊重,4.3
2025/6/30,オリエンタルランド,4661,TOPIX Large70,a0910000000Fr4a,2022,社員の相互尊重,4.28
2025/6/30,オリエンタルランド,4661,TOPIX Large70,a0910000000Fr4a,2023,社員の相互尊重,4.27
2025/6/30,オリエンタルランド,4661,TOPIX Large70,a0910000000Fr4a,2024,社員の相互尊重,4.27
2025/6/30,オリエンタルランド,4661,TOPIX Large70,a0910000000Fr4a,2025,社員の相互尊重,4.31
2025/6/30,オリエンタルランド,4661,TOPIX Large70,a0910000000Fr4a,2016,20代成長環境,2.85
2025/6/30,オリエンタルランド,4661,TOPIX Large70,a0910000000Fr4a,2017,20代成長環境,2.81
2025/6/30,オリエンタルランド,4661,TOPIX Large70,a0910000000Fr4a,2018,20代成長環境,2.75
2025/6/30,オリエンタルランド,4661,TOPIX Large70,a0910000000Fr4a,2019,20代成長環境,2.66
2025/6/30,オリエンタルランド,4661,TOPIX Large70,a0910000000Fr4a,2020,20代成長環境,2.57
2025/6/30,オリエンタルランド,4661,TOPIX Large70,a0910000000Fr4a,2021,20代成長環境,2.59
2025/6/30,オリエンタルランド,4661,TOPIX Large70,a0910000000Fr4a,2022,20代成長環境,2.65
2025/6/30,オリエンタルランド,4661,TOPIX Large70,a0910000000Fr4a,2023,20代成長環境,2.81
2025/6/30,オリエンタルランド,4661,TOPIX Large70,a0910000000Fr4a,2024,20代成長環境,2.89
2025/6/30,オリエンタルランド,4661,TOPIX Large70,a0910000000Fr4a,2025,20代成長環境,2.82
2025/6/30,オリエンタルランド,4661,TOPIX Large70,a0910000000Fr4a,2016,人材の長期育成,2.87
2025/6/30,オリエンタルランド,4661,TOPIX Large70,a0910000000Fr4a,2017,人材の長期育成,2.87
2025/6/30,オリエンタルランド,4661,TOPIX Large70,a0910000000Fr4a,2018,人材の長期育成,2.78
2025/6/30,オリエンタルランド,4661,TOPIX Large70,a0910000000Fr4a,2019,人材の長期育成,2.72
2025/6/30,オリエンタルランド,4661,TOPIX Large70,a0910000000Fr4a,2020,人材の長期育成,2.66
2025/6/30,オリエンタルランド,4661,TOPIX Large70,a0910000000Fr4a,2021,人材の長期育成,2.64
2025/6/30,オリエンタルランド,4661,TOPIX Large70,a0910000000Fr4a,2022,人材の長期育成,2.63
2025/6/30,オリエンタルランド,4661,TOPIX Large70,a0910000000Fr4a,2023,人材の長期育成,2.74
2025/6/30,オリエンタルランド,4661,TOPIX Large70,a0910000000Fr4a,2024,人材の長期育成,2.81
2025/6/30,オリエンタルランド,4661,TOPIX Large70,a0910000000Fr4a,2025,人材の長期育成,2.73
2025/6/30,オリエンタルランド,4661,TOPIX Large70,a0910000000Fr4a,2016,法令順守意識,4.81
2025/6/30,オリエンタルランド,4661,TOPIX Large70,a0910000000Fr4a,2017,法令順守意識,4.85
2025/6/30,オリエンタルランド,4661,TOPIX Large70,a0910000000Fr4a,2018,法令順守意識,4.87
2025/6/30,オリエンタルランド,4661,TOPIX Large70,a0910000000Fr4a,2019,法令順守意識,4.87
2025/6/30,オリエンタルランド,4661,TOPIX Large70,a0910000000Fr4a,2020,法令順守意識,4.9
2025/6/30,オリエンタルランド,4661,TOPIX Large70,a0910000000Fr4a,2021,法令順守意識,4.92
2025/6/30,オリエンタルランド,4661,TOPIX Large70,a0910000000Fr4a,2022,法令順守意識,4.92
2025/6/30,オリエンタルランド,4661,TOPIX Large70,a0910000000Fr4a,2023,法令順守意識,4.91
2025/6/30,オリエンタルランド,4661,TOPIX Large70,a0910000000Fr4a,2024,法令順守意識,4.9
2025/6/30,オリエンタルランド,4661,TOPIX Large70,a0910000000Fr4a,2025,法令順守意識,4.91
2025/6/30,オリエンタルランド,4661,TOPIX Large70,a0910000000Fr4a,2016,人事評価の適正感,2.86
2025/6/30,オリエンタルランド,4661,TOPIX Large70,a0910000000Fr4a,2017,人事評価の適正感,2.83
2025/6/30,オリエンタルランド,4661,TOPIX Large70,a0910000000Fr4a,2018,人事評価の適正感,2.74
