date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,オービック,4684,TOPIX Mid400,a0910000000Fr6X,2016,クチコミ総合評価,3.61
2025/6/30,オービック,4684,TOPIX Mid400,a0910000000Fr6X,2017,クチコミ総合評価,3.57
2025/6/30,オービック,4684,TOPIX Mid400,a0910000000Fr6X,2018,クチコミ総合評価,3.6
2025/6/30,オービック,4684,TOPIX Mid400,a0910000000Fr6X,2019,クチコミ総合評価,3.58
2025/6/30,オービック,4684,TOPIX Mid400,a0910000000Fr6X,2020,クチコミ総合評価,3.68
2025/6/30,オービック,4684,TOPIX Mid400,a0910000000Fr6X,2021,クチコミ総合評価,3.73
2025/6/30,オービック,4684,TOPIX Mid400,a0910000000Fr6X,2022,クチコミ総合評価,3.78
2025/6/30,オービック,4684,TOPIX Mid400,a0910000000Fr6X,2023,クチコミ総合評価,3.88
2025/6/30,オービック,4684,TOPIX Mid400,a0910000000Fr6X,2024,クチコミ総合評価,3.93
2025/6/30,オービック,4684,TOPIX Mid400,a0910000000Fr6X,2025,クチコミ総合評価,3.98
2025/6/30,オービック,4684,TOPIX Mid400,a0910000000Fr6X,2016,待遇面の満足度,2.71
2025/6/30,オービック,4684,TOPIX Mid400,a0910000000Fr6X,2017,待遇面の満足度,2.67
2025/6/30,オービック,4684,TOPIX Mid400,a0910000000Fr6X,2018,待遇面の満足度,2.66
2025/6/30,オービック,4684,TOPIX Mid400,a0910000000Fr6X,2019,待遇面の満足度,2.66
2025/6/30,オービック,4684,TOPIX Mid400,a0910000000Fr6X,2020,待遇面の満足度,2.77
2025/6/30,オービック,4684,TOPIX Mid400,a0910000000Fr6X,2021,待遇面の満足度,2.89
2025/6/30,オービック,4684,TOPIX Mid400,a0910000000Fr6X,2022,待遇面の満足度,2.97
2025/6/30,オービック,4684,TOPIX Mid400,a0910000000Fr6X,2023,待遇面の満足度,3.06
2025/6/30,オービック,4684,TOPIX Mid400,a0910000000Fr6X,2024,待遇面の満足度,3.07
2025/6/30,オービック,4684,TOPIX Mid400,a0910000000Fr6X,2025,待遇面の満足度,3
2025/6/30,オービック,4684,TOPIX Mid400,a0910000000Fr6X,2016,社員の士気,3.25
2025/6/30,オービック,4684,TOPIX Mid400,a0910000000Fr6X,2017,社員の士気,3.28
2025/6/30,オービック,4684,TOPIX Mid400,a0910000000Fr6X,2018,社員の士気,3.36
2025/6/30,オービック,4684,TOPIX Mid400,a0910000000Fr6X,2019,社員の士気,3.38
2025/6/30,オービック,4684,TOPIX Mid400,a0910000000Fr6X,2020,社員の士気,3.53
2025/6/30,オービック,4684,TOPIX Mid400,a0910000000Fr6X,2021,社員の士気,3.5
2025/6/30,オービック,4684,TOPIX Mid400,a0910000000Fr6X,2022,社員の士気,3.57
2025/6/30,オービック,4684,TOPIX Mid400,a0910000000Fr6X,2023,社員の士気,3.58
2025/6/30,オービック,4684,TOPIX Mid400,a0910000000Fr6X,2024,社員の士気,3.49
2025/6/30,オービック,4684,TOPIX Mid400,a0910000000Fr6X,2025,社員の士気,3.65
2025/6/30,オービック,4684,TOPIX Mid400,a0910000000Fr6X,2016,風通しの良さ,3.98
2025/6/30,オービック,4684,TOPIX Mid400,a0910000000Fr6X,2017,風通しの良さ,3.93
2025/6/30,オービック,4684,TOPIX Mid400,a0910000000Fr6X,2018,風通しの良さ,3.94
2025/6/30,オービック,4684,TOPIX Mid400,a0910000000Fr6X,2019,風通しの良さ,3.91
2025/6/30,オービック,4684,TOPIX Mid400,a0910000000Fr6X,2020,風通しの良さ,3.89
2025/6/30,オービック,4684,TOPIX Mid400,a0910000000Fr6X,2021,風通しの良さ,3.94
2025/6/30,オービック,4684,TOPIX Mid400,a0910000000Fr6X,2022,風通しの良さ,3.93
2025/6/30,オービック,4684,TOPIX Mid400,a0910000000Fr6X,2023,風通しの良さ,3.95
2025/6/30,オービック,4684,TOPIX Mid400,a0910000000Fr6X,2024,風通しの良さ,4.01
2025/6/30,オービック,4684,TOPIX Mid400,a0910000000Fr6X,2025,風通しの良さ,4.08
2025/6/30,オービック,4684,TOPIX Mid400,a0910000000Fr6X,2016,社員の相互尊重,4.08
2025/6/30,オービック,4684,TOPIX Mid400,a0910000000Fr6X,2017,社員の相互尊重,4.05
2025/6/30,オービック,4684,TOPIX Mid400,a0910000000Fr6X,2018,社員の相互尊重,4.12
2025/6/30,オービック,4684,TOPIX Mid400,a0910000000Fr6X,2019,社員の相互尊重,4.1
2025/6/30,オービック,4684,TOPIX Mid400,a0910000000Fr6X,2020,社員の相互尊重,4.09
2025/6/30,オービック,4684,TOPIX Mid400,a0910000000Fr6X,2021,社員の相互尊重,4.08
2025/6/30,オービック,4684,TOPIX Mid400,a0910000000Fr6X,2022,社員の相互尊重,4.09
2025/6/30,オービック,4684,TOPIX Mid400,a0910000000Fr6X,2023,社員の相互尊重,4.12
2025/6/30,オービック,4684,TOPIX Mid400,a0910000000Fr6X,2024,社員の相互尊重,4.07
2025/6/30,オービック,4684,TOPIX Mid400,a0910000000Fr6X,2025,社員の相互尊重,4.03
2025/6/30,オービック,4684,TOPIX Mid400,a0910000000Fr6X,2016,20代成長環境,4.53
2025/6/30,オービック,4684,TOPIX Mid400,a0910000000Fr6X,2017,20代成長環境,4.48
2025/6/30,オービック,4684,TOPIX Mid400,a0910000000Fr6X,2018,20代成長環境,4.44
2025/6/30,オービック,4684,TOPIX Mid400,a0910000000Fr6X,2019,20代成長環境,4.39
2025/6/30,オービック,4684,TOPIX Mid400,a0910000000Fr6X,2020,20代成長環境,4.4
2025/6/30,オービック,4684,TOPIX Mid400,a0910000000Fr6X,2021,20代成長環境,4.43
2025/6/30,オービック,4684,TOPIX Mid400,a0910000000Fr6X,2022,20代成長環境,4.36
2025/6/30,オービック,4684,TOPIX Mid400,a0910000000Fr6X,2023,20代成長環境,4.34
2025/6/30,オービック,4684,TOPIX Mid400,a0910000000Fr6X,2024,20代成長環境,4.3
2025/6/30,オービック,4684,TOPIX Mid400,a0910000000Fr6X,2025,20代成長環境,4.26
2025/6/30,オービック,4684,TOPIX Mid400,a0910000000Fr6X,2016,人材の長期育成,2.68
2025/6/30,オービック,4684,TOPIX Mid400,a0910000000Fr6X,2017,人材の長期育成,2.65
2025/6/30,オービック,4684,TOPIX Mid400,a0910000000Fr6X,2018,人材の長期育成,2.7
2025/6/30,オービック,4684,TOPIX Mid400,a0910000000Fr6X,2019,人材の長期育成,2.73
2025/6/30,オービック,4684,TOPIX Mid400,a0910000000Fr6X,2020,人材の長期育成,2.89
2025/6/30,オービック,4684,TOPIX Mid400,a0910000000Fr6X,2021,人材の長期育成,2.9
2025/6/30,オービック,4684,TOPIX Mid400,a0910000000Fr6X,2022,人材の長期育成,2.97
2025/6/30,オービック,4684,TOPIX Mid400,a0910000000Fr6X,2023,人材の長期育成,3.2
