date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,トレンドマイクロ,4704,TOPIX Mid400,a0910000000Fr6k,2016,クチコミ総合評価,3.42
2025/6/30,トレンドマイクロ,4704,TOPIX Mid400,a0910000000Fr6k,2017,クチコミ総合評価,3.64
2025/6/30,トレンドマイクロ,4704,TOPIX Mid400,a0910000000Fr6k,2018,クチコミ総合評価,3.69
2025/6/30,トレンドマイクロ,4704,TOPIX Mid400,a0910000000Fr6k,2019,クチコミ総合評価,3.81
2025/6/30,トレンドマイクロ,4704,TOPIX Mid400,a0910000000Fr6k,2020,クチコミ総合評価,3.86
2025/6/30,トレンドマイクロ,4704,TOPIX Mid400,a0910000000Fr6k,2021,クチコミ総合評価,3.93
2025/6/30,トレンドマイクロ,4704,TOPIX Mid400,a0910000000Fr6k,2022,クチコミ総合評価,3.78
2025/6/30,トレンドマイクロ,4704,TOPIX Mid400,a0910000000Fr6k,2023,クチコミ総合評価,3.81
2025/6/30,トレンドマイクロ,4704,TOPIX Mid400,a0910000000Fr6k,2024,クチコミ総合評価,3.76
2025/6/30,トレンドマイクロ,4704,TOPIX Mid400,a0910000000Fr6k,2025,クチコミ総合評価,4.01
2025/6/30,トレンドマイクロ,4704,TOPIX Mid400,a0910000000Fr6k,2016,待遇面の満足度,2.96
2025/6/30,トレンドマイクロ,4704,TOPIX Mid400,a0910000000Fr6k,2017,待遇面の満足度,3.21
2025/6/30,トレンドマイクロ,4704,TOPIX Mid400,a0910000000Fr6k,2018,待遇面の満足度,3.36
2025/6/30,トレンドマイクロ,4704,TOPIX Mid400,a0910000000Fr6k,2019,待遇面の満足度,3.53
2025/6/30,トレンドマイクロ,4704,TOPIX Mid400,a0910000000Fr6k,2020,待遇面の満足度,3.55
2025/6/30,トレンドマイクロ,4704,TOPIX Mid400,a0910000000Fr6k,2021,待遇面の満足度,3.65
2025/6/30,トレンドマイクロ,4704,TOPIX Mid400,a0910000000Fr6k,2022,待遇面の満足度,3.44
2025/6/30,トレンドマイクロ,4704,TOPIX Mid400,a0910000000Fr6k,2023,待遇面の満足度,3.39
2025/6/30,トレンドマイクロ,4704,TOPIX Mid400,a0910000000Fr6k,2024,待遇面の満足度,3.32
2025/6/30,トレンドマイクロ,4704,TOPIX Mid400,a0910000000Fr6k,2025,待遇面の満足度,3.82
2025/6/30,トレンドマイクロ,4704,TOPIX Mid400,a0910000000Fr6k,2016,社員の士気,2.89
2025/6/30,トレンドマイクロ,4704,TOPIX Mid400,a0910000000Fr6k,2017,社員の士気,3.1
2025/6/30,トレンドマイクロ,4704,TOPIX Mid400,a0910000000Fr6k,2018,社員の士気,3.1
2025/6/30,トレンドマイクロ,4704,TOPIX Mid400,a0910000000Fr6k,2019,社員の士気,3.19
2025/6/30,トレンドマイクロ,4704,TOPIX Mid400,a0910000000Fr6k,2020,社員の士気,3.15
2025/6/30,トレンドマイクロ,4704,TOPIX Mid400,a0910000000Fr6k,2021,社員の士気,3.15
2025/6/30,トレンドマイクロ,4704,TOPIX Mid400,a0910000000Fr6k,2022,社員の士気,3.04
2025/6/30,トレンドマイクロ,4704,TOPIX Mid400,a0910000000Fr6k,2023,社員の士気,3.09
