date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,日本オラクル,4716,TOPIX Mid400,a0910000000Fr6t,2016,クチコミ総合評価,3.29
2025/6/30,日本オラクル,4716,TOPIX Mid400,a0910000000Fr6t,2017,クチコミ総合評価,3.28
2025/6/30,日本オラクル,4716,TOPIX Mid400,a0910000000Fr6t,2018,クチコミ総合評価,3.3
2025/6/30,日本オラクル,4716,TOPIX Mid400,a0910000000Fr6t,2019,クチコミ総合評価,3.34
2025/6/30,日本オラクル,4716,TOPIX Mid400,a0910000000Fr6t,2020,クチコミ総合評価,3.41
2025/6/30,日本オラクル,4716,TOPIX Mid400,a0910000000Fr6t,2021,クチコミ総合評価,3.47
2025/6/30,日本オラクル,4716,TOPIX Mid400,a0910000000Fr6t,2022,クチコミ総合評価,3.61
2025/6/30,日本オラクル,4716,TOPIX Mid400,a0910000000Fr6t,2023,クチコミ総合評価,3.64
2025/6/30,日本オラクル,4716,TOPIX Mid400,a0910000000Fr6t,2024,クチコミ総合評価,3.54
2025/6/30,日本オラクル,4716,TOPIX Mid400,a0910000000Fr6t,2025,クチコミ総合評価,3.45
2025/6/30,日本オラクル,4716,TOPIX Mid400,a0910000000Fr6t,2016,待遇面の満足度,2.7
2025/6/30,日本オラクル,4716,TOPIX Mid400,a0910000000Fr6t,2017,待遇面の満足度,2.78
2025/6/30,日本オラクル,4716,TOPIX Mid400,a0910000000Fr6t,2018,待遇面の満足度,2.86
2025/6/30,日本オラクル,4716,TOPIX Mid400,a0910000000Fr6t,2019,待遇面の満足度,2.89
2025/6/30,日本オラクル,4716,TOPIX Mid400,a0910000000Fr6t,2020,待遇面の満足度,2.94
2025/6/30,日本オラクル,4716,TOPIX Mid400,a0910000000Fr6t,2021,待遇面の満足度,3.03
2025/6/30,日本オラクル,4716,TOPIX Mid400,a0910000000Fr6t,2022,待遇面の満足度,3.12
2025/6/30,日本オラクル,4716,TOPIX Mid400,a0910000000Fr6t,2023,待遇面の満足度,3.08
2025/6/30,日本オラクル,4716,TOPIX Mid400,a0910000000Fr6t,2024,待遇面の満足度,2.97
2025/6/30,日本オラクル,4716,TOPIX Mid400,a0910000000Fr6t,2025,待遇面の満足度,2.69
2025/6/30,日本オラクル,4716,TOPIX Mid400,a0910000000Fr6t,2016,社員の士気,2.94
2025/6/30,日本オラクル,4716,TOPIX Mid400,a0910000000Fr6t,2017,社員の士気,2.94
2025/6/30,日本オラクル,4716,TOPIX Mid400,a0910000000Fr6t,2018,社員の士気,2.94
2025/6/30,日本オラクル,4716,TOPIX Mid400,a0910000000Fr6t,2019,社員の士気,2.98
2025/6/30,日本オラクル,4716,TOPIX Mid400,a0910000000Fr6t,2020,社員の士気,3.12
2025/6/30,日本オラクル,4716,TOPIX Mid400,a0910000000Fr6t,2021,社員の士気,3.24
2025/6/30,日本オラクル,4716,TOPIX Mid400,a0910000000Fr6t,2022,社員の士気,3.35
2025/6/30,日本オラクル,4716,TOPIX Mid400,a0910000000Fr6t,2023,社員の士気,3.54
2025/6/30,日本オラクル,4716,TOPIX Mid400,a0910000000Fr6t,2024,社員の士気,3.57
2025/6/30,日本オラクル,4716,TOPIX Mid400,a0910000000Fr6t,2025,社員の士気,3.36
2025/6/30,日本オラクル,4716,TOPIX Mid400,a0910000000Fr6t,2016,風通しの良さ,3.83
2025/6/30,日本オラクル,4716,TOPIX Mid400,a0910000000Fr6t,2017,風通しの良さ,3.8
2025/6/30,日本オラクル,4716,TOPIX Mid400,a0910000000Fr6t,2018,風通しの良さ,3.76
2025/6/30,日本オラクル,4716,TOPIX Mid400,a0910000000Fr6t,2019,風通しの良さ,3.78
2025/6/30,日本オラクル,4716,TOPIX Mid400,a0910000000Fr6t,2020,風通しの良さ,3.89
2025/6/30,日本オラクル,4716,TOPIX Mid400,a0910000000Fr6t,2021,風通しの良さ,3.88
2025/6/30,日本オラクル,4716,TOPIX Mid400,a0910000000Fr6t,2022,風通しの良さ,3.93
2025/6/30,日本オラクル,4716,TOPIX Mid400,a0910000000Fr6t,2023,風通しの良さ,3.88
2025/6/30,日本オラクル,4716,TOPIX Mid400,a0910000000Fr6t,2024,風通しの良さ,3.91
2025/6/30,日本オラクル,4716,TOPIX Mid400,a0910000000Fr6t,2025,風通しの良さ,3.88
2025/6/30,日本オラクル,4716,TOPIX Mid400,a0910000000Fr6t,2016,社員の相互尊重,3.12
2025/6/30,日本オラクル,4716,TOPIX Mid400,a0910000000Fr6t,2017,社員の相互尊重,3
2025/6/30,日本オラクル,4716,TOPIX Mid400,a0910000000Fr6t,2018,社員の相互尊重,2.95
2025/6/30,日本オラクル,4716,TOPIX Mid400,a0910000000Fr6t,2019,社員の相互尊重,2.94
2025/6/30,日本オラクル,4716,TOPIX Mid400,a0910000000Fr6t,2020,社員の相互尊重,2.97
2025/6/30,日本オラクル,4716,TOPIX Mid400,a0910000000Fr6t,2021,社員の相互尊重,3.03
2025/6/30,日本オラクル,4716,TOPIX Mid400,a0910000000Fr6t,2022,社員の相互尊重,3.25
2025/6/30,日本オラクル,4716,TOPIX Mid400,a0910000000Fr6t,2023,社員の相互尊重,3.28
2025/6/30,日本オラクル,4716,TOPIX Mid400,a0910000000Fr6t,2024,社員の相互尊重,3.31
2025/6/30,日本オラクル,4716,TOPIX Mid400,a0910000000Fr6t,2025,社員の相互尊重,3.46
2025/6/30,日本オラクル,4716,TOPIX Mid400,a0910000000Fr6t,2016,20代成長環境,3.33
2025/6/30,日本オラクル,4716,TOPIX Mid400,a0910000000Fr6t,2017,20代成長環境,3.26
2025/6/30,日本オラクル,4716,TOPIX Mid400,a0910000000Fr6t,2018,20代成長環境,3.3
2025/6/30,日本オラクル,4716,TOPIX Mid400,a0910000000Fr6t,2019,20代成長環境,3.33
