date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,サイバーエージェント,4751,TOPIX Mid400,a0910000000Fr7M,2016,クチコミ総合評価,4.1
2025/6/30,サイバーエージェント,4751,TOPIX Mid400,a0910000000Fr7M,2017,クチコミ総合評価,4.09
2025/6/30,サイバーエージェント,4751,TOPIX Mid400,a0910000000Fr7M,2018,クチコミ総合評価,4.07
2025/6/30,サイバーエージェント,4751,TOPIX Mid400,a0910000000Fr7M,2019,クチコミ総合評価,4.07
2025/6/30,サイバーエージェント,4751,TOPIX Mid400,a0910000000Fr7M,2020,クチコミ総合評価,4.12
2025/6/30,サイバーエージェント,4751,TOPIX Mid400,a0910000000Fr7M,2021,クチコミ総合評価,4.2
2025/6/30,サイバーエージェント,4751,TOPIX Mid400,a0910000000Fr7M,2022,クチコミ総合評価,4.24
2025/6/30,サイバーエージェント,4751,TOPIX Mid400,a0910000000Fr7M,2023,クチコミ総合評価,4.24
2025/6/30,サイバーエージェント,4751,TOPIX Mid400,a0910000000Fr7M,2024,クチコミ総合評価,4.13
2025/6/30,サイバーエージェント,4751,TOPIX Mid400,a0910000000Fr7M,2025,クチコミ総合評価,4.14
2025/6/30,サイバーエージェント,4751,TOPIX Mid400,a0910000000Fr7M,2016,待遇面の満足度,3.37
2025/6/30,サイバーエージェント,4751,TOPIX Mid400,a0910000000Fr7M,2017,待遇面の満足度,3.27
2025/6/30,サイバーエージェント,4751,TOPIX Mid400,a0910000000Fr7M,2018,待遇面の満足度,3.18
2025/6/30,サイバーエージェント,4751,TOPIX Mid400,a0910000000Fr7M,2019,待遇面の満足度,3.17
2025/6/30,サイバーエージェント,4751,TOPIX Mid400,a0910000000Fr7M,2020,待遇面の満足度,3.19
2025/6/30,サイバーエージェント,4751,TOPIX Mid400,a0910000000Fr7M,2021,待遇面の満足度,3.22
2025/6/30,サイバーエージェント,4751,TOPIX Mid400,a0910000000Fr7M,2022,待遇面の満足度,3.22
2025/6/30,サイバーエージェント,4751,TOPIX Mid400,a0910000000Fr7M,2023,待遇面の満足度,3.2
2025/6/30,サイバーエージェント,4751,TOPIX Mid400,a0910000000Fr7M,2024,待遇面の満足度,2.98
2025/6/30,サイバーエージェント,4751,TOPIX Mid400,a0910000000Fr7M,2025,待遇面の満足度,2.76
2025/6/30,サイバーエージェント,4751,TOPIX Mid400,a0910000000Fr7M,2016,社員の士気,4.63
2025/6/30,サイバーエージェント,4751,TOPIX Mid400,a0910000000Fr7M,2017,社員の士気,4.64
2025/6/30,サイバーエージェント,4751,TOPIX Mid400,a0910000000Fr7M,2018,社員の士気,4.62
2025/6/30,サイバーエージェント,4751,TOPIX Mid400,a0910000000Fr7M,2019,社員の士気,4.64
2025/6/30,サイバーエージェント,4751,TOPIX Mid400,a0910000000Fr7M,2020,社員の士気,4.7
2025/6/30,サイバーエージェント,4751,TOPIX Mid400,a0910000000Fr7M,2021,社員の士気,4.72
2025/6/30,サイバーエージェント,4751,TOPIX Mid400,a0910000000Fr7M,2022,社員の士気,4.73
2025/6/30,サイバーエージェント,4751,TOPIX Mid400,a0910000000Fr7M,2023,社員の士気,4.76
2025/6/30,サイバーエージェント,4751,TOPIX Mid400,a0910000000Fr7M,2024,社員の士気,4.76
