date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,楽天グループ,4755,TOPIX Mid400,a0910000000Fr7P,2016,クチコミ総合評価,3.79
2025/6/30,楽天グループ,4755,TOPIX Mid400,a0910000000Fr7P,2017,クチコミ総合評価,3.88
2025/6/30,楽天グループ,4755,TOPIX Mid400,a0910000000Fr7P,2018,クチコミ総合評価,3.95
2025/6/30,楽天グループ,4755,TOPIX Mid400,a0910000000Fr7P,2019,クチコミ総合評価,3.99
2025/6/30,楽天グループ,4755,TOPIX Mid400,a0910000000Fr7P,2020,クチコミ総合評価,3.97
2025/6/30,楽天グループ,4755,TOPIX Mid400,a0910000000Fr7P,2021,クチコミ総合評価,3.96
2025/6/30,楽天グループ,4755,TOPIX Mid400,a0910000000Fr7P,2022,クチコミ総合評価,3.95
2025/6/30,楽天グループ,4755,TOPIX Mid400,a0910000000Fr7P,2023,クチコミ総合評価,3.92
2025/6/30,楽天グループ,4755,TOPIX Mid400,a0910000000Fr7P,2024,クチコミ総合評価,3.92
2025/6/30,楽天グループ,4755,TOPIX Mid400,a0910000000Fr7P,2025,クチコミ総合評価,3.88
2025/6/30,楽天グループ,4755,TOPIX Mid400,a0910000000Fr7P,2016,待遇面の満足度,3.12
2025/6/30,楽天グループ,4755,TOPIX Mid400,a0910000000Fr7P,2017,待遇面の満足度,3.21
2025/6/30,楽天グループ,4755,TOPIX Mid400,a0910000000Fr7P,2018,待遇面の満足度,3.36
2025/6/30,楽天グループ,4755,TOPIX Mid400,a0910000000Fr7P,2019,待遇面の満足度,3.45
2025/6/30,楽天グループ,4755,TOPIX Mid400,a0910000000Fr7P,2020,待遇面の満足度,3.44
2025/6/30,楽天グループ,4755,TOPIX Mid400,a0910000000Fr7P,2021,待遇面の満足度,3.37
2025/6/30,楽天グループ,4755,TOPIX Mid400,a0910000000Fr7P,2022,待遇面の満足度,3.32
2025/6/30,楽天グループ,4755,TOPIX Mid400,a0910000000Fr7P,2023,待遇面の満足度,3.22
2025/6/30,楽天グループ,4755,TOPIX Mid400,a0910000000Fr7P,2024,待遇面の満足度,3.16
2025/6/30,楽天グループ,4755,TOPIX Mid400,a0910000000Fr7P,2025,待遇面の満足度,3.17
2025/6/30,楽天グループ,4755,TOPIX Mid400,a0910000000Fr7P,2016,社員の士気,3.72
2025/6/30,楽天グループ,4755,TOPIX Mid400,a0910000000Fr7P,2017,社員の士気,3.78
2025/6/30,楽天グループ,4755,TOPIX Mid400,a0910000000Fr7P,2018,社員の士気,3.83
2025/6/30,楽天グループ,4755,TOPIX Mid400,a0910000000Fr7P,2019,社員の士気,3.89
2025/6/30,楽天グループ,4755,TOPIX Mid400,a0910000000Fr7P,2020,社員の士気,3.86
2025/6/30,楽天グループ,4755,TOPIX Mid400,a0910000000Fr7P,2021,社員の士気,3.84
2025/6/30,楽天グループ,4755,TOPIX Mid400,a0910000000Fr7P,2022,社員の士気,3.8
2025/6/30,楽天グループ,4755,TOPIX Mid400,a0910000000Fr7P,2023,社員の士気,3.76
2025/6/30,楽天グループ,4755,TOPIX Mid400,a0910000000Fr7P,2024,社員の士気,3.74
2025/6/30,楽天グループ,4755,TOPIX Mid400,a0910000000Fr7P,2025,社員の士気,3.64
2025/6/30,楽天グループ,4755,TOPIX Mid400,a0910000000Fr7P,2016,風通しの良さ,3.84
2025/6/30,楽天グループ,4755,TOPIX Mid400,a0910000000Fr7P,2017,風通しの良さ,3.92
2025/6/30,楽天グループ,4755,TOPIX Mid400,a0910000000Fr7P,2018,風通しの良さ,3.96
2025/6/30,楽天グループ,4755,TOPIX Mid400,a0910000000Fr7P,2019,風通しの良さ,3.94
2025/6/30,楽天グループ,4755,TOPIX Mid400,a0910000000Fr7P,2020,風通しの良さ,3.94
2025/6/30,楽天グループ,4755,TOPIX Mid400,a0910000000Fr7P,2021,風通しの良さ,3.93
2025/6/30,楽天グループ,4755,TOPIX Mid400,a0910000000Fr7P,2022,風通しの良さ,3.97
2025/6/30,楽天グループ,4755,TOPIX Mid400,a0910000000Fr7P,2023,風通しの良さ,3.99
2025/6/30,楽天グループ,4755,TOPIX Mid400,a0910000000Fr7P,2024,風通しの良さ,4.02
2025/6/30,楽天グループ,4755,TOPIX Mid400,a0910000000Fr7P,2025,風通しの良さ,4.07
2025/6/30,楽天グループ,4755,TOPIX Mid400,a0910000000Fr7P,2016,社員の相互尊重,3.85
2025/6/30,楽天グループ,4755,TOPIX Mid400,a0910000000Fr7P,2017,社員の相互尊重,3.96
2025/6/30,楽天グループ,4755,TOPIX Mid400,a0910000000Fr7P,2018,社員の相互尊重,3.99
2025/6/30,楽天グループ,4755,TOPIX Mid400,a0910000000Fr7P,2019,社員の相互尊重,4.03
2025/6/30,楽天グループ,4755,TOPIX Mid400,a0910000000Fr7P,2020,社員の相互尊重,4.04
2025/6/30,楽天グループ,4755,TOPIX Mid400,a0910000000Fr7P,2021,社員の相互尊重,4.05
2025/6/30,楽天グループ,4755,TOPIX Mid400,a0910000000Fr7P,2022,社員の相互尊重,4.09
2025/6/30,楽天グループ,4755,TOPIX Mid400,a0910000000Fr7P,2023,社員の相互尊重,4.1
2025/6/30,楽天グループ,4755,TOPIX Mid400,a0910000000Fr7P,2024,社員の相互尊重,4.12
2025/6/30,楽天グループ,4755,TOPIX Mid400,a0910000000Fr7P,2025,社員の相互尊重,4.02
2025/6/30,楽天グループ,4755,TOPIX Mid400,a0910000000Fr7P,2016,20代成長環境,4.32
2025/6/30,楽天グループ,4755,TOPIX Mid400,a0910000000Fr7P,2017,20代成長環境,4.35
2025/6/30,楽天グループ,4755,TOPIX Mid400,a0910000000Fr7P,2018,20代成長環境,4.33
2025/6/30,楽天グループ,4755,TOPIX Mid400,a0910000000Fr7P,2019,20代成長環境,4.33
2025/6/30,楽天グループ,4755,TOPIX Mid400,a0910000000Fr7P,2020,20代成長環境,4.3
2025/6/30,楽天グループ,4755,TOPIX Mid400,a0910000000Fr7P,2021,20代成長環境,4.31
2025/6/30,楽天グループ,4755,TOPIX Mid400,a0910000000Fr7P,2022,20代成長環境,4.3
2025/6/30,楽天グループ,4755,TOPIX Mid400,a0910000000Fr7P,2023,20代成長環境,4.29
2025/6/30,楽天グループ,4755,TOPIX Mid400,a0910000000Fr7P,2024,20代成長環境,4.33
2025/6/30,楽天グループ,4755,TOPIX Mid400,a0910000000Fr7P,2025,20代成長環境,4.26
2025/6/30,楽天グループ,4755,TOPIX Mid400,a0910000000Fr7P,2016,人材の長期育成,2.61
2025/6/30,楽天グループ,4755,TOPIX Mid400,a0910000000Fr7P,2017,人材の長期育成,2.67
2025/6/30,楽天グループ,4755,TOPIX Mid400,a0910000000Fr7P,2018,人材の長期育成,2.73
2025/6/30,楽天グループ,4755,TOPIX Mid400,a0910000000Fr7P,2019,人材の長期育成,2.75
2025/6/30,楽天グループ,4755,TOPIX Mid400,a0910000000Fr7P,2020,人材の長期育成,2.74
2025/6/30,楽天グループ,4755,TOPIX Mid400,a0910000000Fr7P,2021,人材の長期育成,2.75
2025/6/30,楽天グループ,4755,TOPIX Mid400,a0910000000Fr7P,2022,人材の長期育成,2.74
2025/6/30,楽天グループ,4755,TOPIX Mid400,a0910000000Fr7P,2023,人材の長期育成,2.73
2025/6/30,楽天グループ,4755,TOPIX Mid400,a0910000000Fr7P,2024,人材の長期育成,2.73
2025/6/30,楽天グループ,4755,TOPIX Mid400,a0910000000Fr7P,2025,人材の長期育成,2.73
2025/6/30,楽天グループ,4755,TOPIX Mid400,a0910000000Fr7P,2016,法令順守意識,3.86
2025/6/30,楽天グループ,4755,TOPIX Mid400,a0910000000Fr7P,2017,法令順守意識,3.96
2025/6/30,楽天グループ,4755,TOPIX Mid400,a0910000000Fr7P,2018,法令順守意識,4.01
2025/6/30,楽天グループ,4755,TOPIX Mid400,a0910000000Fr7P,2019,法令順守意識,3.99
2025/6/30,楽天グループ,4755,TOPIX Mid400,a0910000000Fr7P,2020,法令順守意識,3.93
2025/6/30,楽天グループ,4755,TOPIX Mid400,a0910000000Fr7P,2021,法令順守意識,3.94
