date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,サワイグループホールディングス,4887,TOPIX Mid400,a0910000000Fr3k,2016,クチコミ総合評価,2.88
2025/6/30,サワイグループホールディングス,4887,TOPIX Mid400,a0910000000Fr3k,2017,クチコミ総合評価,2.87
2025/6/30,サワイグループホールディングス,4887,TOPIX Mid400,a0910000000Fr3k,2018,クチコミ総合評価,2.83
2025/6/30,サワイグループホールディングス,4887,TOPIX Mid400,a0910000000Fr3k,2019,クチコミ総合評価,2.84
2025/6/30,サワイグループホールディングス,4887,TOPIX Mid400,a0910000000Fr3k,2020,クチコミ総合評価,2.9
2025/6/30,サワイグループホールディングス,4887,TOPIX Mid400,a0910000000Fr3k,2021,クチコミ総合評価,2.89
2025/6/30,サワイグループホールディングス,4887,TOPIX Mid400,a0910000000Fr3k,2022,クチコミ総合評価,2.87
2025/6/30,サワイグループホールディングス,4887,TOPIX Mid400,a0910000000Fr3k,2023,クチコミ総合評価,2.87
2025/6/30,サワイグループホールディングス,4887,TOPIX Mid400,a0910000000Fr3k,2024,クチコミ総合評価,3.11
2025/6/30,サワイグループホールディングス,4887,TOPIX Mid400,a0910000000Fr3k,2025,クチコミ総合評価,3.53
2025/6/30,サワイグループホールディングス,4887,TOPIX Mid400,a0910000000Fr3k,2016,待遇面の満足度,3.07
2025/6/30,サワイグループホールディングス,4887,TOPIX Mid400,a0910000000Fr3k,2017,待遇面の満足度,3.02
2025/6/30,サワイグループホールディングス,4887,TOPIX Mid400,a0910000000Fr3k,2018,待遇面の満足度,2.97
2025/6/30,サワイグループホールディングス,4887,TOPIX Mid400,a0910000000Fr3k,2019,待遇面の満足度,2.98
2025/6/30,サワイグループホールディングス,4887,TOPIX Mid400,a0910000000Fr3k,2020,待遇面の満足度,3.09
2025/6/30,サワイグループホールディングス,4887,TOPIX Mid400,a0910000000Fr3k,2021,待遇面の満足度,3.11
2025/6/30,サワイグループホールディングス,4887,TOPIX Mid400,a0910000000Fr3k,2022,待遇面の満足度,2.97
2025/6/30,サワイグループホールディングス,4887,TOPIX Mid400,a0910000000Fr3k,2023,待遇面の満足度,3.16
2025/6/30,サワイグループホールディングス,4887,TOPIX Mid400,a0910000000Fr3k,2024,待遇面の満足度,3.41
2025/6/30,サワイグループホールディングス,4887,TOPIX Mid400,a0910000000Fr3k,2025,待遇面の満足度,4.17
2025/6/30,サワイグループホールディングス,4887,TOPIX Mid400,a0910000000Fr3k,2016,社員の士気,2.43
2025/6/30,サワイグループホールディングス,4887,TOPIX Mid400,a0910000000Fr3k,2017,社員の士気,2.38
2025/6/30,サワイグループホールディングス,4887,TOPIX Mid400,a0910000000Fr3k,2018,社員の士気,2.35
2025/6/30,サワイグループホールディングス,4887,TOPIX Mid400,a0910000000Fr3k,2019,社員の士気,2.39
2025/6/30,サワイグループホールディングス,4887,TOPIX Mid400,a0910000000Fr3k,2020,社員の士気,2.44
2025/6/30,サワイグループホールディングス,4887,TOPIX Mid400,a0910000000Fr3k,2021,社員の士気,2.46
2025/6/30,サワイグループホールディングス,4887,TOPIX Mid400,a0910000000Fr3k,2022,社員の士気,2.45
2025/6/30,サワイグループホールディングス,4887,TOPIX Mid400,a0910000000Fr3k,2023,社員の士気,2.38
2025/6/30,サワイグループホールディングス,4887,TOPIX Mid400,a0910000000Fr3k,2024,社員の士気,2.79
2025/6/30,サワイグループホールディングス,4887,TOPIX Mid400,a0910000000Fr3k,2025,社員の士気,3
2025/6/30,サワイグループホールディングス,4887,TOPIX Mid400,a0910000000Fr3k,2016,風通しの良さ,2.84
2025/6/30,サワイグループホールディングス,4887,TOPIX Mid400,a0910000000Fr3k,2017,風通しの良さ,2.84
2025/6/30,サワイグループホールディングス,4887,TOPIX Mid400,a0910000000Fr3k,2018,風通しの良さ,2.82
2025/6/30,サワイグループホールディングス,4887,TOPIX Mid400,a0910000000Fr3k,2019,風通しの良さ,2.94
2025/6/30,サワイグループホールディングス,4887,TOPIX Mid400,a0910000000Fr3k,2020,風通しの良さ,2.88
2025/6/30,サワイグループホールディングス,4887,TOPIX Mid400,a0910000000Fr3k,2021,風通しの良さ,2.89
2025/6/30,サワイグループホールディングス,4887,TOPIX Mid400,a0910000000Fr3k,2022,風通しの良さ,2.94
2025/6/30,サワイグループホールディングス,4887,TOPIX Mid400,a0910000000Fr3k,2023,風通しの良さ,3.08
2025/6/30,サワイグループホールディングス,4887,TOPIX Mid400,a0910000000Fr3k,2024,風通しの良さ,3.14
2025/6/30,サワイグループホールディングス,4887,TOPIX Mid400,a0910000000Fr3k,2025,風通しの良さ,3.98
2025/6/30,サワイグループホールディングス,4887,TOPIX Mid400,a0910000000Fr3k,2016,社員の相互尊重,2.7
2025/6/30,サワイグループホールディングス,4887,TOPIX Mid400,a0910000000Fr3k,2017,社員の相互尊重,2.63
2025/6/30,サワイグループホールディングス,4887,TOPIX Mid400,a0910000000Fr3k,2018,社員の相互尊重,2.6
2025/6/30,サワイグループホールディングス,4887,TOPIX Mid400,a0910000000Fr3k,2019,社員の相互尊重,2.69
2025/6/30,サワイグループホールディングス,4887,TOPIX Mid400,a0910000000Fr3k,2020,社員の相互尊重,2.7
