date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,富士フイルムホールディングス,4901,TOPIX Large70,a0910000002Yq9b,2016,クチコミ総合評価,3.63
2025/6/30,富士フイルムホールディングス,4901,TOPIX Large70,a0910000002Yq9b,2017,クチコミ総合評価,3.63
2025/6/30,富士フイルムホールディングス,4901,TOPIX Large70,a0910000002Yq9b,2018,クチコミ総合評価,3.65
2025/6/30,富士フイルムホールディングス,4901,TOPIX Large70,a0910000002Yq9b,2019,クチコミ総合評価,3.73
2025/6/30,富士フイルムホールディングス,4901,TOPIX Large70,a0910000002Yq9b,2020,クチコミ総合評価,3.8
2025/6/30,富士フイルムホールディングス,4901,TOPIX Large70,a0910000002Yq9b,2021,クチコミ総合評価,3.79
2025/6/30,富士フイルムホールディングス,4901,TOPIX Large70,a0910000002Yq9b,2022,クチコミ総合評価,3.86
2025/6/30,富士フイルムホールディングス,4901,TOPIX Large70,a0910000002Yq9b,2023,クチコミ総合評価,4.01
2025/6/30,富士フイルムホールディングス,4901,TOPIX Large70,a0910000002Yq9b,2024,クチコミ総合評価,4.17
2025/6/30,富士フイルムホールディングス,4901,TOPIX Large70,a0910000002Yq9b,2025,クチコミ総合評価,4.31
2025/6/30,富士フイルムホールディングス,4901,TOPIX Large70,a0910000002Yq9b,2016,待遇面の満足度,3.85
2025/6/30,富士フイルムホールディングス,4901,TOPIX Large70,a0910000002Yq9b,2017,待遇面の満足度,3.82
2025/6/30,富士フイルムホールディングス,4901,TOPIX Large70,a0910000002Yq9b,2018,待遇面の満足度,3.82
2025/6/30,富士フイルムホールディングス,4901,TOPIX Large70,a0910000002Yq9b,2019,待遇面の満足度,3.82
2025/6/30,富士フイルムホールディングス,4901,TOPIX Large70,a0910000002Yq9b,2020,待遇面の満足度,3.78
2025/6/30,富士フイルムホールディングス,4901,TOPIX Large70,a0910000002Yq9b,2021,待遇面の満足度,3.7
2025/6/30,富士フイルムホールディングス,4901,TOPIX Large70,a0910000002Yq9b,2022,待遇面の満足度,3.72
