date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,コニカミノルタ,4902,TOPIX Mid400,a0910000000FrAD,2016,クチコミ総合評価,3.27
2025/6/30,コニカミノルタ,4902,TOPIX Mid400,a0910000000FrAD,2017,クチコミ総合評価,3.26
2025/6/30,コニカミノルタ,4902,TOPIX Mid400,a0910000000FrAD,2018,クチコミ総合評価,3.28
2025/6/30,コニカミノルタ,4902,TOPIX Mid400,a0910000000FrAD,2019,クチコミ総合評価,3.34
2025/6/30,コニカミノルタ,4902,TOPIX Mid400,a0910000000FrAD,2020,クチコミ総合評価,3.36
2025/6/30,コニカミノルタ,4902,TOPIX Mid400,a0910000000FrAD,2021,クチコミ総合評価,3.4
2025/6/30,コニカミノルタ,4902,TOPIX Mid400,a0910000000FrAD,2022,クチコミ総合評価,3.35
2025/6/30,コニカミノルタ,4902,TOPIX Mid400,a0910000000FrAD,2023,クチコミ総合評価,3.35
2025/6/30,コニカミノルタ,4902,TOPIX Mid400,a0910000000FrAD,2024,クチコミ総合評価,3.39
2025/6/30,コニカミノルタ,4902,TOPIX Mid400,a0910000000FrAD,2025,クチコミ総合評価,3.28
2025/6/30,コニカミノルタ,4902,TOPIX Mid400,a0910000000FrAD,2016,待遇面の満足度,2.98
2025/6/30,コニカミノルタ,4902,TOPIX Mid400,a0910000000FrAD,2017,待遇面の満足度,2.94
2025/6/30,コニカミノルタ,4902,TOPIX Mid400,a0910000000FrAD,2018,待遇面の満足度,2.93
2025/6/30,コニカミノルタ,4902,TOPIX Mid400,a0910000000FrAD,2019,待遇面の満足度,2.94
2025/6/30,コニカミノルタ,4902,TOPIX Mid400,a0910000000FrAD,2020,待遇面の満足度,2.98
2025/6/30,コニカミノルタ,4902,TOPIX Mid400,a0910000000FrAD,2021,待遇面の満足度,2.98
2025/6/30,コニカミノルタ,4902,TOPIX Mid400,a0910000000FrAD,2022,待遇面の満足度,2.96
2025/6/30,コニカミノルタ,4902,TOPIX Mid400,a0910000000FrAD,2023,待遇面の満足度,2.98
2025/6/30,コニカミノルタ,4902,TOPIX Mid400,a0910000000FrAD,2024,待遇面の満足度,2.97
2025/6/30,コニカミノルタ,4902,TOPIX Mid400,a0910000000FrAD,2025,待遇面の満足度,2.79
2025/6/30,コニカミノルタ,4902,TOPIX Mid400,a0910000000FrAD,2016,社員の士気,2.64
2025/6/30,コニカミノルタ,4902,TOPIX Mid400,a0910000000FrAD,2017,社員の士気,2.62
2025/6/30,コニカミノルタ,4902,TOPIX Mid400,a0910000000FrAD,2018,社員の士気,2.61
2025/6/30,コニカミノルタ,4902,TOPIX Mid400,a0910000000FrAD,2019,社員の士気,2.63
2025/6/30,コニカミノルタ,4902,TOPIX Mid400,a0910000000FrAD,2020,社員の士気,2.64
2025/6/30,コニカミノルタ,4902,TOPIX Mid400,a0910000000FrAD,2021,社員の士気,2.67
2025/6/30,コニカミノルタ,4902,TOPIX Mid400,a0910000000FrAD,2022,社員の士気,2.61
