date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,ライオン,4912,TOPIX Mid400,a0910000000FrAF,2016,クチコミ総合評価,3.7
2025/6/30,ライオン,4912,TOPIX Mid400,a0910000000FrAF,2017,クチコミ総合評価,3.77
2025/6/30,ライオン,4912,TOPIX Mid400,a0910000000FrAF,2018,クチコミ総合評価,3.71
2025/6/30,ライオン,4912,TOPIX Mid400,a0910000000FrAF,2019,クチコミ総合評価,3.65
2025/6/30,ライオン,4912,TOPIX Mid400,a0910000000FrAF,2020,クチコミ総合評価,3.69
2025/6/30,ライオン,4912,TOPIX Mid400,a0910000000FrAF,2021,クチコミ総合評価,3.53
2025/6/30,ライオン,4912,TOPIX Mid400,a0910000000FrAF,2022,クチコミ総合評価,3.52
2025/6/30,ライオン,4912,TOPIX Mid400,a0910000000FrAF,2023,クチコミ総合評価,3.58
2025/6/30,ライオン,4912,TOPIX Mid400,a0910000000FrAF,2024,クチコミ総合評価,3.56
2025/6/30,ライオン,4912,TOPIX Mid400,a0910000000FrAF,2025,クチコミ総合評価,3.9
2025/6/30,ライオン,4912,TOPIX Mid400,a0910000000FrAF,2016,待遇面の満足度,3.62
2025/6/30,ライオン,4912,TOPIX Mid400,a0910000000FrAF,2017,待遇面の満足度,3.7
2025/6/30,ライオン,4912,TOPIX Mid400,a0910000000FrAF,2018,待遇面の満足度,3.67
2025/6/30,ライオン,4912,TOPIX Mid400,a0910000000FrAF,2019,待遇面の満足度,3.53
2025/6/30,ライオン,4912,TOPIX Mid400,a0910000000FrAF,2020,待遇面の満足度,3.56
2025/6/30,ライオン,4912,TOPIX Mid400,a0910000000FrAF,2021,待遇面の満足度,3.21
2025/6/30,ライオン,4912,TOPIX Mid400,a0910000000FrAF,2022,待遇面の満足度,3.24
2025/6/30,ライオン,4912,TOPIX Mid400,a0910000000FrAF,2023,待遇面の満足度,3.37
2025/6/30,ライオン,4912,TOPIX Mid400,a0910000000FrAF,2024,待遇面の満足度,3.19
2025/6/30,ライオン,4912,TOPIX Mid400,a0910000000FrAF,2025,待遇面の満足度,3.53
2025/6/30,ライオン,4912,TOPIX Mid400,a0910000000FrAF,2016,社員の士気,2.91
2025/6/30,ライオン,4912,TOPIX Mid400,a0910000000FrAF,2017,社員の士気,3.02
2025/6/30,ライオン,4912,TOPIX Mid400,a0910000000FrAF,2018,社員の士気,2.99
2025/6/30,ライオン,4912,TOPIX Mid400,a0910000000FrAF,2019,社員の士気,2.95
2025/6/30,ライオン,4912,TOPIX Mid400,a0910000000FrAF,2020,社員の士気,2.99
2025/6/30,ライオン,4912,TOPIX Mid400,a0910000000FrAF,2021,社員の士気,2.83
2025/6/30,ライオン,4912,TOPIX Mid400,a0910000000FrAF,2022,社員の士気,2.84
2025/6/30,ライオン,4912,TOPIX Mid400,a0910000000FrAF,2023,社員の士気,2.82
2025/6/30,ライオン,4912,TOPIX Mid400,a0910000000FrAF,2024,社員の士気,2.85
2025/6/30,ライオン,4912,TOPIX Mid400,a0910000000FrAF,2025,社員の士気,3
2025/6/30,ライオン,4912,TOPIX Mid400,a0910000000FrAF,2016,風通しの良さ,3.93
2025/6/30,ライオン,4912,TOPIX Mid400,a0910000000FrAF,2017,風通しの良さ,4.01
2025/6/30,ライオン,4912,TOPIX Mid400,a0910000000FrAF,2018,風通しの良さ,4.04
2025/6/30,ライオン,4912,TOPIX Mid400,a0910000000FrAF,2019,風通しの良さ,3.94
2025/6/30,ライオン,4912,TOPIX Mid400,a0910000000FrAF,2020,風通しの良さ,3.97
2025/6/30,ライオン,4912,TOPIX Mid400,a0910000000FrAF,2021,風通しの良さ,3.86
2025/6/30,ライオン,4912,TOPIX Mid400,a0910000000FrAF,2022,風通しの良さ,3.85
2025/6/30,ライオン,4912,TOPIX Mid400,a0910000000FrAF,2023,風通しの良さ,3.93
2025/6/30,ライオン,4912,TOPIX Mid400,a0910000000FrAF,2024,風通しの良さ,3.89
2025/6/30,ライオン,4912,TOPIX Mid400,a0910000000FrAF,2025,風通しの良さ,4.31
2025/6/30,ライオン,4912,TOPIX Mid400,a0910000000FrAF,2016,社員の相互尊重,3.91
2025/6/30,ライオン,4912,TOPIX Mid400,a0910000000FrAF,2017,社員の相互尊重,3.98
2025/6/30,ライオン,4912,TOPIX Mid400,a0910000000FrAF,2018,社員の相互尊重,3.91
2025/6/30,ライオン,4912,TOPIX Mid400,a0910000000FrAF,2019,社員の相互尊重,3.76
2025/6/30,ライオン,4912,TOPIX Mid400,a0910000000FrAF,2020,社員の相互尊重,3.9
2025/6/30,ライオン,4912,TOPIX Mid400,a0910000000FrAF,2021,社員の相互尊重,3.81
2025/6/30,ライオン,4912,TOPIX Mid400,a0910000000FrAF,2022,社員の相互尊重,3.79
2025/6/30,ライオン,4912,TOPIX Mid400,a0910000000FrAF,2023,社員の相互尊重,3.79
2025/6/30,ライオン,4912,TOPIX Mid400,a0910000000FrAF,2024,社員の相互尊重,3.82
2025/6/30,ライオン,4912,TOPIX Mid400,a0910000000FrAF,2025,社員の相互尊重,4.16
2025/6/30,ライオン,4912,TOPIX Mid400,a0910000000FrAF,2016,20代成長環境,3.16
2025/6/30,ライオン,4912,TOPIX Mid400,a0910000000FrAF,2017,20代成長環境,3.19
2025/6/30,ライオン,4912,TOPIX Mid400,a0910000000FrAF,2018,20代成長環境,3.02
