date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,コーセー,4922,TOPIX Mid400,a0910000000FrAP,2016,クチコミ総合評価,2.95
2025/6/30,コーセー,4922,TOPIX Mid400,a0910000000FrAP,2017,クチコミ総合評価,2.89
2025/6/30,コーセー,4922,TOPIX Mid400,a0910000000FrAP,2018,クチコミ総合評価,2.92
2025/6/30,コーセー,4922,TOPIX Mid400,a0910000000FrAP,2019,クチコミ総合評価,2.95
2025/6/30,コーセー,4922,TOPIX Mid400,a0910000000FrAP,2020,クチコミ総合評価,2.95
2025/6/30,コーセー,4922,TOPIX Mid400,a0910000000FrAP,2021,クチコミ総合評価,3.17
2025/6/30,コーセー,4922,TOPIX Mid400,a0910000000FrAP,2022,クチコミ総合評価,3.14
2025/6/30,コーセー,4922,TOPIX Mid400,a0910000000FrAP,2023,クチコミ総合評価,3.08
2025/6/30,コーセー,4922,TOPIX Mid400,a0910000000FrAP,2024,クチコミ総合評価,3.18
2025/6/30,コーセー,4922,TOPIX Mid400,a0910000000FrAP,2025,クチコミ総合評価,3.23
2025/6/30,コーセー,4922,TOPIX Mid400,a0910000000FrAP,2016,待遇面の満足度,2.56
2025/6/30,コーセー,4922,TOPIX Mid400,a0910000000FrAP,2017,待遇面の満足度,2.56
2025/6/30,コーセー,4922,TOPIX Mid400,a0910000000FrAP,2018,待遇面の満足度,2.51
2025/6/30,コーセー,4922,TOPIX Mid400,a0910000000FrAP,2019,待遇面の満足度,2.49
2025/6/30,コーセー,4922,TOPIX Mid400,a0910000000FrAP,2020,待遇面の満足度,2.46
2025/6/30,コーセー,4922,TOPIX Mid400,a0910000000FrAP,2021,待遇面の満足度,2.57
2025/6/30,コーセー,4922,TOPIX Mid400,a0910000000FrAP,2022,待遇面の満足度,2.67
2025/6/30,コーセー,4922,TOPIX Mid400,a0910000000FrAP,2023,待遇面の満足度,2.76
2025/6/30,コーセー,4922,TOPIX Mid400,a0910000000FrAP,2024,待遇面の満足度,2.82
2025/6/30,コーセー,4922,TOPIX Mid400,a0910000000FrAP,2025,待遇面の満足度,2.5
2025/6/30,コーセー,4922,TOPIX Mid400,a0910000000FrAP,2016,社員の士気,2.89
2025/6/30,コーセー,4922,TOPIX Mid400,a0910000000FrAP,2017,社員の士気,2.88
2025/6/30,コーセー,4922,TOPIX Mid400,a0910000000FrAP,2018,社員の士気,2.86
2025/6/30,コーセー,4922,TOPIX Mid400,a0910000000FrAP,2019,社員の士気,2.83
2025/6/30,コーセー,4922,TOPIX Mid400,a0910000000FrAP,2020,社員の士気,2.86
2025/6/30,コーセー,4922,TOPIX Mid400,a0910000000FrAP,2021,社員の士気,3.03
2025/6/30,コーセー,4922,TOPIX Mid400,a0910000000FrAP,2022,社員の士気,2.96
2025/6/30,コーセー,4922,TOPIX Mid400,a0910000000FrAP,2023,社員の士気,2.97
2025/6/30,コーセー,4922,TOPIX Mid400,a0910000000FrAP,2024,社員の士気,3
2025/6/30,コーセー,4922,TOPIX Mid400,a0910000000FrAP,2025,社員の士気,2.9
2025/6/30,コーセー,4922,TOPIX Mid400,a0910000000FrAP,2016,風通しの良さ,2.94
2025/6/30,コーセー,4922,TOPIX Mid400,a0910000000FrAP,2017,風通しの良さ,2.94
2025/6/30,コーセー,4922,TOPIX Mid400,a0910000000FrAP,2018,風通しの良さ,2.93
2025/6/30,コーセー,4922,TOPIX Mid400,a0910000000FrAP,2019,風通しの良さ,2.91
2025/6/30,コーセー,4922,TOPIX Mid400,a0910000000FrAP,2020,風通しの良さ,2.93
2025/6/30,コーセー,4922,TOPIX Mid400,a0910000000FrAP,2021,風通しの良さ,3.32
2025/6/30,コーセー,4922,TOPIX Mid400,a0910000000FrAP,2022,風通しの良さ,3.39
2025/6/30,コーセー,4922,TOPIX Mid400,a0910000000FrAP,2023,風通しの良さ,3.21
2025/6/30,コーセー,4922,TOPIX Mid400,a0910000000FrAP,2024,風通しの良さ,3.42
2025/6/30,コーセー,4922,TOPIX Mid400,a0910000000FrAP,2025,風通しの良さ,4.02
2025/6/30,コーセー,4922,TOPIX Mid400,a0910000000FrAP,2016,社員の相互尊重,3.27
2025/6/30,コーセー,4922,TOPIX Mid400,a0910000000FrAP,2017,社員の相互尊重,3.08
2025/6/30,コーセー,4922,TOPIX Mid400,a0910000000FrAP,2018,社員の相互尊重,3.13
2025/6/30,コーセー,4922,TOPIX Mid400,a0910000000FrAP,2019,社員の相互尊重,3.21
2025/6/30,コーセー,4922,TOPIX Mid400,a0910000000FrAP,2020,社員の相互尊重,3.23
2025/6/30,コーセー,4922,TOPIX Mid400,a0910000000FrAP,2021,社員の相互尊重,3.47
2025/6/30,コーセー,4922,TOPIX Mid400,a0910000000FrAP,2022,社員の相互尊重,3.22
