date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2016,クチコミ総合評価,3.7
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2017,クチコミ総合評価,3.66
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2018,クチコミ総合評価,3.72
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2019,クチコミ総合評価,3.73
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2020,クチコミ総合評価,3.67
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2021,クチコミ総合評価,3.78
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2022,クチコミ総合評価,3.8
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2023,クチコミ総合評価,3.87
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2024,クチコミ総合評価,3.86
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2025,クチコミ総合評価,3.83
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2016,待遇面の満足度,3.42
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2017,待遇面の満足度,3.44
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2018,待遇面の満足度,3.63
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2019,待遇面の満足度,3.7
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2020,待遇面の満足度,3.63
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2021,待遇面の満足度,3.72
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2022,待遇面の満足度,3.74
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2023,待遇面の満足度,3.86
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2024,待遇面の満足度,3.72
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2025,待遇面の満足度,4.11
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2016,社員の士気,3.44
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2017,社員の士気,3.3
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2018,社員の士気,3.31
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2019,社員の士気,3.34
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2020,社員の士気,3.24
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2021,社員の士気,3.33
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2022,社員の士気,3.35
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2023,社員の士気,3.37
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2024,社員の士気,3.43
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2025,社員の士気,2.89
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2016,風通しの良さ,4.12
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2017,風通しの良さ,4.13
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2018,風通しの良さ,4.17
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2019,風通しの良さ,4.07
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2020,風通しの良さ,4.07
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2021,風通しの良さ,4.15
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2022,風通しの良さ,4.16
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2023,風通しの良さ,4.31
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2024,風通しの良さ,4.25
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2025,風通しの良さ,4.25
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2016,社員の相互尊重,3.61
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2017,社員の相互尊重,3.58
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2018,社員の相互尊重,3.64
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2019,社員の相互尊重,3.64
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2020,社員の相互尊重,3.64
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2021,社員の相互尊重,3.82
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2022,社員の相互尊重,3.93
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2023,社員の相互尊重,4
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2024,社員の相互尊重,3.98
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2025,社員の相互尊重,4.25
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2016,20代成長環境,3.8
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2017,20代成長環境,3.72
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2018,20代成長環境,3.75
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2019,20代成長環境,3.73
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2020,20代成長環境,3.59
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2021,20代成長環境,3.7
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2022,20代成長環境,3.72
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2023,20代成長環境,3.83
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2024,20代成長環境,3.9
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2025,20代成長環境,3.96
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2016,人材の長期育成,2.66
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2017,人材の長期育成,2.61
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2018,人材の長期育成,2.7
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2019,人材の長期育成,2.71
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2020,人材の長期育成,2.7
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2021,人材の長期育成,2.77
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2022,人材の長期育成,2.75
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2023,人材の長期育成,2.71
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2024,人材の長期育成,2.77
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2025,人材の長期育成,2.67
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2016,法令順守意識,4.23
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2017,法令順守意識,4.31
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2018,法令順守意識,4.27
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2019,法令順守意識,4.3
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2020,法令順守意識,4.36
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2021,法令順守意識,4.45
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2022,法令順守意識,4.4
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2023,法令順守意識,4.44
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2024,法令順守意識,4.35
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2025,法令順守意識,4.5
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2016,人事評価の適正感,2.88
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2017,人事評価の適正感,2.79
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2018,人事評価の適正感,2.82
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2019,人事評価の適正感,2.83
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2020,人事評価の適正感,2.78
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2021,人事評価の適正感,2.8
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2022,人事評価の適正感,2.82
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2023,人事評価の適正感,2.9
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2024,人事評価の適正感,2.89
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2025,人事評価の適正感,2.56
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2016,有給休暇消化率,52.17
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2017,有給休暇消化率,53.83
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2018,有給休暇消化率,57.56
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2019,有給休暇消化率,59.21
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2020,有給休暇消化率,61.21
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2021,有給休暇消化率,62.56
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2022,有給休暇消化率,63.31
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2023,有給休暇消化率,65.78
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2024,有給休暇消化率,65.86
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2025,有給休暇消化率,54.44
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2016,残業時間(月間),24.15
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2017,残業時間(月間),23.69
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2018,残業時間(月間),21.81
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2019,残業時間(月間),22.03
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2020,残業時間(月間),22.72
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2021,残業時間(月間),22.43
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2022,残業時間(月間),20.86
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2023,残業時間(月間),20.69
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2024,残業時間(月間),21.57
2025/6/30,小林製薬,4967,TOPIX Mid400,a0910000000FrAg,2025,残業時間(月間),26.67
