date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,デクセリアルズ,4980,TOPIX Mid400,a0C3000000FPdoJ,2016,クチコミ総合評価,3.09
2025/6/30,デクセリアルズ,4980,TOPIX Mid400,a0C3000000FPdoJ,2017,クチコミ総合評価,3.08
2025/6/30,デクセリアルズ,4980,TOPIX Mid400,a0C3000000FPdoJ,2018,クチコミ総合評価,3.17
2025/6/30,デクセリアルズ,4980,TOPIX Mid400,a0C3000000FPdoJ,2019,クチコミ総合評価,3.16
2025/6/30,デクセリアルズ,4980,TOPIX Mid400,a0C3000000FPdoJ,2020,クチコミ総合評価,3.26
2025/6/30,デクセリアルズ,4980,TOPIX Mid400,a0C3000000FPdoJ,2021,クチコミ総合評価,3.23
2025/6/30,デクセリアルズ,4980,TOPIX Mid400,a0C3000000FPdoJ,2022,クチコミ総合評価,3.24
2025/6/30,デクセリアルズ,4980,TOPIX Mid400,a0C3000000FPdoJ,2023,クチコミ総合評価,3.07
2025/6/30,デクセリアルズ,4980,TOPIX Mid400,a0C3000000FPdoJ,2024,クチコミ総合評価,3.05
2025/6/30,デクセリアルズ,4980,TOPIX Mid400,a0C3000000FPdoJ,2025,クチコミ総合評価,2.77
2025/6/30,デクセリアルズ,4980,TOPIX Mid400,a0C3000000FPdoJ,2016,待遇面の満足度,2.98
2025/6/30,デクセリアルズ,4980,TOPIX Mid400,a0C3000000FPdoJ,2017,待遇面の満足度,3.13
2025/6/30,デクセリアルズ,4980,TOPIX Mid400,a0C3000000FPdoJ,2018,待遇面の満足度,3.2
2025/6/30,デクセリアルズ,4980,TOPIX Mid400,a0C3000000FPdoJ,2019,待遇面の満足度,3.24
2025/6/30,デクセリアルズ,4980,TOPIX Mid400,a0C3000000FPdoJ,2020,待遇面の満足度,3.47
2025/6/30,デクセリアルズ,4980,TOPIX Mid400,a0C3000000FPdoJ,2021,待遇面の満足度,3.59
2025/6/30,デクセリアルズ,4980,TOPIX Mid400,a0C3000000FPdoJ,2022,待遇面の満足度,3.57
2025/6/30,デクセリアルズ,4980,TOPIX Mid400,a0C3000000FPdoJ,2023,待遇面の満足度,3.3
2025/6/30,デクセリアルズ,4980,TOPIX Mid400,a0C3000000FPdoJ,2024,待遇面の満足度,3.2
2025/6/30,デクセリアルズ,4980,TOPIX Mid400,a0C3000000FPdoJ,2025,待遇面の満足度,3
2025/6/30,デクセリアルズ,4980,TOPIX Mid400,a0C3000000FPdoJ,2016,社員の士気,2.67
2025/6/30,デクセリアルズ,4980,TOPIX Mid400,a0C3000000FPdoJ,2017,社員の士気,2.68
2025/6/30,デクセリアルズ,4980,TOPIX Mid400,a0C3000000FPdoJ,2018,社員の士気,2.74
2025/6/30,デクセリアルズ,4980,TOPIX Mid400,a0C3000000FPdoJ,2019,社員の士気,2.71
2025/6/30,デクセリアルズ,4980,TOPIX Mid400,a0C3000000FPdoJ,2020,社員の士気,2.78
2025/6/30,デクセリアルズ,4980,TOPIX Mid400,a0C3000000FPdoJ,2021,社員の士気,2.76
2025/6/30,デクセリアルズ,4980,TOPIX Mid400,a0C3000000FPdoJ,2022,社員の士気,2.83
