date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2016,クチコミ総合評価,3.73
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2017,クチコミ総合評価,3.69
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2018,クチコミ総合評価,3.66
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2019,クチコミ総合評価,3.65
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2020,クチコミ総合評価,3.56
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2021,クチコミ総合評価,3.61
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2022,クチコミ総合評価,3.7
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2023,クチコミ総合評価,3.61
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2024,クチコミ総合評価,3.71
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2025,クチコミ総合評価,3.8
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2016,待遇面の満足度,4.25
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2017,待遇面の満足度,4.29
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2018,待遇面の満足度,4.3
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2019,待遇面の満足度,4.33
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2020,待遇面の満足度,4.32
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2021,待遇面の満足度,4.36
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2022,待遇面の満足度,4.39
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2023,待遇面の満足度,4.36
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2024,待遇面の満足度,4.48
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2025,待遇面の満足度,4.35
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2016,社員の士気,3.22
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2017,社員の士気,3.12
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2018,社員の士気,3.01
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2019,社員の士気,2.99
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2020,社員の士気,2.96
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2021,社員の士気,3.02
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2022,社員の士気,3.1
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2023,社員の士気,3.04
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2024,社員の士気,3.23
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2025,社員の士気,3.25
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2016,風通しの良さ,3.31
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2017,風通しの良さ,3.3
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2018,風通しの良さ,3.33
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2019,風通しの良さ,3.33
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2020,風通しの良さ,3.08
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2021,風通しの良さ,3.16
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2022,風通しの良さ,3.24
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2023,風通しの良さ,3.08
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2024,風通しの良さ,3.04
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2025,風通しの良さ,3.09
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2016,社員の相互尊重,3.75
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2017,社員の相互尊重,3.71
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2018,社員の相互尊重,3.65
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2019,社員の相互尊重,3.65
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2020,社員の相互尊重,3.54
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2021,社員の相互尊重,3.62
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2022,社員の相互尊重,3.68
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2023,社員の相互尊重,3.61
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2024,社員の相互尊重,3.59
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2025,社員の相互尊重,3.91
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2016,20代成長環境,3.26
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2017,20代成長環境,3.17
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2018,20代成長環境,3.15
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2019,20代成長環境,3.08
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2020,20代成長環境,2.99
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2021,20代成長環境,3.07
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2022,20代成長環境,3.21
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2023,20代成長環境,3.19
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2024,20代成長環境,3.43
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2025,20代成長環境,3.19
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2016,人材の長期育成,3.52
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2017,人材の長期育成,3.52
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2018,人材の長期育成,3.47
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2019,人材の長期育成,3.46
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2020,人材の長期育成,3.44
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2021,人材の長期育成,3.47
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2022,人材の長期育成,3.51
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2023,人材の長期育成,3.42
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2024,人材の長期育成,3.43
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2025,人材の長期育成,3.69
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2016,法令順守意識,4.12
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2017,法令順守意識,4.15
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2018,法令順守意識,4.21
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2019,法令順守意識,4.25
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2020,法令順守意識,4.26
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2021,法令順守意識,4.25
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2022,法令順守意識,4.31
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2023,法令順守意識,4.25
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2024,法令順守意識,4.39
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2025,法令順守意識,4.38
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2016,人事評価の適正感,3.01
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2017,人事評価の適正感,3.01
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2018,人事評価の適正感,2.99
2025/6/30,出光興産,5019,TOPIX Mid400,a0910000000FrBC,2019,人事評価の適正感,2.98
