date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,ＥＮＥＯＳホールディングス,5020,TOPIX Large70,a0C300000066pvY,2016,クチコミ総合評価,3.17
2025/6/30,ＥＮＥＯＳホールディングス,5020,TOPIX Large70,a0C300000066pvY,2017,クチコミ総合評価,3.14
2025/6/30,ＥＮＥＯＳホールディングス,5020,TOPIX Large70,a0C300000066pvY,2018,クチコミ総合評価,3.14
2025/6/30,ＥＮＥＯＳホールディングス,5020,TOPIX Large70,a0C300000066pvY,2019,クチコミ総合評価,3.15
2025/6/30,ＥＮＥＯＳホールディングス,5020,TOPIX Large70,a0C300000066pvY,2020,クチコミ総合評価,3.15
2025/6/30,ＥＮＥＯＳホールディングス,5020,TOPIX Large70,a0C300000066pvY,2021,クチコミ総合評価,3.13
2025/6/30,ＥＮＥＯＳホールディングス,5020,TOPIX Large70,a0C300000066pvY,2022,クチコミ総合評価,3.14
2025/6/30,ＥＮＥＯＳホールディングス,5020,TOPIX Large70,a0C300000066pvY,2023,クチコミ総合評価,3.2
2025/6/30,ＥＮＥＯＳホールディングス,5020,TOPIX Large70,a0C300000066pvY,2024,クチコミ総合評価,3.38
2025/6/30,ＥＮＥＯＳホールディングス,5020,TOPIX Large70,a0C300000066pvY,2025,クチコミ総合評価,3.26
2025/6/30,ＥＮＥＯＳホールディングス,5020,TOPIX Large70,a0C300000066pvY,2016,待遇面の満足度,4.16
2025/6/30,ＥＮＥＯＳホールディングス,5020,TOPIX Large70,a0C300000066pvY,2017,待遇面の満足度,4.16
2025/6/30,ＥＮＥＯＳホールディングス,5020,TOPIX Large70,a0C300000066pvY,2018,待遇面の満足度,4.16
2025/6/30,ＥＮＥＯＳホールディングス,5020,TOPIX Large70,a0C300000066pvY,2019,待遇面の満足度,4.13
2025/6/30,ＥＮＥＯＳホールディングス,5020,TOPIX Large70,a0C300000066pvY,2020,待遇面の満足度,4.03
2025/6/30,ＥＮＥＯＳホールディングス,5020,TOPIX Large70,a0C300000066pvY,2021,待遇面の満足度,3.95
2025/6/30,ＥＮＥＯＳホールディングス,5020,TOPIX Large70,a0C300000066pvY,2022,待遇面の満足度,3.93
2025/6/30,ＥＮＥＯＳホールディングス,5020,TOPIX Large70,a0C300000066pvY,2023,待遇面の満足度,4.02
2025/6/30,ＥＮＥＯＳホールディングス,5020,TOPIX Large70,a0C300000066pvY,2024,待遇面の満足度,4.28
2025/6/30,ＥＮＥＯＳホールディングス,5020,TOPIX Large70,a0C300000066pvY,2025,待遇面の満足度,4.5
2025/6/30,ＥＮＥＯＳホールディングス,5020,TOPIX Large70,a0C300000066pvY,2016,社員の士気,2.56
2025/6/30,ＥＮＥＯＳホールディングス,5020,TOPIX Large70,a0C300000066pvY,2017,社員の士気,2.5
2025/6/30,ＥＮＥＯＳホールディングス,5020,TOPIX Large70,a0C300000066pvY,2018,社員の士気,2.5
2025/6/30,ＥＮＥＯＳホールディングス,5020,TOPIX Large70,a0C300000066pvY,2019,社員の士気,2.51
2025/6/30,ＥＮＥＯＳホールディングス,5020,TOPIX Large70,a0C300000066pvY,2020,社員の士気,2.51
2025/6/30,ＥＮＥＯＳホールディングス,5020,TOPIX Large70,a0C300000066pvY,2021,社員の士気,2.5
2025/6/30,ＥＮＥＯＳホールディングス,5020,TOPIX Large70,a0C300000066pvY,2022,社員の士気,2.53
2025/6/30,ＥＮＥＯＳホールディングス,5020,TOPIX Large70,a0C300000066pvY,2023,社員の士気,2.55
2025/6/30,ＥＮＥＯＳホールディングス,5020,TOPIX Large70,a0C300000066pvY,2024,社員の士気,2.75
2025/6/30,ＥＮＥＯＳホールディングス,5020,TOPIX Large70,a0C300000066pvY,2025,社員の士気,2.51
2025/6/30,ＥＮＥＯＳホールディングス,5020,TOPIX Large70,a0C300000066pvY,2016,風通しの良さ,2.8
2025/6/30,ＥＮＥＯＳホールディングス,5020,TOPIX Large70,a0C300000066pvY,2017,風通しの良さ,2.77
2025/6/30,ＥＮＥＯＳホールディングス,5020,TOPIX Large70,a0C300000066pvY,2018,風通しの良さ,2.8
2025/6/30,ＥＮＥＯＳホールディングス,5020,TOPIX Large70,a0C300000066pvY,2019,風通しの良さ,2.84
2025/6/30,ＥＮＥＯＳホールディングス,5020,TOPIX Large70,a0C300000066pvY,2020,風通しの良さ,2.87
2025/6/30,ＥＮＥＯＳホールディングス,5020,TOPIX Large70,a0C300000066pvY,2021,風通しの良さ,2.81
2025/6/30,ＥＮＥＯＳホールディングス,5020,TOPIX Large70,a0C300000066pvY,2022,風通しの良さ,2.85
2025/6/30,ＥＮＥＯＳホールディングス,5020,TOPIX Large70,a0C300000066pvY,2023,風通しの良さ,2.92
2025/6/30,ＥＮＥＯＳホールディングス,5020,TOPIX Large70,a0C300000066pvY,2024,風通しの良さ,3.02
2025/6/30,ＥＮＥＯＳホールディングス,5020,TOPIX Large70,a0C300000066pvY,2025,風通しの良さ,3
2025/6/30,ＥＮＥＯＳホールディングス,5020,TOPIX Large70,a0C300000066pvY,2016,社員の相互尊重,2.99
2025/6/30,ＥＮＥＯＳホールディングス,5020,TOPIX Large70,a0C300000066pvY,2017,社員の相互尊重,2.98
2025/6/30,ＥＮＥＯＳホールディングス,5020,TOPIX Large70,a0C300000066pvY,2018,社員の相互尊重,2.99
2025/6/30,ＥＮＥＯＳホールディングス,5020,TOPIX Large70,a0C300000066pvY,2019,社員の相互尊重,3.01
2025/6/30,ＥＮＥＯＳホールディングス,5020,TOPIX Large70,a0C300000066pvY,2020,社員の相互尊重,3.04
2025/6/30,ＥＮＥＯＳホールディングス,5020,TOPIX Large70,a0C300000066pvY,2021,社員の相互尊重,2.98
2025/6/30,ＥＮＥＯＳホールディングス,5020,TOPIX Large70,a0C300000066pvY,2022,社員の相互尊重,3.03
2025/6/30,ＥＮＥＯＳホールディングス,5020,TOPIX Large70,a0C300000066pvY,2023,社員の相互尊重,3.1
2025/6/30,ＥＮＥＯＳホールディングス,5020,TOPIX Large70,a0C300000066pvY,2024,社員の相互尊重,3.37
2025/6/30,ＥＮＥＯＳホールディングス,5020,TOPIX Large70,a0C300000066pvY,2025,社員の相互尊重,3.05
