date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,コスモエネルギーホールディングス,5021,TOPIX Mid400,a0C1000000tf2UC,2016,クチコミ総合評価,3.08
2025/6/30,コスモエネルギーホールディングス,5021,TOPIX Mid400,a0C1000000tf2UC,2017,クチコミ総合評価,3.17
2025/6/30,コスモエネルギーホールディングス,5021,TOPIX Mid400,a0C1000000tf2UC,2018,クチコミ総合評価,3.17
2025/6/30,コスモエネルギーホールディングス,5021,TOPIX Mid400,a0C1000000tf2UC,2019,クチコミ総合評価,3.16
2025/6/30,コスモエネルギーホールディングス,5021,TOPIX Mid400,a0C1000000tf2UC,2020,クチコミ総合評価,3.15
2025/6/30,コスモエネルギーホールディングス,5021,TOPIX Mid400,a0C1000000tf2UC,2021,クチコミ総合評価,2.7
2025/6/30,コスモエネルギーホールディングス,5021,TOPIX Mid400,a0C1000000tf2UC,2022,クチコミ総合評価,2.82
2025/6/30,コスモエネルギーホールディングス,5021,TOPIX Mid400,a0C1000000tf2UC,2023,クチコミ総合評価,2.98
2025/6/30,コスモエネルギーホールディングス,5021,TOPIX Mid400,a0C1000000tf2UC,2024,クチコミ総合評価,3.35
2025/6/30,コスモエネルギーホールディングス,5021,TOPIX Mid400,a0C1000000tf2UC,2025,クチコミ総合評価,2.89
2025/6/30,コスモエネルギーホールディングス,5021,TOPIX Mid400,a0C1000000tf2UC,2016,待遇面の満足度,3
2025/6/30,コスモエネルギーホールディングス,5021,TOPIX Mid400,a0C1000000tf2UC,2017,待遇面の満足度,3.36
2025/6/30,コスモエネルギーホールディングス,5021,TOPIX Mid400,a0C1000000tf2UC,2018,待遇面の満足度,3.21
2025/6/30,コスモエネルギーホールディングス,5021,TOPIX Mid400,a0C1000000tf2UC,2019,待遇面の満足度,3.27
2025/6/30,コスモエネルギーホールディングス,5021,TOPIX Mid400,a0C1000000tf2UC,2020,待遇面の満足度,3.27
2025/6/30,コスモエネルギーホールディングス,5021,TOPIX Mid400,a0C1000000tf2UC,2021,待遇面の満足度,2.79
2025/6/30,コスモエネルギーホールディングス,5021,TOPIX Mid400,a0C1000000tf2UC,2022,待遇面の満足度,2.71
2025/6/30,コスモエネルギーホールディングス,5021,TOPIX Mid400,a0C1000000tf2UC,2023,待遇面の満足度,2.86
2025/6/30,コスモエネルギーホールディングス,5021,TOPIX Mid400,a0C1000000tf2UC,2024,待遇面の満足度,3.95
2025/6/30,コスモエネルギーホールディングス,5021,TOPIX Mid400,a0C1000000tf2UC,2025,待遇面の満足度,3
2025/6/30,コスモエネルギーホールディングス,5021,TOPIX Mid400,a0C1000000tf2UC,2016,社員の士気,2.48
2025/6/30,コスモエネルギーホールディングス,5021,TOPIX Mid400,a0C1000000tf2UC,2017,社員の士気,2.62
