date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,インフロニア・ホールディングス,5076,TOPIX Mid400,a0910000000FqfS,2016,クチコミ総合評価,3.98
2025/6/30,インフロニア・ホールディングス,5076,TOPIX Mid400,a0910000000FqfS,2017,クチコミ総合評価,4.07
2025/6/30,インフロニア・ホールディングス,5076,TOPIX Mid400,a0910000000FqfS,2018,クチコミ総合評価,4.16
2025/6/30,インフロニア・ホールディングス,5076,TOPIX Mid400,a0910000000FqfS,2019,クチコミ総合評価,4.07
2025/6/30,インフロニア・ホールディングス,5076,TOPIX Mid400,a0910000000FqfS,2020,クチコミ総合評価,4.08
2025/6/30,インフロニア・ホールディングス,5076,TOPIX Mid400,a0910000000FqfS,2021,クチコミ総合評価,3.98
2025/6/30,インフロニア・ホールディングス,5076,TOPIX Mid400,a0910000000FqfS,2022,クチコミ総合評価,4.07
2025/6/30,インフロニア・ホールディングス,5076,TOPIX Mid400,a0910000000FqfS,2023,クチコミ総合評価,3.93
2025/6/30,インフロニア・ホールディングス,5076,TOPIX Mid400,a0910000000FqfS,2024,クチコミ総合評価,3.79
2025/6/30,インフロニア・ホールディングス,5076,TOPIX Mid400,a0910000000FqfS,2025,クチコミ総合評価,4.08
2025/6/30,インフロニア・ホールディングス,5076,TOPIX Mid400,a0910000000FqfS,2016,待遇面の満足度,3.84
2025/6/30,インフロニア・ホールディングス,5076,TOPIX Mid400,a0910000000FqfS,2017,待遇面の満足度,4.04
2025/6/30,インフロニア・ホールディングス,5076,TOPIX Mid400,a0910000000FqfS,2018,待遇面の満足度,4.13
2025/6/30,インフロニア・ホールディングス,5076,TOPIX Mid400,a0910000000FqfS,2019,待遇面の満足度,4.11
2025/6/30,インフロニア・ホールディングス,5076,TOPIX Mid400,a0910000000FqfS,2020,待遇面の満足度,4.05
2025/6/30,インフロニア・ホールディングス,5076,TOPIX Mid400,a0910000000FqfS,2021,待遇面の満足度,3.95
2025/6/30,インフロニア・ホールディングス,5076,TOPIX Mid400,a0910000000FqfS,2022,待遇面の満足度,4.04
2025/6/30,インフロニア・ホールディングス,5076,TOPIX Mid400,a0910000000FqfS,2023,待遇面の満足度,3.78
2025/6/30,インフロニア・ホールディングス,5076,TOPIX Mid400,a0910000000FqfS,2024,待遇面の満足度,3.82
2025/6/30,インフロニア・ホールディングス,5076,TOPIX Mid400,a0910000000FqfS,2025,待遇面の満足度,4.11
2025/6/30,インフロニア・ホールディングス,5076,TOPIX Mid400,a0910000000FqfS,2016,社員の士気,3.49
2025/6/30,インフロニア・ホールディングス,5076,TOPIX Mid400,a0910000000FqfS,2017,社員の士気,3.51
2025/6/30,インフロニア・ホールディングス,5076,TOPIX Mid400,a0910000000FqfS,2018,社員の士気,3.48
