date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,ＡＧＣ,5201,TOPIX Mid400,a0910000000FrBb,2016,クチコミ総合評価,3.69
2025/6/30,ＡＧＣ,5201,TOPIX Mid400,a0910000000FrBb,2017,クチコミ総合評価,3.75
2025/6/30,ＡＧＣ,5201,TOPIX Mid400,a0910000000FrBb,2018,クチコミ総合評価,3.82
2025/6/30,ＡＧＣ,5201,TOPIX Mid400,a0910000000FrBb,2019,クチコミ総合評価,3.85
2025/6/30,ＡＧＣ,5201,TOPIX Mid400,a0910000000FrBb,2020,クチコミ総合評価,3.85
2025/6/30,ＡＧＣ,5201,TOPIX Mid400,a0910000000FrBb,2021,クチコミ総合評価,3.89
2025/6/30,ＡＧＣ,5201,TOPIX Mid400,a0910000000FrBb,2022,クチコミ総合評価,3.93
2025/6/30,ＡＧＣ,5201,TOPIX Mid400,a0910000000FrBb,2023,クチコミ総合評価,3.84
2025/6/30,ＡＧＣ,5201,TOPIX Mid400,a0910000000FrBb,2024,クチコミ総合評価,3.83
2025/6/30,ＡＧＣ,5201,TOPIX Mid400,a0910000000FrBb,2025,クチコミ総合評価,3.81
2025/6/30,ＡＧＣ,5201,TOPIX Mid400,a0910000000FrBb,2016,待遇面の満足度,3.79
2025/6/30,ＡＧＣ,5201,TOPIX Mid400,a0910000000FrBb,2017,待遇面の満足度,3.84
2025/6/30,ＡＧＣ,5201,TOPIX Mid400,a0910000000FrBb,2018,待遇面の満足度,3.85
2025/6/30,ＡＧＣ,5201,TOPIX Mid400,a0910000000FrBb,2019,待遇面の満足度,3.88
2025/6/30,ＡＧＣ,5201,TOPIX Mid400,a0910000000FrBb,2020,待遇面の満足度,3.95
2025/6/30,ＡＧＣ,5201,TOPIX Mid400,a0910000000FrBb,2021,待遇面の満足度,4.06
2025/6/30,ＡＧＣ,5201,TOPIX Mid400,a0910000000FrBb,2022,待遇面の満足度,4.14
2025/6/30,ＡＧＣ,5201,TOPIX Mid400,a0910000000FrBb,2023,待遇面の満足度,4.18
2025/6/30,ＡＧＣ,5201,TOPIX Mid400,a0910000000FrBb,2024,待遇面の満足度,4.22
2025/6/30,ＡＧＣ,5201,TOPIX Mid400,a0910000000FrBb,2025,待遇面の満足度,4.05
2025/6/30,ＡＧＣ,5201,TOPIX Mid400,a0910000000FrBb,2016,社員の士気,3.2
2025/6/30,ＡＧＣ,5201,TOPIX Mid400,a0910000000FrBb,2017,社員の士気,3.3
2025/6/30,ＡＧＣ,5201,TOPIX Mid400,a0910000000FrBb,2018,社員の士気,3.33
2025/6/30,ＡＧＣ,5201,TOPIX Mid400,a0910000000FrBb,2019,社員の士気,3.38
2025/6/30,ＡＧＣ,5201,TOPIX Mid400,a0910000000FrBb,2020,社員の士気,3.37
2025/6/30,ＡＧＣ,5201,TOPIX Mid400,a0910000000FrBb,2021,社員の士気,3.39
2025/6/30,ＡＧＣ,5201,TOPIX Mid400,a0910000000FrBb,2022,社員の士気,3.43
2025/6/30,ＡＧＣ,5201,TOPIX Mid400,a0910000000FrBb,2023,社員の士気,3.38
2025/6/30,ＡＧＣ,5201,TOPIX Mid400,a0910000000FrBb,2024,社員の士気,3.36
2025/6/30,ＡＧＣ,5201,TOPIX Mid400,a0910000000FrBb,2025,社員の士気,3.47
2025/6/30,ＡＧＣ,5201,TOPIX Mid400,a0910000000FrBb,2016,風通しの良さ,3.9
2025/6/30,ＡＧＣ,5201,TOPIX Mid400,a0910000000FrBb,2017,風通しの良さ,3.97
2025/6/30,ＡＧＣ,5201,TOPIX Mid400,a0910000000FrBb,2018,風通しの良さ,4.04
2025/6/30,ＡＧＣ,5201,TOPIX Mid400,a0910000000FrBb,2019,風通しの良さ,4.1
2025/6/30,ＡＧＣ,5201,TOPIX Mid400,a0910000000FrBb,2020,風通しの良さ,4.04
2025/6/30,ＡＧＣ,5201,TOPIX Mid400,a0910000000FrBb,2021,風通しの良さ,4.13
2025/6/30,ＡＧＣ,5201,TOPIX Mid400,a0910000000FrBb,2022,風通しの良さ,4.07
2025/6/30,ＡＧＣ,5201,TOPIX Mid400,a0910000000FrBb,2023,風通しの良さ,3.94
2025/6/30,ＡＧＣ,5201,TOPIX Mid400,a0910000000FrBb,2024,風通しの良さ,3.92
2025/6/30,ＡＧＣ,5201,TOPIX Mid400,a0910000000FrBb,2025,風通しの良さ,3.84
2025/6/30,ＡＧＣ,5201,TOPIX Mid400,a0910000000FrBb,2016,社員の相互尊重,3.32
2025/6/30,ＡＧＣ,5201,TOPIX Mid400,a0910000000FrBb,2017,社員の相互尊重,3.47
2025/6/30,ＡＧＣ,5201,TOPIX Mid400,a0910000000FrBb,2018,社員の相互尊重,3.51
2025/6/30,ＡＧＣ,5201,TOPIX Mid400,a0910000000FrBb,2019,社員の相互尊重,3.54
2025/6/30,ＡＧＣ,5201,TOPIX Mid400,a0910000000FrBb,2020,社員の相互尊重,3.42
2025/6/30,ＡＧＣ,5201,TOPIX Mid400,a0910000000FrBb,2021,社員の相互尊重,3.39
2025/6/30,ＡＧＣ,5201,TOPIX Mid400,a0910000000FrBb,2022,社員の相互尊重,3.43
2025/6/30,ＡＧＣ,5201,TOPIX Mid400,a0910000000FrBb,2023,社員の相互尊重,3.38
2025/6/30,ＡＧＣ,5201,TOPIX Mid400,a0910000000FrBb,2024,社員の相互尊重,3.38
2025/6/30,ＡＧＣ,5201,TOPIX Mid400,a0910000000FrBb,2025,社員の相互尊重,3.42
2025/6/30,ＡＧＣ,5201,TOPIX Mid400,a0910000000FrBb,2016,20代成長環境,3.78
2025/6/30,ＡＧＣ,5201,TOPIX Mid400,a0910000000FrBb,2017,20代成長環境,3.72
2025/6/30,ＡＧＣ,5201,TOPIX Mid400,a0910000000FrBb,2018,20代成長環境,3.81
2025/6/30,ＡＧＣ,5201,TOPIX Mid400,a0910000000FrBb,2019,20代成長環境,3.76
2025/6/30,ＡＧＣ,5201,TOPIX Mid400,a0910000000FrBb,2020,20代成長環境,3.76
2025/6/30,ＡＧＣ,5201,TOPIX Mid400,a0910000000FrBb,2021,20代成長環境,3.78
2025/6/30,ＡＧＣ,5201,TOPIX Mid400,a0910000000FrBb,2022,20代成長環境,3.83
2025/6/30,ＡＧＣ,5201,TOPIX Mid400,a0910000000FrBb,2023,20代成長環境,3.75
2025/6/30,ＡＧＣ,5201,TOPIX Mid400,a0910000000FrBb,2024,20代成長環境,3.85
2025/6/30,ＡＧＣ,5201,TOPIX Mid400,a0910000000FrBb,2025,20代成長環境,3.91
2025/6/30,ＡＧＣ,5201,TOPIX Mid400,a0910000000FrBb,2016,人材の長期育成,2.8
2025/6/30,ＡＧＣ,5201,TOPIX Mid400,a0910000000FrBb,2017,人材の長期育成,2.88
2025/6/30,ＡＧＣ,5201,TOPIX Mid400,a0910000000FrBb,2018,人材の長期育成,3.02
2025/6/30,ＡＧＣ,5201,TOPIX Mid400,a0910000000FrBb,2019,人材の長期育成,3.09
2025/6/30,ＡＧＣ,5201,TOPIX Mid400,a0910000000FrBb,2020,人材の長期育成,3.15
2025/6/30,ＡＧＣ,5201,TOPIX Mid400,a0910000000FrBb,2021,人材の長期育成,3.19
2025/6/30,ＡＧＣ,5201,TOPIX Mid400,a0910000000FrBb,2022,人材の長期育成,3.23
2025/6/30,ＡＧＣ,5201,TOPIX Mid400,a0910000000FrBb,2023,人材の長期育成,3.05
2025/6/30,ＡＧＣ,5201,TOPIX Mid400,a0910000000FrBb,2024,人材の長期育成,2.91
2025/6/30,ＡＧＣ,5201,TOPIX Mid400,a0910000000FrBb,2025,人材の長期育成,2.9
2025/6/30,ＡＧＣ,5201,TOPIX Mid400,a0910000000FrBb,2016,法令順守意識,4.61
2025/6/30,ＡＧＣ,5201,TOPIX Mid400,a0910000000FrBb,2017,法令順守意識,4.62
2025/6/30,ＡＧＣ,5201,TOPIX Mid400,a0910000000FrBb,2018,法令順守意識,4.68
2025/6/30,ＡＧＣ,5201,TOPIX Mid400,a0910000000FrBb,2019,法令順守意識,4.73
2025/6/30,ＡＧＣ,5201,TOPIX Mid400,a0910000000FrBb,2020,法令順守意識,4.76
2025/6/30,ＡＧＣ,5201,TOPIX Mid400,a0910000000FrBb,2021,法令順守意識,4.77
2025/6/30,ＡＧＣ,5201,TOPIX Mid400,a0910000000FrBb,2022,法令順守意識,4.76
2025/6/30,ＡＧＣ,5201,TOPIX Mid400,a0910000000FrBb,2023,法令順守意識,4.77
2025/6/30,ＡＧＣ,5201,TOPIX Mid400,a0910000000FrBb,2024,法令順守意識,4.66
2025/6/30,ＡＧＣ,5201,TOPIX Mid400,a0910000000FrBb,2025,法令順守意識,4.55
2025/6/30,ＡＧＣ,5201,TOPIX Mid400,a0910000000FrBb,2016,人事評価の適正感,2.82
2025/6/30,ＡＧＣ,5201,TOPIX Mid400,a0910000000FrBb,2017,人事評価の適正感,2.84
2025/6/30,ＡＧＣ,5201,TOPIX Mid400,a0910000000FrBb,2018,人事評価の適正感,2.92
