date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,日本電気硝子,5214,TOPIX Mid400,a0910000000FrBh,2016,クチコミ総合評価,3.12
2025/6/30,日本電気硝子,5214,TOPIX Mid400,a0910000000FrBh,2017,クチコミ総合評価,3.06
2025/6/30,日本電気硝子,5214,TOPIX Mid400,a0910000000FrBh,2018,クチコミ総合評価,3.06
2025/6/30,日本電気硝子,5214,TOPIX Mid400,a0910000000FrBh,2019,クチコミ総合評価,3.13
2025/6/30,日本電気硝子,5214,TOPIX Mid400,a0910000000FrBh,2020,クチコミ総合評価,3.23
2025/6/30,日本電気硝子,5214,TOPIX Mid400,a0910000000FrBh,2021,クチコミ総合評価,3.39
2025/6/30,日本電気硝子,5214,TOPIX Mid400,a0910000000FrBh,2022,クチコミ総合評価,3.24
2025/6/30,日本電気硝子,5214,TOPIX Mid400,a0910000000FrBh,2023,クチコミ総合評価,3.16
2025/6/30,日本電気硝子,5214,TOPIX Mid400,a0910000000FrBh,2024,クチコミ総合評価,3.22
2025/6/30,日本電気硝子,5214,TOPIX Mid400,a0910000000FrBh,2025,クチコミ総合評価,3.14
2025/6/30,日本電気硝子,5214,TOPIX Mid400,a0910000000FrBh,2016,待遇面の満足度,2.8
2025/6/30,日本電気硝子,5214,TOPIX Mid400,a0910000000FrBh,2017,待遇面の満足度,2.69
2025/6/30,日本電気硝子,5214,TOPIX Mid400,a0910000000FrBh,2018,待遇面の満足度,2.75
2025/6/30,日本電気硝子,5214,TOPIX Mid400,a0910000000FrBh,2019,待遇面の満足度,2.86
2025/6/30,日本電気硝子,5214,TOPIX Mid400,a0910000000FrBh,2020,待遇面の満足度,3
2025/6/30,日本電気硝子,5214,TOPIX Mid400,a0910000000FrBh,2021,待遇面の満足度,3.41
2025/6/30,日本電気硝子,5214,TOPIX Mid400,a0910000000FrBh,2022,待遇面の満足度,3.34
2025/6/30,日本電気硝子,5214,TOPIX Mid400,a0910000000FrBh,2023,待遇面の満足度,3.12
2025/6/30,日本電気硝子,5214,TOPIX Mid400,a0910000000FrBh,2024,待遇面の満足度,2.83
2025/6/30,日本電気硝子,5214,TOPIX Mid400,a0910000000FrBh,2025,待遇面の満足度,2.6
2025/6/30,日本電気硝子,5214,TOPIX Mid400,a0910000000FrBh,2016,社員の士気,2.67
2025/6/30,日本電気硝子,5214,TOPIX Mid400,a0910000000FrBh,2017,社員の士気,2.69
