date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,住友大阪セメント,5232,TOPIX Mid400,a0910000000FrBl,2016,クチコミ総合評価,3.11
2025/6/30,住友大阪セメント,5232,TOPIX Mid400,a0910000000FrBl,2017,クチコミ総合評価,3.12
2025/6/30,住友大阪セメント,5232,TOPIX Mid400,a0910000000FrBl,2018,クチコミ総合評価,3.16
2025/6/30,住友大阪セメント,5232,TOPIX Mid400,a0910000000FrBl,2019,クチコミ総合評価,3.1
2025/6/30,住友大阪セメント,5232,TOPIX Mid400,a0910000000FrBl,2020,クチコミ総合評価,3.08
2025/6/30,住友大阪セメント,5232,TOPIX Mid400,a0910000000FrBl,2021,クチコミ総合評価,3.19
2025/6/30,住友大阪セメント,5232,TOPIX Mid400,a0910000000FrBl,2022,クチコミ総合評価,3.28
2025/6/30,住友大阪セメント,5232,TOPIX Mid400,a0910000000FrBl,2023,クチコミ総合評価,3.24
2025/6/30,住友大阪セメント,5232,TOPIX Mid400,a0910000000FrBl,2024,クチコミ総合評価,3.14
2025/6/30,住友大阪セメント,5232,TOPIX Mid400,a0910000000FrBl,2025,クチコミ総合評価,3.49
2025/6/30,住友大阪セメント,5232,TOPIX Mid400,a0910000000FrBl,2016,待遇面の満足度,3.69
2025/6/30,住友大阪セメント,5232,TOPIX Mid400,a0910000000FrBl,2017,待遇面の満足度,3.57
2025/6/30,住友大阪セメント,5232,TOPIX Mid400,a0910000000FrBl,2018,待遇面の満足度,3.71
2025/6/30,住友大阪セメント,5232,TOPIX Mid400,a0910000000FrBl,2019,待遇面の満足度,3.63
2025/6/30,住友大阪セメント,5232,TOPIX Mid400,a0910000000FrBl,2020,待遇面の満足度,3.59
2025/6/30,住友大阪セメント,5232,TOPIX Mid400,a0910000000FrBl,2021,待遇面の満足度,3.75
2025/6/30,住友大阪セメント,5232,TOPIX Mid400,a0910000000FrBl,2022,待遇面の満足度,3.9
2025/6/30,住友大阪セメント,5232,TOPIX Mid400,a0910000000FrBl,2023,待遇面の満足度,3.91
2025/6/30,住友大阪セメント,5232,TOPIX Mid400,a0910000000FrBl,2024,待遇面の満足度,3.57
2025/6/30,住友大阪セメント,5232,TOPIX Mid400,a0910000000FrBl,2025,待遇面の満足度,3.77
2025/6/30,住友大阪セメント,5232,TOPIX Mid400,a0910000000FrBl,2016,社員の士気,2.62
2025/6/30,住友大阪セメント,5232,TOPIX Mid400,a0910000000FrBl,2017,社員の士気,2.72
2025/6/30,住友大阪セメント,5232,TOPIX Mid400,a0910000000FrBl,2018,社員の士気,2.79
2025/6/30,住友大阪セメント,5232,TOPIX Mid400,a0910000000FrBl,2019,社員の士気,2.75
2025/6/30,住友大阪セメント,5232,TOPIX Mid400,a0910000000FrBl,2020,社員の士気,2.77
2025/6/30,住友大阪セメント,5232,TOPIX Mid400,a0910000000FrBl,2021,社員の士気,2.71
2025/6/30,住友大阪セメント,5232,TOPIX Mid400,a0910000000FrBl,2022,社員の士気,2.72
2025/6/30,住友大阪セメント,5232,TOPIX Mid400,a0910000000FrBl,2023,社員の士気,2.57
2025/6/30,住友大阪セメント,5232,TOPIX Mid400,a0910000000FrBl,2024,社員の士気,2.46
2025/6/30,住友大阪セメント,5232,TOPIX Mid400,a0910000000FrBl,2025,社員の士気,2.86
2025/6/30,住友大阪セメント,5232,TOPIX Mid400,a0910000000FrBl,2016,風通しの良さ,3
2025/6/30,住友大阪セメント,5232,TOPIX Mid400,a0910000000FrBl,2017,風通しの良さ,3.07
2025/6/30,住友大阪セメント,5232,TOPIX Mid400,a0910000000FrBl,2018,風通しの良さ,3
