date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,太平洋セメント,5233,TOPIX Mid400,a0910000000FrBm,2016,クチコミ総合評価,3.19
2025/6/30,太平洋セメント,5233,TOPIX Mid400,a0910000000FrBm,2017,クチコミ総合評価,3.19
2025/6/30,太平洋セメント,5233,TOPIX Mid400,a0910000000FrBm,2018,クチコミ総合評価,3.23
2025/6/30,太平洋セメント,5233,TOPIX Mid400,a0910000000FrBm,2019,クチコミ総合評価,3.24
2025/6/30,太平洋セメント,5233,TOPIX Mid400,a0910000000FrBm,2020,クチコミ総合評価,3.12
2025/6/30,太平洋セメント,5233,TOPIX Mid400,a0910000000FrBm,2021,クチコミ総合評価,3.14
2025/6/30,太平洋セメント,5233,TOPIX Mid400,a0910000000FrBm,2022,クチコミ総合評価,3.14
2025/6/30,太平洋セメント,5233,TOPIX Mid400,a0910000000FrBm,2023,クチコミ総合評価,3.29
2025/6/30,太平洋セメント,5233,TOPIX Mid400,a0910000000FrBm,2024,クチコミ総合評価,3.45
2025/6/30,太平洋セメント,5233,TOPIX Mid400,a0910000000FrBm,2025,クチコミ総合評価,3.43
2025/6/30,太平洋セメント,5233,TOPIX Mid400,a0910000000FrBm,2016,待遇面の満足度,3.51
2025/6/30,太平洋セメント,5233,TOPIX Mid400,a0910000000FrBm,2017,待遇面の満足度,3.54
2025/6/30,太平洋セメント,5233,TOPIX Mid400,a0910000000FrBm,2018,待遇面の満足度,3.72
2025/6/30,太平洋セメント,5233,TOPIX Mid400,a0910000000FrBm,2019,待遇面の満足度,3.63
2025/6/30,太平洋セメント,5233,TOPIX Mid400,a0910000000FrBm,2020,待遇面の満足度,3.55
2025/6/30,太平洋セメント,5233,TOPIX Mid400,a0910000000FrBm,2021,待遇面の満足度,3.65
2025/6/30,太平洋セメント,5233,TOPIX Mid400,a0910000000FrBm,2022,待遇面の満足度,3.64
2025/6/30,太平洋セメント,5233,TOPIX Mid400,a0910000000FrBm,2023,待遇面の満足度,3.85
2025/6/30,太平洋セメント,5233,TOPIX Mid400,a0910000000FrBm,2024,待遇面の満足度,3.95
2025/6/30,太平洋セメント,5233,TOPIX Mid400,a0910000000FrBm,2025,待遇面の満足度,4.28
2025/6/30,太平洋セメント,5233,TOPIX Mid400,a0910000000FrBm,2016,社員の士気,2.74
2025/6/30,太平洋セメント,5233,TOPIX Mid400,a0910000000FrBm,2017,社員の士気,2.73
2025/6/30,太平洋セメント,5233,TOPIX Mid400,a0910000000FrBm,2018,社員の士気,2.75
2025/6/30,太平洋セメント,5233,TOPIX Mid400,a0910000000FrBm,2019,社員の士気,2.8
2025/6/30,太平洋セメント,5233,TOPIX Mid400,a0910000000FrBm,2020,社員の士気,2.61
2025/6/30,太平洋セメント,5233,TOPIX Mid400,a0910000000FrBm,2021,社員の士気,2.57
