date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2016,クチコミ総合評価,3.45
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2017,クチコミ総合評価,3.45
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2018,クチコミ総合評価,3.31
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2019,クチコミ総合評価,3.3
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2020,クチコミ総合評価,3.3
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2021,クチコミ総合評価,3.13
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2022,クチコミ総合評価,3.35
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2023,クチコミ総合評価,3.84
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2024,クチコミ総合評価,3.36
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2025,クチコミ総合評価,3.22
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2016,待遇面の満足度,3
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2017,待遇面の満足度,3.15
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2018,待遇面の満足度,3
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2019,待遇面の満足度,3.16
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2020,待遇面の満足度,3.46
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2021,待遇面の満足度,3.54
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2022,待遇面の満足度,3.74
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2023,待遇面の満足度,4.24
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2024,待遇面の満足度,3.59
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2025,待遇面の満足度,3
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2016,社員の士気,3.14
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2017,社員の士気,3.15
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2018,社員の士気,3
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2019,社員の士気,3
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2020,社員の士気,2.84
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2021,社員の士気,2.81
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2022,社員の士気,3
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2023,社員の士気,3
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2024,社員の士気,2.68
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2025,社員の士気,2.51
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2016,風通しの良さ,3.63
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2017,風通しの良さ,3.55
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2018,風通しの良さ,3.42
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2019,風通しの良さ,3.46
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2020,風通しの良さ,3.46
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2021,風通しの良さ,3
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2022,風通しの良さ,3.27
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2023,風通しの良さ,3.7
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2024,風通しの良さ,3
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2025,風通しの良さ,3
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2016,社員の相互尊重,3.39
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2017,社員の相互尊重,3.15
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2018,社員の相互尊重,3.29
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2019,社員の相互尊重,3.16
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2020,社員の相互尊重,3.31
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2021,社員の相互尊重,3
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2022,社員の相互尊重,3
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2023,社員の相互尊重,3.7
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2024,社員の相互尊重,3
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2025,社員の相互尊重,3
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2016,20代成長環境,2.79
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2017,20代成長環境,2.78
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2018,20代成長環境,2.55
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2019,20代成長環境,2.51
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2020,20代成長環境,2.59
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2021,20代成長環境,2.61
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2022,20代成長環境,2.58
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2023,20代成長環境,3
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2024,20代成長環境,2.68
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2025,20代成長環境,3
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2016,人材の長期育成,2.93
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2017,人材の長期育成,3
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2018,人材の長期育成,2.85
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2019,人材の長期育成,2.84
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2020,人材の長期育成,2.84
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2021,人材の長期育成,2.81
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2022,人材の長期育成,3
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2023,人材の長期育成,3.37
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2024,人材の長期育成,2.68
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2025,人材の長期育成,3
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2016,法令順守意識,4.64
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2017,法令順守意識,4.6
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2018,法令順守意識,4.38
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2019,法令順守意識,4.46
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2020,法令順守意識,4.18
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2021,法令順守意識,3.99
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2022,法令順守意識,4.14
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2023,法令順守意識,4.24
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2024,法令順守意識,4.46
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2025,法令順守意識,3.85
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2016,人事評価の適正感,3.27
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2017,人事評価の適正感,3.42
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2018,人事評価の適正感,3.29
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2019,人事評価の適正感,3.16
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2020,人事評価の適正感,2.92
2025/6/30,東海カーボン,5301,TOPIX Mid400,a0910000000FrC9,2021,人事評価の適正感,2.81
