date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,日本特殊陶業,5334,TOPIX Mid400,a0910000000FrCG,2016,クチコミ総合評価,3.09
2025/6/30,日本特殊陶業,5334,TOPIX Mid400,a0910000000FrCG,2017,クチコミ総合評価,3.1
2025/6/30,日本特殊陶業,5334,TOPIX Mid400,a0910000000FrCG,2018,クチコミ総合評価,3.12
2025/6/30,日本特殊陶業,5334,TOPIX Mid400,a0910000000FrCG,2019,クチコミ総合評価,3.11
2025/6/30,日本特殊陶業,5334,TOPIX Mid400,a0910000000FrCG,2020,クチコミ総合評価,3.1
2025/6/30,日本特殊陶業,5334,TOPIX Mid400,a0910000000FrCG,2021,クチコミ総合評価,3.05
2025/6/30,日本特殊陶業,5334,TOPIX Mid400,a0910000000FrCG,2022,クチコミ総合評価,3.07
2025/6/30,日本特殊陶業,5334,TOPIX Mid400,a0910000000FrCG,2023,クチコミ総合評価,3.16
2025/6/30,日本特殊陶業,5334,TOPIX Mid400,a0910000000FrCG,2024,クチコミ総合評価,3.27
2025/6/30,日本特殊陶業,5334,TOPIX Mid400,a0910000000FrCG,2025,クチコミ総合評価,3.19
2025/6/30,日本特殊陶業,5334,TOPIX Mid400,a0910000000FrCG,2016,待遇面の満足度,3.19
2025/6/30,日本特殊陶業,5334,TOPIX Mid400,a0910000000FrCG,2017,待遇面の満足度,3.24
2025/6/30,日本特殊陶業,5334,TOPIX Mid400,a0910000000FrCG,2018,待遇面の満足度,3.25
2025/6/30,日本特殊陶業,5334,TOPIX Mid400,a0910000000FrCG,2019,待遇面の満足度,3.28
2025/6/30,日本特殊陶業,5334,TOPIX Mid400,a0910000000FrCG,2020,待遇面の満足度,3.26
2025/6/30,日本特殊陶業,5334,TOPIX Mid400,a0910000000FrCG,2021,待遇面の満足度,3.18
2025/6/30,日本特殊陶業,5334,TOPIX Mid400,a0910000000FrCG,2022,待遇面の満足度,3.29
2025/6/30,日本特殊陶業,5334,TOPIX Mid400,a0910000000FrCG,2023,待遇面の満足度,3.6
2025/6/30,日本特殊陶業,5334,TOPIX Mid400,a0910000000FrCG,2024,待遇面の満足度,3.81
2025/6/30,日本特殊陶業,5334,TOPIX Mid400,a0910000000FrCG,2025,待遇面の満足度,3.71
2025/6/30,日本特殊陶業,5334,TOPIX Mid400,a0910000000FrCG,2016,社員の士気,2.51
2025/6/30,日本特殊陶業,5334,TOPIX Mid400,a0910000000FrCG,2017,社員の士気,2.5
2025/6/30,日本特殊陶業,5334,TOPIX Mid400,a0910000000FrCG,2018,社員の士気,2.48
2025/6/30,日本特殊陶業,5334,TOPIX Mid400,a0910000000FrCG,2019,社員の士気,2.47
2025/6/30,日本特殊陶業,5334,TOPIX Mid400,a0910000000FrCG,2020,社員の士気,2.5
2025/6/30,日本特殊陶業,5334,TOPIX Mid400,a0910000000FrCG,2021,社員の士気,2.44
2025/6/30,日本特殊陶業,5334,TOPIX Mid400,a0910000000FrCG,2022,社員の士気,2.44
2025/6/30,日本特殊陶業,5334,TOPIX Mid400,a0910000000FrCG,2023,社員の士気,2.49
2025/6/30,日本特殊陶業,5334,TOPIX Mid400,a0910000000FrCG,2024,社員の士気,2.61
2025/6/30,日本特殊陶業,5334,TOPIX Mid400,a0910000000FrCG,2025,社員の士気,2.57
