date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,ＪＦＥホールディングス,5411,TOPIX Mid400,a0910000000G1Ls,2016,クチコミ総合評価,3.08
2025/6/30,ＪＦＥホールディングス,5411,TOPIX Mid400,a0910000000G1Ls,2017,クチコミ総合評価,3.09
2025/6/30,ＪＦＥホールディングス,5411,TOPIX Mid400,a0910000000G1Ls,2018,クチコミ総合評価,3.1
2025/6/30,ＪＦＥホールディングス,5411,TOPIX Mid400,a0910000000G1Ls,2019,クチコミ総合評価,3.12
2025/6/30,ＪＦＥホールディングス,5411,TOPIX Mid400,a0910000000G1Ls,2020,クチコミ総合評価,3.12
2025/6/30,ＪＦＥホールディングス,5411,TOPIX Mid400,a0910000000G1Ls,2021,クチコミ総合評価,3.15
2025/6/30,ＪＦＥホールディングス,5411,TOPIX Mid400,a0910000000G1Ls,2022,クチコミ総合評価,3.13
2025/6/30,ＪＦＥホールディングス,5411,TOPIX Mid400,a0910000000G1Ls,2023,クチコミ総合評価,3.19
2025/6/30,ＪＦＥホールディングス,5411,TOPIX Mid400,a0910000000G1Ls,2024,クチコミ総合評価,3.21
2025/6/30,ＪＦＥホールディングス,5411,TOPIX Mid400,a0910000000G1Ls,2025,クチコミ総合評価,3.33
2025/6/30,ＪＦＥホールディングス,5411,TOPIX Mid400,a0910000000G1Ls,2016,待遇面の満足度,3.45
2025/6/30,ＪＦＥホールディングス,5411,TOPIX Mid400,a0910000000G1Ls,2017,待遇面の満足度,3.43
2025/6/30,ＪＦＥホールディングス,5411,TOPIX Mid400,a0910000000G1Ls,2018,待遇面の満足度,3.44
2025/6/30,ＪＦＥホールディングス,5411,TOPIX Mid400,a0910000000G1Ls,2019,待遇面の満足度,3.47
2025/6/30,ＪＦＥホールディングス,5411,TOPIX Mid400,a0910000000G1Ls,2020,待遇面の満足度,3.47
2025/6/30,ＪＦＥホールディングス,5411,TOPIX Mid400,a0910000000G1Ls,2021,待遇面の満足度,3.62
2025/6/30,ＪＦＥホールディングス,5411,TOPIX Mid400,a0910000000G1Ls,2022,待遇面の満足度,3.53
2025/6/30,ＪＦＥホールディングス,5411,TOPIX Mid400,a0910000000G1Ls,2023,待遇面の満足度,3.64
2025/6/30,ＪＦＥホールディングス,5411,TOPIX Mid400,a0910000000G1Ls,2024,待遇面の満足度,3.75
2025/6/30,ＪＦＥホールディングス,5411,TOPIX Mid400,a0910000000G1Ls,2025,待遇面の満足度,3.96
2025/6/30,ＪＦＥホールディングス,5411,TOPIX Mid400,a0910000000G1Ls,2016,社員の士気,2.61
2025/6/30,ＪＦＥホールディングス,5411,TOPIX Mid400,a0910000000G1Ls,2017,社員の士気,2.63
2025/6/30,ＪＦＥホールディングス,5411,TOPIX Mid400,a0910000000G1Ls,2018,社員の士気,2.64
2025/6/30,ＪＦＥホールディングス,5411,TOPIX Mid400,a0910000000G1Ls,2019,社員の士気,2.66
2025/6/30,ＪＦＥホールディングス,5411,TOPIX Mid400,a0910000000G1Ls,2020,社員の士気,2.67
2025/6/30,ＪＦＥホールディングス,5411,TOPIX Mid400,a0910000000G1Ls,2021,社員の士気,2.68
2025/6/30,ＪＦＥホールディングス,5411,TOPIX Mid400,a0910000000G1Ls,2022,社員の士気,2.67
2025/6/30,ＪＦＥホールディングス,5411,TOPIX Mid400,a0910000000G1Ls,2023,社員の士気,2.69
2025/6/30,ＪＦＥホールディングス,5411,TOPIX Mid400,a0910000000G1Ls,2024,社員の士気,2.63
