date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,大和工業,5444,TOPIX Mid400,a0910000000FrCu,2014,クチコミ総合評価,2.99
2025/6/30,大和工業,5444,TOPIX Mid400,a0910000000FrCu,2015,クチコミ総合評価,2.91
2025/6/30,大和工業,5444,TOPIX Mid400,a0910000000FrCu,2016,クチコミ総合評価,2.89
2025/6/30,大和工業,5444,TOPIX Mid400,a0910000000FrCu,2017,クチコミ総合評価,2.9
2025/6/30,大和工業,5444,TOPIX Mid400,a0910000000FrCu,2018,クチコミ総合評価,2.98
2025/6/30,大和工業,5444,TOPIX Mid400,a0910000000FrCu,2019,クチコミ総合評価,2.87
2025/6/30,大和工業,5444,TOPIX Mid400,a0910000000FrCu,2020,クチコミ総合評価,3.07
2025/6/30,大和工業,5444,TOPIX Mid400,a0910000000FrCu,2021,クチコミ総合評価,3.05
2025/6/30,大和工業,5444,TOPIX Mid400,a0910000000FrCu,2022,クチコミ総合評価,2.37
2025/6/30,大和工業,5444,TOPIX Mid400,a0910000000FrCu,2014,待遇面の満足度,3.9
2025/6/30,大和工業,5444,TOPIX Mid400,a0910000000FrCu,2015,待遇面の満足度,3.81
2025/6/30,大和工業,5444,TOPIX Mid400,a0910000000FrCu,2016,待遇面の満足度,3.73
2025/6/30,大和工業,5444,TOPIX Mid400,a0910000000FrCu,2017,待遇面の満足度,3.84
2025/6/30,大和工業,5444,TOPIX Mid400,a0910000000FrCu,2018,待遇面の満足度,4.14
2025/6/30,大和工業,5444,TOPIX Mid400,a0910000000FrCu,2019,待遇面の満足度,3.91
2025/6/30,大和工業,5444,TOPIX Mid400,a0910000000FrCu,2020,待遇面の満足度,3.77
2025/6/30,大和工業,5444,TOPIX Mid400,a0910000000FrCu,2021,待遇面の満足度,3.7
2025/6/30,大和工業,5444,TOPIX Mid400,a0910000000FrCu,2022,待遇面の満足度,2.65
2025/6/30,大和工業,5444,TOPIX Mid400,a0910000000FrCu,2014,社員の士気,2.6
2025/6/30,大和工業,5444,TOPIX Mid400,a0910000000FrCu,2015,社員の士気,2.47
2025/6/30,大和工業,5444,TOPIX Mid400,a0910000000FrCu,2016,社員の士気,2.31
2025/6/30,大和工業,5444,TOPIX Mid400,a0910000000FrCu,2017,社員の士気,2.4
2025/6/30,大和工業,5444,TOPIX Mid400,a0910000000FrCu,2018,社員の士気,2.42
2025/6/30,大和工業,5444,TOPIX Mid400,a0910000000FrCu,2019,社員の士気,2.42
2025/6/30,大和工業,5444,TOPIX Mid400,a0910000000FrCu,2020,社員の士気,2.54
2025/6/30,大和工業,5444,TOPIX Mid400,a0910000000FrCu,2021,社員の士気,2.45
2025/6/30,大和工業,5444,TOPIX Mid400,a0910000000FrCu,2022,社員の士気,1.96
2025/6/30,大和工業,5444,TOPIX Mid400,a0910000000FrCu,2014,風通しの良さ,2.91
