date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2016,クチコミ総合評価,3.02
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2017,クチコミ総合評価,2.85
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2018,クチコミ総合評価,2.89
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2019,クチコミ総合評価,2.87
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2020,クチコミ総合評価,3
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2021,クチコミ総合評価,3.14
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2022,クチコミ総合評価,3.24
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2023,クチコミ総合評価,3.24
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2024,クチコミ総合評価,3.68
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2025,クチコミ総合評価,3.68
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2016,待遇面の満足度,3.58
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2017,待遇面の満足度,3.09
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2018,待遇面の満足度,3
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2019,待遇面の満足度,3.11
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2020,待遇面の満足度,3.36
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2021,待遇面の満足度,3.55
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2022,待遇面の満足度,3.5
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2023,待遇面の満足度,3.5
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2024,待遇面の満足度,4.05
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2025,待遇面の満足度,4.05
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2016,社員の士気,2.28
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2017,社員の士気,2.34
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2018,社員の士気,2.55
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2019,社員の士気,2.51
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2020,社員の士気,2.46
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2021,社員の士気,2.56
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2022,社員の士気,2.41
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2023,社員の士気,2.41
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2024,社員の士気,2.51
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2025,社員の士気,2.51
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2016,風通しの良さ,2.96
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2017,風通しの良さ,2.96
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2018,風通しの良さ,3
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2019,風通しの良さ,2.91
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2020,風通しの良さ,3
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2021,風通しの良さ,3
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2022,風通しの良さ,3
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2023,風通しの良さ,3
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2024,風通しの良さ,3
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2025,風通しの良さ,3
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2016,社員の相互尊重,2.8
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2017,社員の相互尊重,2.87
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2018,社員の相互尊重,3.17
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2019,社員の相互尊重,3.31
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2020,社員の相互尊重,3.34
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2021,社員の相互尊重,3.41
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2022,社員の相互尊重,3.37
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2023,社員の相互尊重,3.37
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2024,社員の相互尊重,3.86
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2025,社員の相互尊重,3.86
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2016,20代成長環境,2.93
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2017,20代成長環境,3
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2018,20代成長環境,3
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2019,20代成長環境,2.84
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2020,20代成長環境,2.73
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2021,20代成長環境,3
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2022,20代成長環境,3.71
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2023,20代成長環境,3.71
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2024,20代成長環境,3.86
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2025,20代成長環境,3.86
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2016,人材の長期育成,2.87
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2017,人材の長期育成,2.67
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2018,人材の長期育成,2.55
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2019,人材の長期育成,2.43
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2020,人材の長期育成,2.55
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2021,人材の長期育成,2.67
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2022,人材の長期育成,2.8
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2023,人材の長期育成,2.8
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2024,人材の長期育成,2.51
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2025,人材の長期育成,2.51
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2016,法令順守意識,3.63
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2017,法令順守意識,3.12
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2018,法令順守意識,3
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2019,法令順守意識,3
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2020,法令順守意識,3.3
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2021,法令順守意識,3.19
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2022,法令順守意識,3
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2023,法令順守意識,3
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2024,法令順守意識,3.77
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2025,法令順守意識,3.77
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2016,人事評価の適正感,2.67
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2017,人事評価の適正感,2.61
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2018,人事評価の適正感,2.73
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2019,人事評価の適正感,2.67
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2020,人事評価の適正感,2.82
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2021,人事評価の適正感,3.21
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2022,人事評価の適正感,3.37
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2023,人事評価の適正感,3.37
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2024,人事評価の適正感,4.84
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2025,人事評価の適正感,4.84
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2016,有給休暇消化率,31.33
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2017,有給休暇消化率,33.33
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2018,有給休暇消化率,35.91
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2019,有給休暇消化率,44.58
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2020,有給休暇消化率,48.18
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2021,有給休暇消化率,53.89
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2022,有給休暇消化率,46
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2023,有給休暇消化率,46
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2024,有給休暇消化率,40
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2025,有給休暇消化率,40
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2016,残業時間(月間),27.53
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2017,残業時間(月間),25.33
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2018,残業時間(月間),25.45
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2019,残業時間(月間),25
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2020,残業時間(月間),22.73
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2021,残業時間(月間),22.22
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2022,残業時間(月間),24
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2023,残業時間(月間),24
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2024,残業時間(月間),20
2025/6/30,丸一鋼管,5463,TOPIX Mid400,a0910000000FrD6,2025,残業時間(月間),20
