date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,三井金属鉱業,5706,TOPIX Mid400,a0C1000000MKM4V,2016,クチコミ総合評価,3.34
2025/6/30,三井金属鉱業,5706,TOPIX Mid400,a0C1000000MKM4V,2017,クチコミ総合評価,3.31
2025/6/30,三井金属鉱業,5706,TOPIX Mid400,a0C1000000MKM4V,2018,クチコミ総合評価,3.33
2025/6/30,三井金属鉱業,5706,TOPIX Mid400,a0C1000000MKM4V,2019,クチコミ総合評価,3.29
2025/6/30,三井金属鉱業,5706,TOPIX Mid400,a0C1000000MKM4V,2020,クチコミ総合評価,3.34
2025/6/30,三井金属鉱業,5706,TOPIX Mid400,a0C1000000MKM4V,2021,クチコミ総合評価,3.35
2025/6/30,三井金属鉱業,5706,TOPIX Mid400,a0C1000000MKM4V,2022,クチコミ総合評価,3.31
2025/6/30,三井金属鉱業,5706,TOPIX Mid400,a0C1000000MKM4V,2023,クチコミ総合評価,3.3
2025/6/30,三井金属鉱業,5706,TOPIX Mid400,a0C1000000MKM4V,2024,クチコミ総合評価,3.33
2025/6/30,三井金属鉱業,5706,TOPIX Mid400,a0C1000000MKM4V,2025,クチコミ総合評価,3.65
2025/6/30,三井金属鉱業,5706,TOPIX Mid400,a0C1000000MKM4V,2016,待遇面の満足度,3.75
2025/6/30,三井金属鉱業,5706,TOPIX Mid400,a0C1000000MKM4V,2017,待遇面の満足度,3.84
2025/6/30,三井金属鉱業,5706,TOPIX Mid400,a0C1000000MKM4V,2018,待遇面の満足度,3.89
2025/6/30,三井金属鉱業,5706,TOPIX Mid400,a0C1000000MKM4V,2019,待遇面の満足度,3.8
2025/6/30,三井金属鉱業,5706,TOPIX Mid400,a0C1000000MKM4V,2020,待遇面の満足度,3.73
2025/6/30,三井金属鉱業,5706,TOPIX Mid400,a0C1000000MKM4V,2021,待遇面の満足度,3.69
2025/6/30,三井金属鉱業,5706,TOPIX Mid400,a0C1000000MKM4V,2022,待遇面の満足度,3.48
2025/6/30,三井金属鉱業,5706,TOPIX Mid400,a0C1000000MKM4V,2023,待遇面の満足度,3.58
2025/6/30,三井金属鉱業,5706,TOPIX Mid400,a0C1000000MKM4V,2024,待遇面の満足度,3.67
2025/6/30,三井金属鉱業,5706,TOPIX Mid400,a0C1000000MKM4V,2025,待遇面の満足度,4.32
2025/6/30,三井金属鉱業,5706,TOPIX Mid400,a0C1000000MKM4V,2016,社員の士気,2.84
2025/6/30,三井金属鉱業,5706,TOPIX Mid400,a0C1000000MKM4V,2017,社員の士気,2.81
2025/6/30,三井金属鉱業,5706,TOPIX Mid400,a0C1000000MKM4V,2018,社員の士気,2.88
2025/6/30,三井金属鉱業,5706,TOPIX Mid400,a0C1000000MKM4V,2019,社員の士気,2.9
2025/6/30,三井金属鉱業,5706,TOPIX Mid400,a0C1000000MKM4V,2020,社員の士気,2.87
2025/6/30,三井金属鉱業,5706,TOPIX Mid400,a0C1000000MKM4V,2021,社員の士気,2.87
2025/6/30,三井金属鉱業,5706,TOPIX Mid400,a0C1000000MKM4V,2022,社員の士気,2.77
2025/6/30,三井金属鉱業,5706,TOPIX Mid400,a0C1000000MKM4V,2023,社員の士気,2.69
2025/6/30,三井金属鉱業,5706,TOPIX Mid400,a0C1000000MKM4V,2024,社員の士気,2.68
2025/6/30,三井金属鉱業,5706,TOPIX Mid400,a0C1000000MKM4V,2025,社員の士気,2.67
2025/6/30,三井金属鉱業,5706,TOPIX Mid400,a0C1000000MKM4V,2016,風通しの良さ,3.35
2025/6/30,三井金属鉱業,5706,TOPIX Mid400,a0C1000000MKM4V,2017,風通しの良さ,3.39
2025/6/30,三井金属鉱業,5706,TOPIX Mid400,a0C1000000MKM4V,2018,風通しの良さ,3.48
2025/6/30,三井金属鉱業,5706,TOPIX Mid400,a0C1000000MKM4V,2019,風通しの良さ,3.35
2025/6/30,三井金属鉱業,5706,TOPIX Mid400,a0C1000000MKM4V,2020,風通しの良さ,3.51
2025/6/30,三井金属鉱業,5706,TOPIX Mid400,a0C1000000MKM4V,2021,風通しの良さ,3.51
2025/6/30,三井金属鉱業,5706,TOPIX Mid400,a0C1000000MKM4V,2022,風通しの良さ,3.48
2025/6/30,三井金属鉱業,5706,TOPIX Mid400,a0C1000000MKM4V,2023,風通しの良さ,3.47
2025/6/30,三井金属鉱業,5706,TOPIX Mid400,a0C1000000MKM4V,2024,風通しの良さ,3.3
2025/6/30,三井金属鉱業,5706,TOPIX Mid400,a0C1000000MKM4V,2025,風通しの良さ,3
2025/6/30,三井金属鉱業,5706,TOPIX Mid400,a0C1000000MKM4V,2016,社員の相互尊重,3.05
2025/6/30,三井金属鉱業,5706,TOPIX Mid400,a0C1000000MKM4V,2017,社員の相互尊重,3
2025/6/30,三井金属鉱業,5706,TOPIX Mid400,a0C1000000MKM4V,2018,社員の相互尊重,2.84
2025/6/30,三井金属鉱業,5706,TOPIX Mid400,a0C1000000MKM4V,2019,社員の相互尊重,2.84
2025/6/30,三井金属鉱業,5706,TOPIX Mid400,a0C1000000MKM4V,2020,社員の相互尊重,2.91
2025/6/30,三井金属鉱業,5706,TOPIX Mid400,a0C1000000MKM4V,2021,社員の相互尊重,2.89
2025/6/30,三井金属鉱業,5706,TOPIX Mid400,a0C1000000MKM4V,2022,社員の相互尊重,2.97
2025/6/30,三井金属鉱業,5706,TOPIX Mid400,a0C1000000MKM4V,2023,社員の相互尊重,2.91
2025/6/30,三井金属鉱業,5706,TOPIX Mid400,a0C1000000MKM4V,2024,社員の相互尊重,2.84
2025/6/30,三井金属鉱業,5706,TOPIX Mid400,a0C1000000MKM4V,2025,社員の相互尊重,3
2025/6/30,三井金属鉱業,5706,TOPIX Mid400,a0C1000000MKM4V,2016,20代成長環境,3.31
2025/6/30,三井金属鉱業,5706,TOPIX Mid400,a0C1000000MKM4V,2017,20代成長環境,3.24
2025/6/30,三井金属鉱業,5706,TOPIX Mid400,a0C1000000MKM4V,2018,20代成長環境,3.23
2025/6/30,三井金属鉱業,5706,TOPIX Mid400,a0C1000000MKM4V,2019,20代成長環境,3.12
2025/6/30,三井金属鉱業,5706,TOPIX Mid400,a0C1000000MKM4V,2020,20代成長環境,3.13
2025/6/30,三井金属鉱業,5706,TOPIX Mid400,a0C1000000MKM4V,2021,20代成長環境,3.17
2025/6/30,三井金属鉱業,5706,TOPIX Mid400,a0C1000000MKM4V,2022,20代成長環境,3.1
2025/6/30,三井金属鉱業,5706,TOPIX Mid400,a0C1000000MKM4V,2023,20代成長環境,2.97
2025/6/30,三井金属鉱業,5706,TOPIX Mid400,a0C1000000MKM4V,2024,20代成長環境,3
2025/6/30,三井金属鉱業,5706,TOPIX Mid400,a0C1000000MKM4V,2025,20代成長環境,3
2025/6/30,三井金属鉱業,5706,TOPIX Mid400,a0C1000000MKM4V,2016,人材の長期育成,2.63
2025/6/30,三井金属鉱業,5706,TOPIX Mid400,a0C1000000MKM4V,2017,人材の長期育成,2.58
2025/6/30,三井金属鉱業,5706,TOPIX Mid400,a0C1000000MKM4V,2018,人材の長期育成,2.63
2025/6/30,三井金属鉱業,5706,TOPIX Mid400,a0C1000000MKM4V,2019,人材の長期育成,2.67
2025/6/30,三井金属鉱業,5706,TOPIX Mid400,a0C1000000MKM4V,2020,人材の長期育成,2.72
2025/6/30,三井金属鉱業,5706,TOPIX Mid400,a0C1000000MKM4V,2021,人材の長期育成,2.72
2025/6/30,三井金属鉱業,5706,TOPIX Mid400,a0C1000000MKM4V,2022,人材の長期育成,2.77
2025/6/30,三井金属鉱業,5706,TOPIX Mid400,a0C1000000MKM4V,2023,人材の長期育成,2.81
2025/6/30,三井金属鉱業,5706,TOPIX Mid400,a0C1000000MKM4V,2024,人材の長期育成,2.95
