date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,古河電気工業,5801,TOPIX Mid400,a0910000000FrE2,2016,クチコミ総合評価,3.18
2025/6/30,古河電気工業,5801,TOPIX Mid400,a0910000000FrE2,2017,クチコミ総合評価,3.1
2025/6/30,古河電気工業,5801,TOPIX Mid400,a0910000000FrE2,2018,クチコミ総合評価,3.08
2025/6/30,古河電気工業,5801,TOPIX Mid400,a0910000000FrE2,2019,クチコミ総合評価,3.1
2025/6/30,古河電気工業,5801,TOPIX Mid400,a0910000000FrE2,2020,クチコミ総合評価,3.16
2025/6/30,古河電気工業,5801,TOPIX Mid400,a0910000000FrE2,2021,クチコミ総合評価,3.15
2025/6/30,古河電気工業,5801,TOPIX Mid400,a0910000000FrE2,2022,クチコミ総合評価,3.12
2025/6/30,古河電気工業,5801,TOPIX Mid400,a0910000000FrE2,2023,クチコミ総合評価,3.14
2025/6/30,古河電気工業,5801,TOPIX Mid400,a0910000000FrE2,2024,クチコミ総合評価,3.14
2025/6/30,古河電気工業,5801,TOPIX Mid400,a0910000000FrE2,2025,クチコミ総合評価,3.28
2025/6/30,古河電気工業,5801,TOPIX Mid400,a0910000000FrE2,2016,待遇面の満足度,2.91
2025/6/30,古河電気工業,5801,TOPIX Mid400,a0910000000FrE2,2017,待遇面の満足度,2.86
2025/6/30,古河電気工業,5801,TOPIX Mid400,a0910000000FrE2,2018,待遇面の満足度,2.81
2025/6/30,古河電気工業,5801,TOPIX Mid400,a0910000000FrE2,2019,待遇面の満足度,2.8
2025/6/30,古河電気工業,5801,TOPIX Mid400,a0910000000FrE2,2020,待遇面の満足度,2.84
2025/6/30,古河電気工業,5801,TOPIX Mid400,a0910000000FrE2,2021,待遇面の満足度,2.81
2025/6/30,古河電気工業,5801,TOPIX Mid400,a0910000000FrE2,2022,待遇面の満足度,2.69
2025/6/30,古河電気工業,5801,TOPIX Mid400,a0910000000FrE2,2023,待遇面の満足度,2.77
2025/6/30,古河電気工業,5801,TOPIX Mid400,a0910000000FrE2,2024,待遇面の満足度,3.1
2025/6/30,古河電気工業,5801,TOPIX Mid400,a0910000000FrE2,2025,待遇面の満足度,3.36
2025/6/30,古河電気工業,5801,TOPIX Mid400,a0910000000FrE2,2016,社員の士気,2.72
2025/6/30,古河電気工業,5801,TOPIX Mid400,a0910000000FrE2,2017,社員の士気,2.68
2025/6/30,古河電気工業,5801,TOPIX Mid400,a0910000000FrE2,2018,社員の士気,2.63
2025/6/30,古河電気工業,5801,TOPIX Mid400,a0910000000FrE2,2019,社員の士気,2.63
2025/6/30,古河電気工業,5801,TOPIX Mid400,a0910000000FrE2,2020,社員の士気,2.7
2025/6/30,古河電気工業,5801,TOPIX Mid400,a0910000000FrE2,2021,社員の士気,2.7
2025/6/30,古河電気工業,5801,TOPIX Mid400,a0910000000FrE2,2022,社員の士気,2.66
2025/6/30,古河電気工業,5801,TOPIX Mid400,a0910000000FrE2,2023,社員の士気,2.62
2025/6/30,古河電気工業,5801,TOPIX Mid400,a0910000000FrE2,2024,社員の士気,2.58
2025/6/30,古河電気工業,5801,TOPIX Mid400,a0910000000FrE2,2025,社員の士気,2.63
2025/6/30,古河電気工業,5801,TOPIX Mid400,a0910000000FrE2,2016,風通しの良さ,3.53
2025/6/30,古河電気工業,5801,TOPIX Mid400,a0910000000FrE2,2017,風通しの良さ,3.44
2025/6/30,古河電気工業,5801,TOPIX Mid400,a0910000000FrE2,2018,風通しの良さ,3.43
2025/6/30,古河電気工業,5801,TOPIX Mid400,a0910000000FrE2,2019,風通しの良さ,3.53
2025/6/30,古河電気工業,5801,TOPIX Mid400,a0910000000FrE2,2020,風通しの良さ,3.59
2025/6/30,古河電気工業,5801,TOPIX Mid400,a0910000000FrE2,2021,風通しの良さ,3.52
2025/6/30,古河電気工業,5801,TOPIX Mid400,a0910000000FrE2,2022,風通しの良さ,3.57
2025/6/30,古河電気工業,5801,TOPIX Mid400,a0910000000FrE2,2023,風通しの良さ,3.67
2025/6/30,古河電気工業,5801,TOPIX Mid400,a0910000000FrE2,2024,風通しの良さ,3.54
2025/6/30,古河電気工業,5801,TOPIX Mid400,a0910000000FrE2,2025,風通しの良さ,3.58
2025/6/30,古河電気工業,5801,TOPIX Mid400,a0910000000FrE2,2016,社員の相互尊重,3.1
2025/6/30,古河電気工業,5801,TOPIX Mid400,a0910000000FrE2,2017,社員の相互尊重,2.99
2025/6/30,古河電気工業,5801,TOPIX Mid400,a0910000000FrE2,2018,社員の相互尊重,2.99
2025/6/30,古河電気工業,5801,TOPIX Mid400,a0910000000FrE2,2019,社員の相互尊重,3.02
2025/6/30,古河電気工業,5801,TOPIX Mid400,a0910000000FrE2,2020,社員の相互尊重,3
2025/6/30,古河電気工業,5801,TOPIX Mid400,a0910000000FrE2,2021,社員の相互尊重,2.94
2025/6/30,古河電気工業,5801,TOPIX Mid400,a0910000000FrE2,2022,社員の相互尊重,2.96
2025/6/30,古河電気工業,5801,TOPIX Mid400,a0910000000FrE2,2023,社員の相互尊重,2.93
2025/6/30,古河電気工業,5801,TOPIX Mid400,a0910000000FrE2,2024,社員の相互尊重,2.89
2025/6/30,古河電気工業,5801,TOPIX Mid400,a0910000000FrE2,2025,社員の相互尊重,2.94
2025/6/30,古河電気工業,5801,TOPIX Mid400,a0910000000FrE2,2016,20代成長環境,2.82
2025/6/30,古河電気工業,5801,TOPIX Mid400,a0910000000FrE2,2017,20代成長環境,2.72
2025/6/30,古河電気工業,5801,TOPIX Mid400,a0910000000FrE2,2018,20代成長環境,2.67
2025/6/30,古河電気工業,5801,TOPIX Mid400,a0910000000FrE2,2019,20代成長環境,2.73
2025/6/30,古河電気工業,5801,TOPIX Mid400,a0910000000FrE2,2020,20代成長環境,2.86
2025/6/30,古河電気工業,5801,TOPIX Mid400,a0910000000FrE2,2021,20代成長環境,2.89
