date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,フジクラ,5803,TOPIX Mid400,a0910000000FrE4,2016,クチコミ総合評価,2.9
2025/6/30,フジクラ,5803,TOPIX Mid400,a0910000000FrE4,2017,クチコミ総合評価,2.92
2025/6/30,フジクラ,5803,TOPIX Mid400,a0910000000FrE4,2018,クチコミ総合評価,2.91
2025/6/30,フジクラ,5803,TOPIX Mid400,a0910000000FrE4,2019,クチコミ総合評価,2.91
2025/6/30,フジクラ,5803,TOPIX Mid400,a0910000000FrE4,2020,クチコミ総合評価,2.96
2025/6/30,フジクラ,5803,TOPIX Mid400,a0910000000FrE4,2021,クチコミ総合評価,3.04
2025/6/30,フジクラ,5803,TOPIX Mid400,a0910000000FrE4,2022,クチコミ総合評価,3.1
2025/6/30,フジクラ,5803,TOPIX Mid400,a0910000000FrE4,2023,クチコミ総合評価,3.28
2025/6/30,フジクラ,5803,TOPIX Mid400,a0910000000FrE4,2024,クチコミ総合評価,3.16
2025/6/30,フジクラ,5803,TOPIX Mid400,a0910000000FrE4,2025,クチコミ総合評価,2.66
2025/6/30,フジクラ,5803,TOPIX Mid400,a0910000000FrE4,2016,待遇面の満足度,3.34
2025/6/30,フジクラ,5803,TOPIX Mid400,a0910000000FrE4,2017,待遇面の満足度,3.36
2025/6/30,フジクラ,5803,TOPIX Mid400,a0910000000FrE4,2018,待遇面の満足度,3.38
2025/6/30,フジクラ,5803,TOPIX Mid400,a0910000000FrE4,2019,待遇面の満足度,3.41
2025/6/30,フジクラ,5803,TOPIX Mid400,a0910000000FrE4,2020,待遇面の満足度,3.4
2025/6/30,フジクラ,5803,TOPIX Mid400,a0910000000FrE4,2021,待遇面の満足度,3.38
2025/6/30,フジクラ,5803,TOPIX Mid400,a0910000000FrE4,2022,待遇面の満足度,3.62
2025/6/30,フジクラ,5803,TOPIX Mid400,a0910000000FrE4,2023,待遇面の満足度,3.76
2025/6/30,フジクラ,5803,TOPIX Mid400,a0910000000FrE4,2024,待遇面の満足度,3.57
2025/6/30,フジクラ,5803,TOPIX Mid400,a0910000000FrE4,2025,待遇面の満足度,3.72
2025/6/30,フジクラ,5803,TOPIX Mid400,a0910000000FrE4,2016,社員の士気,2.6
2025/6/30,フジクラ,5803,TOPIX Mid400,a0910000000FrE4,2017,社員の士気,2.62
2025/6/30,フジクラ,5803,TOPIX Mid400,a0910000000FrE4,2018,社員の士気,2.58
2025/6/30,フジクラ,5803,TOPIX Mid400,a0910000000FrE4,2019,社員の士気,2.58
2025/6/30,フジクラ,5803,TOPIX Mid400,a0910000000FrE4,2020,社員の士気,2.64
2025/6/30,フジクラ,5803,TOPIX Mid400,a0910000000FrE4,2021,社員の士気,2.65
2025/6/30,フジクラ,5803,TOPIX Mid400,a0910000000FrE4,2022,社員の士気,2.66
2025/6/30,フジクラ,5803,TOPIX Mid400,a0910000000FrE4,2023,社員の士気,2.77
2025/6/30,フジクラ,5803,TOPIX Mid400,a0910000000FrE4,2024,社員の士気,2.77
2025/6/30,フジクラ,5803,TOPIX Mid400,a0910000000FrE4,2025,社員の士気,2.6
2025/6/30,フジクラ,5803,TOPIX Mid400,a0910000000FrE4,2016,風通しの良さ,2.97
2025/6/30,フジクラ,5803,TOPIX Mid400,a0910000000FrE4,2017,風通しの良さ,2.99
2025/6/30,フジクラ,5803,TOPIX Mid400,a0910000000FrE4,2018,風通しの良さ,3
2025/6/30,フジクラ,5803,TOPIX Mid400,a0910000000FrE4,2019,風通しの良さ,2.99
2025/6/30,フジクラ,5803,TOPIX Mid400,a0910000000FrE4,2020,風通しの良さ,2.99
2025/6/30,フジクラ,5803,TOPIX Mid400,a0910000000FrE4,2021,風通しの良さ,3.05
2025/6/30,フジクラ,5803,TOPIX Mid400,a0910000000FrE4,2022,風通しの良さ,3.06
2025/6/30,フジクラ,5803,TOPIX Mid400,a0910000000FrE4,2023,風通しの良さ,3.15
2025/6/30,フジクラ,5803,TOPIX Mid400,a0910000000FrE4,2024,風通しの良さ,3
2025/6/30,フジクラ,5803,TOPIX Mid400,a0910000000FrE4,2025,風通しの良さ,2.6
2025/6/30,フジクラ,5803,TOPIX Mid400,a0910000000FrE4,2016,社員の相互尊重,2.98
2025/6/30,フジクラ,5803,TOPIX Mid400,a0910000000FrE4,2017,社員の相互尊重,2.98
2025/6/30,フジクラ,5803,TOPIX Mid400,a0910000000FrE4,2018,社員の相互尊重,2.96
2025/6/30,フジクラ,5803,TOPIX Mid400,a0910000000FrE4,2019,社員の相互尊重,2.93
2025/6/30,フジクラ,5803,TOPIX Mid400,a0910000000FrE4,2020,社員の相互尊重,2.96
2025/6/30,フジクラ,5803,TOPIX Mid400,a0910000000FrE4,2021,社員の相互尊重,3
2025/6/30,フジクラ,5803,TOPIX Mid400,a0910000000FrE4,2022,社員の相互尊重,3
2025/6/30,フジクラ,5803,TOPIX Mid400,a0910000000FrE4,2023,社員の相互尊重,3
2025/6/30,フジクラ,5803,TOPIX Mid400,a0910000000FrE4,2024,社員の相互尊重,2.92
2025/6/30,フジクラ,5803,TOPIX Mid400,a0910000000FrE4,2025,社員の相互尊重,2.4
