date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,いよぎんホールディングス,5830,TOPIX Mid400,a0910000000FroL,2016,クチコミ総合評価,3.24
2025/6/30,いよぎんホールディングス,5830,TOPIX Mid400,a0910000000FroL,2017,クチコミ総合評価,3.26
2025/6/30,いよぎんホールディングス,5830,TOPIX Mid400,a0910000000FroL,2018,クチコミ総合評価,3.29
2025/6/30,いよぎんホールディングス,5830,TOPIX Mid400,a0910000000FroL,2019,クチコミ総合評価,3.3
2025/6/30,いよぎんホールディングス,5830,TOPIX Mid400,a0910000000FroL,2020,クチコミ総合評価,3.31
2025/6/30,いよぎんホールディングス,5830,TOPIX Mid400,a0910000000FroL,2021,クチコミ総合評価,3.31
2025/6/30,いよぎんホールディングス,5830,TOPIX Mid400,a0910000000FroL,2022,クチコミ総合評価,3.36
2025/6/30,いよぎんホールディングス,5830,TOPIX Mid400,a0910000000FroL,2023,クチコミ総合評価,3.28
2025/6/30,いよぎんホールディングス,5830,TOPIX Mid400,a0910000000FroL,2024,クチコミ総合評価,3.21
2025/6/30,いよぎんホールディングス,5830,TOPIX Mid400,a0910000000FroL,2025,クチコミ総合評価,3.3
2025/6/30,いよぎんホールディングス,5830,TOPIX Mid400,a0910000000FroL,2016,待遇面の満足度,3.24
2025/6/30,いよぎんホールディングス,5830,TOPIX Mid400,a0910000000FroL,2017,待遇面の満足度,3.2
2025/6/30,いよぎんホールディングス,5830,TOPIX Mid400,a0910000000FroL,2018,待遇面の満足度,3.19
2025/6/30,いよぎんホールディングス,5830,TOPIX Mid400,a0910000000FroL,2019,待遇面の満足度,3.35
2025/6/30,いよぎんホールディングス,5830,TOPIX Mid400,a0910000000FroL,2020,待遇面の満足度,3.36
2025/6/30,いよぎんホールディングス,5830,TOPIX Mid400,a0910000000FroL,2021,待遇面の満足度,3.42
2025/6/30,いよぎんホールディングス,5830,TOPIX Mid400,a0910000000FroL,2022,待遇面の満足度,3.5
2025/6/30,いよぎんホールディングス,5830,TOPIX Mid400,a0910000000FroL,2023,待遇面の満足度,3.5
2025/6/30,いよぎんホールディングス,5830,TOPIX Mid400,a0910000000FroL,2024,待遇面の満足度,3
2025/6/30,いよぎんホールディングス,5830,TOPIX Mid400,a0910000000FroL,2025,待遇面の満足度,3.47
2025/6/30,いよぎんホールディングス,5830,TOPIX Mid400,a0910000000FroL,2016,社員の士気,2.83
2025/6/30,いよぎんホールディングス,5830,TOPIX Mid400,a0910000000FroL,2017,社員の士気,2.87
2025/6/30,いよぎんホールディングス,5830,TOPIX Mid400,a0910000000FroL,2018,社員の士気,2.89
2025/6/30,いよぎんホールディングス,5830,TOPIX Mid400,a0910000000FroL,2019,社員の士気,2.94
2025/6/30,いよぎんホールディングス,5830,TOPIX Mid400,a0910000000FroL,2020,社員の士気,2.96
2025/6/30,いよぎんホールディングス,5830,TOPIX Mid400,a0910000000FroL,2021,社員の士気,3.03
2025/6/30,いよぎんホールディングス,5830,TOPIX Mid400,a0910000000FroL,2022,社員の士気,3.12
2025/6/30,いよぎんホールディングス,5830,TOPIX Mid400,a0910000000FroL,2023,社員の士気,2.98
2025/6/30,いよぎんホールディングス,5830,TOPIX Mid400,a0910000000FroL,2024,社員の士気,3.2
2025/6/30,いよぎんホールディングス,5830,TOPIX Mid400,a0910000000FroL,2025,社員の士気,3
2025/6/30,いよぎんホールディングス,5830,TOPIX Mid400,a0910000000FroL,2016,風通しの良さ,2.71
2025/6/30,いよぎんホールディングス,5830,TOPIX Mid400,a0910000000FroL,2017,風通しの良さ,2.77
2025/6/30,いよぎんホールディングス,5830,TOPIX Mid400,a0910000000FroL,2018,風通しの良さ,2.83
2025/6/30,いよぎんホールディングス,5830,TOPIX Mid400,a0910000000FroL,2019,風通しの良さ,2.86
2025/6/30,いよぎんホールディングス,5830,TOPIX Mid400,a0910000000FroL,2020,風通しの良さ,2.89
2025/6/30,いよぎんホールディングス,5830,TOPIX Mid400,a0910000000FroL,2021,風通しの良さ,2.92
2025/6/30,いよぎんホールディングス,5830,TOPIX Mid400,a0910000000FroL,2022,風通しの良さ,3
2025/6/30,いよぎんホールディングス,5830,TOPIX Mid400,a0910000000FroL,2023,風通しの良さ,2.91
2025/6/30,いよぎんホールディングス,5830,TOPIX Mid400,a0910000000FroL,2024,風通しの良さ,3.1
2025/6/30,いよぎんホールディングス,5830,TOPIX Mid400,a0910000000FroL,2025,風通しの良さ,3
2025/6/30,いよぎんホールディングス,5830,TOPIX Mid400,a0910000000FroL,2016,社員の相互尊重,3
2025/6/30,いよぎんホールディングス,5830,TOPIX Mid400,a0910000000FroL,2017,社員の相互尊重,3.03
2025/6/30,いよぎんホールディングス,5830,TOPIX Mid400,a0910000000FroL,2018,社員の相互尊重,3.05
2025/6/30,いよぎんホールディングス,5830,TOPIX Mid400,a0910000000FroL,2019,社員の相互尊重,2.93
2025/6/30,いよぎんホールディングス,5830,TOPIX Mid400,a0910000000FroL,2020,社員の相互尊重,2.92
2025/6/30,いよぎんホールディングス,5830,TOPIX Mid400,a0910000000FroL,2021,社員の相互尊重,2.94
2025/6/30,いよぎんホールディングス,5830,TOPIX Mid400,a0910000000FroL,2022,社員の相互尊重,2.91
2025/6/30,いよぎんホールディングス,5830,TOPIX Mid400,a0910000000FroL,2023,社員の相互尊重,2.89
2025/6/30,いよぎんホールディングス,5830,TOPIX Mid400,a0910000000FroL,2024,社員の相互尊重,2.85
2025/6/30,いよぎんホールディングス,5830,TOPIX Mid400,a0910000000FroL,2025,社員の相互尊重,2.75
2025/6/30,いよぎんホールディングス,5830,TOPIX Mid400,a0910000000FroL,2016,20代成長環境,2.77
2025/6/30,いよぎんホールディングス,5830,TOPIX Mid400,a0910000000FroL,2017,20代成長環境,2.77
2025/6/30,いよぎんホールディングス,5830,TOPIX Mid400,a0910000000FroL,2018,20代成長環境,2.77
2025/6/30,いよぎんホールディングス,5830,TOPIX Mid400,a0910000000FroL,2019,20代成長環境,2.73
