date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2016,クチコミ総合評価,2.94
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2017,クチコミ総合評価,2.94
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2018,クチコミ総合評価,2.95
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2019,クチコミ総合評価,2.99
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2020,クチコミ総合評価,2.97
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2021,クチコミ総合評価,2.99
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2022,クチコミ総合評価,3.04
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2023,クチコミ総合評価,3.12
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2024,クチコミ総合評価,3.06
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2025,クチコミ総合評価,3.19
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2016,待遇面の満足度,2.93
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2017,待遇面の満足度,2.9
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2018,待遇面の満足度,2.89
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2019,待遇面の満足度,2.95
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2020,待遇面の満足度,2.93
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2021,待遇面の満足度,2.95
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2022,待遇面の満足度,2.99
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2023,待遇面の満足度,3.12
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2024,待遇面の満足度,3.03
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2025,待遇面の満足度,3.15
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2016,社員の士気,2.62
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2017,社員の士気,2.63
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2018,社員の士気,2.65
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2019,社員の士気,2.71
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2020,社員の士気,2.63
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2021,社員の士気,2.61
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2022,社員の士気,2.67
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2023,社員の士気,2.74
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2024,社員の士気,2.72
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2025,社員の士気,2.73
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2016,風通しの良さ,2.31
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2017,風通しの良さ,2.33
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2018,風通しの良さ,2.35
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2019,風通しの良さ,2.45
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2020,風通しの良さ,2.41
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2021,風通しの良さ,2.46
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2022,風通しの良さ,2.53
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2023,風通しの良さ,2.64
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2024,風通しの良さ,2.61
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2025,風通しの良さ,2.62
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2016,社員の相互尊重,2.65
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2017,社員の相互尊重,2.69
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2018,社員の相互尊重,2.72
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2019,社員の相互尊重,2.79
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2020,社員の相互尊重,2.77
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2021,社員の相互尊重,2.77
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2022,社員の相互尊重,2.8
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2023,社員の相互尊重,2.91
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2024,社員の相互尊重,2.82
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2025,社員の相互尊重,2.88
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2016,20代成長環境,2.55
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2017,20代成長環境,2.56
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2018,20代成長環境,2.61
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2019,20代成長環境,2.61
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2020,20代成長環境,2.6
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2021,20代成長環境,2.62
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2022,20代成長環境,2.7
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2023,20代成長環境,2.79
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2024,20代成長環境,2.72
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2025,20代成長環境,2.73
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2016,人材の長期育成,2.63
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2017,人材の長期育成,2.59
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2018,人材の長期育成,2.63
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2019,人材の長期育成,2.68
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2020,人材の長期育成,2.65
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2021,人材の長期育成,2.7
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2022,人材の長期育成,2.74
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2023,人材の長期育成,2.79
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2024,人材の長期育成,2.68
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2025,人材の長期育成,2.81
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2016,法令順守意識,4.84
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2017,法令順守意識,4.87
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2018,法令順守意識,4.88
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2019,法令順守意識,4.89
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2020,法令順守意識,4.9
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2021,法令順守意識,4.91
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2022,法令順守意識,4.89
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2023,法令順守意識,4.86
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2024,法令順守意識,4.9
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2025,法令順守意識,4.93
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2016,人事評価の適正感,2.88
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2017,人事評価の適正感,2.88
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2018,人事評価の適正感,2.8
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2019,人事評価の適正感,2.78
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2020,人事評価の適正感,2.77
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2021,人事評価の適正感,2.86
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2022,人事評価の適正感,2.89
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2023,人事評価の適正感,2.96
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2024,人事評価の適正感,2.94
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2025,人事評価の適正感,3.37
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2016,有給休暇消化率,63.05
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2017,有給休暇消化率,62
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2018,有給休暇消化率,62.52
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2019,有給休暇消化率,65.56
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2020,有給休暇消化率,65.3
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2021,有給休暇消化率,63.43
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2022,有給休暇消化率,65.03
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2023,有給休暇消化率,66.38
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2024,有給休暇消化率,68.92
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2025,有給休暇消化率,75
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2016,残業時間(月間),25.63
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2017,残業時間(月間),25.48
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2018,残業時間(月間),25.06
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2019,残業時間(月間),25.84
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2020,残業時間(月間),26.54
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2021,残業時間(月間),27.2
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2022,残業時間(月間),27.84
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2023,残業時間(月間),27.27
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2024,残業時間(月間),29.13
2025/6/30,しずおかフィナンシャルグループ,5831,TOPIX Mid400,a0910000000Frnx,2025,残業時間(月間),30.77
