date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,京都フィナンシャルグループ,5844,TOPIX Mid400,a0910000000FroA,2016,クチコミ総合評価,3
2025/6/30,京都フィナンシャルグループ,5844,TOPIX Mid400,a0910000000FroA,2017,クチコミ総合評価,2.99
2025/6/30,京都フィナンシャルグループ,5844,TOPIX Mid400,a0910000000FroA,2018,クチコミ総合評価,2.96
2025/6/30,京都フィナンシャルグループ,5844,TOPIX Mid400,a0910000000FroA,2019,クチコミ総合評価,3
2025/6/30,京都フィナンシャルグループ,5844,TOPIX Mid400,a0910000000FroA,2020,クチコミ総合評価,3.02
2025/6/30,京都フィナンシャルグループ,5844,TOPIX Mid400,a0910000000FroA,2021,クチコミ総合評価,3.06
2025/6/30,京都フィナンシャルグループ,5844,TOPIX Mid400,a0910000000FroA,2022,クチコミ総合評価,3.08
2025/6/30,京都フィナンシャルグループ,5844,TOPIX Mid400,a0910000000FroA,2023,クチコミ総合評価,3.04
2025/6/30,京都フィナンシャルグループ,5844,TOPIX Mid400,a0910000000FroA,2024,クチコミ総合評価,3.06
2025/6/30,京都フィナンシャルグループ,5844,TOPIX Mid400,a0910000000FroA,2025,クチコミ総合評価,3.13
2025/6/30,京都フィナンシャルグループ,5844,TOPIX Mid400,a0910000000FroA,2016,待遇面の満足度,2.8
2025/6/30,京都フィナンシャルグループ,5844,TOPIX Mid400,a0910000000FroA,2017,待遇面の満足度,2.72
2025/6/30,京都フィナンシャルグループ,5844,TOPIX Mid400,a0910000000FroA,2018,待遇面の満足度,2.66
2025/6/30,京都フィナンシャルグループ,5844,TOPIX Mid400,a0910000000FroA,2019,待遇面の満足度,2.68
2025/6/30,京都フィナンシャルグループ,5844,TOPIX Mid400,a0910000000FroA,2020,待遇面の満足度,2.68
2025/6/30,京都フィナンシャルグループ,5844,TOPIX Mid400,a0910000000FroA,2021,待遇面の満足度,2.67
2025/6/30,京都フィナンシャルグループ,5844,TOPIX Mid400,a0910000000FroA,2022,待遇面の満足度,2.6
2025/6/30,京都フィナンシャルグループ,5844,TOPIX Mid400,a0910000000FroA,2023,待遇面の満足度,2.51
2025/6/30,京都フィナンシャルグループ,5844,TOPIX Mid400,a0910000000FroA,2024,待遇面の満足度,2.53
2025/6/30,京都フィナンシャルグループ,5844,TOPIX Mid400,a0910000000FroA,2025,待遇面の満足度,2.21
2025/6/30,京都フィナンシャルグループ,5844,TOPIX Mid400,a0910000000FroA,2016,社員の士気,2.71
2025/6/30,京都フィナンシャルグループ,5844,TOPIX Mid400,a0910000000FroA,2017,社員の士気,2.71
2025/6/30,京都フィナンシャルグループ,5844,TOPIX Mid400,a0910000000FroA,2018,社員の士気,2.67
2025/6/30,京都フィナンシャルグループ,5844,TOPIX Mid400,a0910000000FroA,2019,社員の士気,2.68
2025/6/30,京都フィナンシャルグループ,5844,TOPIX Mid400,a0910000000FroA,2020,社員の士気,2.74
2025/6/30,京都フィナンシャルグループ,5844,TOPIX Mid400,a0910000000FroA,2021,社員の士気,2.84
2025/6/30,京都フィナンシャルグループ,5844,TOPIX Mid400,a0910000000FroA,2022,社員の士気,2.87
2025/6/30,京都フィナンシャルグループ,5844,TOPIX Mid400,a0910000000FroA,2023,社員の士気,2.88
2025/6/30,京都フィナンシャルグループ,5844,TOPIX Mid400,a0910000000FroA,2024,社員の士気,3.04
2025/6/30,京都フィナンシャルグループ,5844,TOPIX Mid400,a0910000000FroA,2025,社員の士気,3.41
2025/6/30,京都フィナンシャルグループ,5844,TOPIX Mid400,a0910000000FroA,2016,風通しの良さ,2.41
2025/6/30,京都フィナンシャルグループ,5844,TOPIX Mid400,a0910000000FroA,2017,風通しの良さ,2.43
2025/6/30,京都フィナンシャルグループ,5844,TOPIX Mid400,a0910000000FroA,2018,風通しの良さ,2.42
2025/6/30,京都フィナンシャルグループ,5844,TOPIX Mid400,a0910000000FroA,2019,風通しの良さ,2.5
2025/6/30,京都フィナンシャルグループ,5844,TOPIX Mid400,a0910000000FroA,2020,風通しの良さ,2.56
2025/6/30,京都フィナンシャルグループ,5844,TOPIX Mid400,a0910000000FroA,2021,風通しの良さ,2.6
2025/6/30,京都フィナンシャルグループ,5844,TOPIX Mid400,a0910000000FroA,2022,風通しの良さ,2.67
2025/6/30,京都フィナンシャルグループ,5844,TOPIX Mid400,a0910000000FroA,2023,風通しの良さ,2.59
2025/6/30,京都フィナンシャルグループ,5844,TOPIX Mid400,a0910000000FroA,2024,風通しの良さ,2.51
2025/6/30,京都フィナンシャルグループ,5844,TOPIX Mid400,a0910000000FroA,2025,風通しの良さ,2.43
2025/6/30,京都フィナンシャルグループ,5844,TOPIX Mid400,a0910000000FroA,2016,社員の相互尊重,2.77
2025/6/30,京都フィナンシャルグループ,5844,TOPIX Mid400,a0910000000FroA,2017,社員の相互尊重,2.75
