date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,東洋製罐グループホールディングス,5901,TOPIX Mid400,a0C1000000lN4kR,2016,クチコミ総合評価,3.08
2025/6/30,東洋製罐グループホールディングス,5901,TOPIX Mid400,a0C1000000lN4kR,2017,クチコミ総合評価,3.13
2025/6/30,東洋製罐グループホールディングス,5901,TOPIX Mid400,a0C1000000lN4kR,2018,クチコミ総合評価,3.17
2025/6/30,東洋製罐グループホールディングス,5901,TOPIX Mid400,a0C1000000lN4kR,2019,クチコミ総合評価,3.32
2025/6/30,東洋製罐グループホールディングス,5901,TOPIX Mid400,a0C1000000lN4kR,2020,クチコミ総合評価,3.29
2025/6/30,東洋製罐グループホールディングス,5901,TOPIX Mid400,a0C1000000lN4kR,2021,クチコミ総合評価,3.27
2025/6/30,東洋製罐グループホールディングス,5901,TOPIX Mid400,a0C1000000lN4kR,2022,クチコミ総合評価,3.14
2025/6/30,東洋製罐グループホールディングス,5901,TOPIX Mid400,a0C1000000lN4kR,2023,クチコミ総合評価,3.04
2025/6/30,東洋製罐グループホールディングス,5901,TOPIX Mid400,a0C1000000lN4kR,2024,クチコミ総合評価,3.04
2025/6/30,東洋製罐グループホールディングス,5901,TOPIX Mid400,a0C1000000lN4kR,2025,クチコミ総合評価,2.85
2025/6/30,東洋製罐グループホールディングス,5901,TOPIX Mid400,a0C1000000lN4kR,2016,待遇面の満足度,3
2025/6/30,東洋製罐グループホールディングス,5901,TOPIX Mid400,a0C1000000lN4kR,2017,待遇面の満足度,3.14
2025/6/30,東洋製罐グループホールディングス,5901,TOPIX Mid400,a0C1000000lN4kR,2018,待遇面の満足度,3
2025/6/30,東洋製罐グループホールディングス,5901,TOPIX Mid400,a0C1000000lN4kR,2019,待遇面の満足度,3
2025/6/30,東洋製罐グループホールディングス,5901,TOPIX Mid400,a0C1000000lN4kR,2020,待遇面の満足度,3
2025/6/30,東洋製罐グループホールディングス,5901,TOPIX Mid400,a0C1000000lN4kR,2021,待遇面の満足度,2.89
2025/6/30,東洋製罐グループホールディングス,5901,TOPIX Mid400,a0C1000000lN4kR,2022,待遇面の満足度,2.67
2025/6/30,東洋製罐グループホールディングス,5901,TOPIX Mid400,a0C1000000lN4kR,2023,待遇面の満足度,2.64
2025/6/30,東洋製罐グループホールディングス,5901,TOPIX Mid400,a0C1000000lN4kR,2024,待遇面の満足度,2.56
2025/6/30,東洋製罐グループホールディングス,5901,TOPIX Mid400,a0C1000000lN4kR,2025,待遇面の満足度,2.21
2025/6/30,東洋製罐グループホールディングス,5901,TOPIX Mid400,a0C1000000lN4kR,2016,社員の士気,3
2025/6/30,東洋製罐グループホールディングス,5901,TOPIX Mid400,a0C1000000lN4kR,2017,社員の士気,3
2025/6/30,東洋製罐グループホールディングス,5901,TOPIX Mid400,a0C1000000lN4kR,2018,社員の士気,3
2025/6/30,東洋製罐グループホールディングス,5901,TOPIX Mid400,a0C1000000lN4kR,2019,社員の士気,3.16
2025/6/30,東洋製罐グループホールディングス,5901,TOPIX Mid400,a0C1000000lN4kR,2020,社員の士気,3
2025/6/30,東洋製罐グループホールディングス,5901,TOPIX Mid400,a0C1000000lN4kR,2021,社員の士気,2.89
2025/6/30,東洋製罐グループホールディングス,5901,TOPIX Mid400,a0C1000000lN4kR,2022,社員の士気,2.59
2025/6/30,東洋製罐グループホールディングス,5901,TOPIX Mid400,a0C1000000lN4kR,2023,社員の士気,2.37
2025/6/30,東洋製罐グループホールディングス,5901,TOPIX Mid400,a0C1000000lN4kR,2024,社員の士気,2.34
2025/6/30,東洋製罐グループホールディングス,5901,TOPIX Mid400,a0C1000000lN4kR,2025,社員の士気,1.81
2025/6/30,東洋製罐グループホールディングス,5901,TOPIX Mid400,a0C1000000lN4kR,2016,風通しの良さ,3.26
2025/6/30,東洋製罐グループホールディングス,5901,TOPIX Mid400,a0C1000000lN4kR,2017,風通しの良さ,3.27
2025/6/30,東洋製罐グループホールディングス,5901,TOPIX Mid400,a0C1000000lN4kR,2018,風通しの良さ,3.26
2025/6/30,東洋製罐グループホールディングス,5901,TOPIX Mid400,a0C1000000lN4kR,2019,風通しの良さ,3.46
2025/6/30,東洋製罐グループホールディングス,5901,TOPIX Mid400,a0C1000000lN4kR,2020,風通しの良さ,3.5
2025/6/30,東洋製罐グループホールディングス,5901,TOPIX Mid400,a0C1000000lN4kR,2021,風通しの良さ,3.61
2025/6/30,東洋製罐グループホールディングス,5901,TOPIX Mid400,a0C1000000lN4kR,2022,風通しの良さ,3.46
2025/6/30,東洋製罐グループホールディングス,5901,TOPIX Mid400,a0C1000000lN4kR,2023,風通しの良さ,3.18
2025/6/30,東洋製罐グループホールディングス,5901,TOPIX Mid400,a0C1000000lN4kR,2024,風通しの良さ,3.21
2025/6/30,東洋製罐グループホールディングス,5901,TOPIX Mid400,a0C1000000lN4kR,2025,風通しの良さ,3.38
2025/6/30,東洋製罐グループホールディングス,5901,TOPIX Mid400,a0C1000000lN4kR,2016,社員の相互尊重,3.13
2025/6/30,東洋製罐グループホールディングス,5901,TOPIX Mid400,a0C1000000lN4kR,2017,社員の相互尊重,2.93
2025/6/30,東洋製罐グループホールディングス,5901,TOPIX Mid400,a0C1000000lN4kR,2018,社員の相互尊重,3.13
2025/6/30,東洋製罐グループホールディングス,5901,TOPIX Mid400,a0C1000000lN4kR,2019,社員の相互尊重,3
2025/6/30,東洋製罐グループホールディングス,5901,TOPIX Mid400,a0C1000000lN4kR,2020,社員の相互尊重,3
2025/6/30,東洋製罐グループホールディングス,5901,TOPIX Mid400,a0C1000000lN4kR,2021,社員の相互尊重,3
