date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,日本発條,5991,TOPIX Mid400,a0910000000FrHB,2016,クチコミ総合評価,2.88
2025/6/30,日本発條,5991,TOPIX Mid400,a0910000000FrHB,2017,クチコミ総合評価,2.92
2025/6/30,日本発條,5991,TOPIX Mid400,a0910000000FrHB,2018,クチコミ総合評価,3.02
2025/6/30,日本発條,5991,TOPIX Mid400,a0910000000FrHB,2019,クチコミ総合評価,3.05
2025/6/30,日本発條,5991,TOPIX Mid400,a0910000000FrHB,2020,クチコミ総合評価,3.07
2025/6/30,日本発條,5991,TOPIX Mid400,a0910000000FrHB,2021,クチコミ総合評価,3.11
2025/6/30,日本発條,5991,TOPIX Mid400,a0910000000FrHB,2022,クチコミ総合評価,3.18
2025/6/30,日本発條,5991,TOPIX Mid400,a0910000000FrHB,2023,クチコミ総合評価,3.2
2025/6/30,日本発條,5991,TOPIX Mid400,a0910000000FrHB,2024,クチコミ総合評価,3.32
2025/6/30,日本発條,5991,TOPIX Mid400,a0910000000FrHB,2025,クチコミ総合評価,3.34
2025/6/30,日本発條,5991,TOPIX Mid400,a0910000000FrHB,2016,待遇面の満足度,3.48
2025/6/30,日本発條,5991,TOPIX Mid400,a0910000000FrHB,2017,待遇面の満足度,3.51
2025/6/30,日本発條,5991,TOPIX Mid400,a0910000000FrHB,2018,待遇面の満足度,3.64
2025/6/30,日本発條,5991,TOPIX Mid400,a0910000000FrHB,2019,待遇面の満足度,3.56
2025/6/30,日本発條,5991,TOPIX Mid400,a0910000000FrHB,2020,待遇面の満足度,3.53
2025/6/30,日本発條,5991,TOPIX Mid400,a0910000000FrHB,2021,待遇面の満足度,3.52
2025/6/30,日本発條,5991,TOPIX Mid400,a0910000000FrHB,2022,待遇面の満足度,3.49
2025/6/30,日本発條,5991,TOPIX Mid400,a0910000000FrHB,2023,待遇面の満足度,3.63
2025/6/30,日本発條,5991,TOPIX Mid400,a0910000000FrHB,2024,待遇面の満足度,3.67
2025/6/30,日本発條,5991,TOPIX Mid400,a0910000000FrHB,2025,待遇面の満足度,3.51
2025/6/30,日本発條,5991,TOPIX Mid400,a0910000000FrHB,2016,社員の士気,2.56
2025/6/30,日本発條,5991,TOPIX Mid400,a0910000000FrHB,2017,社員の士気,2.59
2025/6/30,日本発條,5991,TOPIX Mid400,a0910000000FrHB,2018,社員の士気,2.61
2025/6/30,日本発條,5991,TOPIX Mid400,a0910000000FrHB,2019,社員の士気,2.58
2025/6/30,日本発條,5991,TOPIX Mid400,a0910000000FrHB,2020,社員の士気,2.56
2025/6/30,日本発條,5991,TOPIX Mid400,a0910000000FrHB,2021,社員の士気,2.58
2025/6/30,日本発條,5991,TOPIX Mid400,a0910000000FrHB,2022,社員の士気,2.74
2025/6/30,日本発條,5991,TOPIX Mid400,a0910000000FrHB,2023,社員の士気,2.73
2025/6/30,日本発條,5991,TOPIX Mid400,a0910000000FrHB,2024,社員の士気,2.8
2025/6/30,日本発條,5991,TOPIX Mid400,a0910000000FrHB,2025,社員の士気,2.82
2025/6/30,日本発條,5991,TOPIX Mid400,a0910000000FrHB,2016,風通しの良さ,2.89
2025/6/30,日本発條,5991,TOPIX Mid400,a0910000000FrHB,2017,風通しの良さ,2.95
2025/6/30,日本発條,5991,TOPIX Mid400,a0910000000FrHB,2018,風通しの良さ,3.1
2025/6/30,日本発條,5991,TOPIX Mid400,a0910000000FrHB,2019,風通しの良さ,3.22
2025/6/30,日本発條,5991,TOPIX Mid400,a0910000000FrHB,2020,風通しの良さ,3.29
2025/6/30,日本発條,5991,TOPIX Mid400,a0910000000FrHB,2021,風通しの良さ,3.39
2025/6/30,日本発條,5991,TOPIX Mid400,a0910000000FrHB,2022,風通しの良さ,3.41
2025/6/30,日本発條,5991,TOPIX Mid400,a0910000000FrHB,2023,風通しの良さ,3.41
2025/6/30,日本発條,5991,TOPIX Mid400,a0910000000FrHB,2024,風通しの良さ,3.38
