date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,テクノプロ・ホールディングス,6028,TOPIX Mid400,a0C1000000lN4kU,2016,クチコミ総合評価,2.97
2025/6/30,テクノプロ・ホールディングス,6028,TOPIX Mid400,a0C1000000lN4kU,2017,クチコミ総合評価,2.99
2025/6/30,テクノプロ・ホールディングス,6028,TOPIX Mid400,a0C1000000lN4kU,2018,クチコミ総合評価,3.1
2025/6/30,テクノプロ・ホールディングス,6028,TOPIX Mid400,a0C1000000lN4kU,2019,クチコミ総合評価,3.13
2025/6/30,テクノプロ・ホールディングス,6028,TOPIX Mid400,a0C1000000lN4kU,2020,クチコミ総合評価,3.13
2025/6/30,テクノプロ・ホールディングス,6028,TOPIX Mid400,a0C1000000lN4kU,2021,クチコミ総合評価,3.08
2025/6/30,テクノプロ・ホールディングス,6028,TOPIX Mid400,a0C1000000lN4kU,2022,クチコミ総合評価,3.08
2025/6/30,テクノプロ・ホールディングス,6028,TOPIX Mid400,a0C1000000lN4kU,2023,クチコミ総合評価,3.01
2025/6/30,テクノプロ・ホールディングス,6028,TOPIX Mid400,a0C1000000lN4kU,2024,クチコミ総合評価,2.97
2025/6/30,テクノプロ・ホールディングス,6028,TOPIX Mid400,a0C1000000lN4kU,2025,クチコミ総合評価,2.97
2025/6/30,テクノプロ・ホールディングス,6028,TOPIX Mid400,a0C1000000lN4kU,2016,待遇面の満足度,2.34
2025/6/30,テクノプロ・ホールディングス,6028,TOPIX Mid400,a0C1000000lN4kU,2017,待遇面の満足度,2.31
2025/6/30,テクノプロ・ホールディングス,6028,TOPIX Mid400,a0C1000000lN4kU,2018,待遇面の満足度,2.46
2025/6/30,テクノプロ・ホールディングス,6028,TOPIX Mid400,a0C1000000lN4kU,2019,待遇面の満足度,2.58
2025/6/30,テクノプロ・ホールディングス,6028,TOPIX Mid400,a0C1000000lN4kU,2020,待遇面の満足度,2.55
2025/6/30,テクノプロ・ホールディングス,6028,TOPIX Mid400,a0C1000000lN4kU,2021,待遇面の満足度,2.62
2025/6/30,テクノプロ・ホールディングス,6028,TOPIX Mid400,a0C1000000lN4kU,2022,待遇面の満足度,2.59
2025/6/30,テクノプロ・ホールディングス,6028,TOPIX Mid400,a0C1000000lN4kU,2023,待遇面の満足度,2.73
2025/6/30,テクノプロ・ホールディングス,6028,TOPIX Mid400,a0C1000000lN4kU,2024,待遇面の満足度,2.86
2025/6/30,テクノプロ・ホールディングス,6028,TOPIX Mid400,a0C1000000lN4kU,2025,待遇面の満足度,2.83
2025/6/30,テクノプロ・ホールディングス,6028,TOPIX Mid400,a0C1000000lN4kU,2016,社員の士気,2.72
2025/6/30,テクノプロ・ホールディングス,6028,TOPIX Mid400,a0C1000000lN4kU,2017,社員の士気,2.76
2025/6/30,テクノプロ・ホールディングス,6028,TOPIX Mid400,a0C1000000lN4kU,2018,社員の士気,2.96
2025/6/30,テクノプロ・ホールディングス,6028,TOPIX Mid400,a0C1000000lN4kU,2019,社員の士気,3
2025/6/30,テクノプロ・ホールディングス,6028,TOPIX Mid400,a0C1000000lN4kU,2020,社員の士気,3
2025/6/30,テクノプロ・ホールディングス,6028,TOPIX Mid400,a0C1000000lN4kU,2021,社員の士気,3.09
2025/6/30,テクノプロ・ホールディングス,6028,TOPIX Mid400,a0C1000000lN4kU,2022,社員の士気,2.94
2025/6/30,テクノプロ・ホールディングス,6028,TOPIX Mid400,a0C1000000lN4kU,2023,社員の士気,2.91
2025/6/30,テクノプロ・ホールディングス,6028,TOPIX Mid400,a0C1000000lN4kU,2024,社員の士気,2.86
2025/6/30,テクノプロ・ホールディングス,6028,TOPIX Mid400,a0C1000000lN4kU,2025,社員の士気,2.67
2025/6/30,テクノプロ・ホールディングス,6028,TOPIX Mid400,a0C1000000lN4kU,2016,風通しの良さ,3.13
2025/6/30,テクノプロ・ホールディングス,6028,TOPIX Mid400,a0C1000000lN4kU,2017,風通しの良さ,3.13
2025/6/30,テクノプロ・ホールディングス,6028,TOPIX Mid400,a0C1000000lN4kU,2018,風通しの良さ,3.39
2025/6/30,テクノプロ・ホールディングス,6028,TOPIX Mid400,a0C1000000lN4kU,2019,風通しの良さ,3.38
2025/6/30,テクノプロ・ホールディングス,6028,TOPIX Mid400,a0C1000000lN4kU,2020,風通しの良さ,3.25
2025/6/30,テクノプロ・ホールディングス,6028,TOPIX Mid400,a0C1000000lN4kU,2021,風通しの良さ,3.18
2025/6/30,テクノプロ・ホールディングス,6028,TOPIX Mid400,a0C1000000lN4kU,2022,風通しの良さ,3.33
2025/6/30,テクノプロ・ホールディングス,6028,TOPIX Mid400,a0C1000000lN4kU,2023,風通しの良さ,3.17
2025/6/30,テクノプロ・ホールディングス,6028,TOPIX Mid400,a0C1000000lN4kU,2024,風通しの良さ,3
2025/6/30,テクノプロ・ホールディングス,6028,TOPIX Mid400,a0C1000000lN4kU,2025,風通しの良さ,2.84
2025/6/30,テクノプロ・ホールディングス,6028,TOPIX Mid400,a0C1000000lN4kU,2016,社員の相互尊重,2.86
2025/6/30,テクノプロ・ホールディングス,6028,TOPIX Mid400,a0C1000000lN4kU,2017,社員の相互尊重,2.9
2025/6/30,テクノプロ・ホールディングス,6028,TOPIX Mid400,a0C1000000lN4kU,2018,社員の相互尊重,2.86
2025/6/30,テクノプロ・ホールディングス,6028,TOPIX Mid400,a0C1000000lN4kU,2019,社員の相互尊重,2.88
2025/6/30,テクノプロ・ホールディングス,6028,TOPIX Mid400,a0C1000000lN4kU,2020,社員の相互尊重,2.91
2025/6/30,テクノプロ・ホールディングス,6028,TOPIX Mid400,a0C1000000lN4kU,2021,社員の相互尊重,2.86
2025/6/30,テクノプロ・ホールディングス,6028,TOPIX Mid400,a0C1000000lN4kU,2022,社員の相互尊重,2.76
2025/6/30,テクノプロ・ホールディングス,6028,TOPIX Mid400,a0C1000000lN4kU,2023,社員の相互尊重,2.73
