date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,アマダ,6113,TOPIX Mid400,a0910000000FrHY,2016,クチコミ総合評価,2.75
2025/6/30,アマダ,6113,TOPIX Mid400,a0910000000FrHY,2017,クチコミ総合評価,2.71
2025/6/30,アマダ,6113,TOPIX Mid400,a0910000000FrHY,2018,クチコミ総合評価,2.7
2025/6/30,アマダ,6113,TOPIX Mid400,a0910000000FrHY,2019,クチコミ総合評価,2.7
2025/6/30,アマダ,6113,TOPIX Mid400,a0910000000FrHY,2020,クチコミ総合評価,2.78
2025/6/30,アマダ,6113,TOPIX Mid400,a0910000000FrHY,2021,クチコミ総合評価,2.78
2025/6/30,アマダ,6113,TOPIX Mid400,a0910000000FrHY,2022,クチコミ総合評価,2.96
2025/6/30,アマダ,6113,TOPIX Mid400,a0910000000FrHY,2023,クチコミ総合評価,3.05
2025/6/30,アマダ,6113,TOPIX Mid400,a0910000000FrHY,2024,クチコミ総合評価,2.95
2025/6/30,アマダ,6113,TOPIX Mid400,a0910000000FrHY,2025,クチコミ総合評価,3.04
2025/6/30,アマダ,6113,TOPIX Mid400,a0910000000FrHY,2016,待遇面の満足度,2.86
2025/6/30,アマダ,6113,TOPIX Mid400,a0910000000FrHY,2017,待遇面の満足度,2.87
2025/6/30,アマダ,6113,TOPIX Mid400,a0910000000FrHY,2018,待遇面の満足度,2.88
2025/6/30,アマダ,6113,TOPIX Mid400,a0910000000FrHY,2019,待遇面の満足度,2.86
2025/6/30,アマダ,6113,TOPIX Mid400,a0910000000FrHY,2020,待遇面の満足度,2.88
2025/6/30,アマダ,6113,TOPIX Mid400,a0910000000FrHY,2021,待遇面の満足度,2.89
2025/6/30,アマダ,6113,TOPIX Mid400,a0910000000FrHY,2022,待遇面の満足度,3.12
2025/6/30,アマダ,6113,TOPIX Mid400,a0910000000FrHY,2023,待遇面の満足度,3.33
2025/6/30,アマダ,6113,TOPIX Mid400,a0910000000FrHY,2024,待遇面の満足度,3
2025/6/30,アマダ,6113,TOPIX Mid400,a0910000000FrHY,2025,待遇面の満足度,2.67
2025/6/30,アマダ,6113,TOPIX Mid400,a0910000000FrHY,2016,社員の士気,2.68
2025/6/30,アマダ,6113,TOPIX Mid400,a0910000000FrHY,2017,社員の士気,2.6
2025/6/30,アマダ,6113,TOPIX Mid400,a0910000000FrHY,2018,社員の士気,2.64
2025/6/30,アマダ,6113,TOPIX Mid400,a0910000000FrHY,2019,社員の士気,2.72
2025/6/30,アマダ,6113,TOPIX Mid400,a0910000000FrHY,2020,社員の士気,2.75
2025/6/30,アマダ,6113,TOPIX Mid400,a0910000000FrHY,2021,社員の士気,2.67
2025/6/30,アマダ,6113,TOPIX Mid400,a0910000000FrHY,2022,社員の士気,2.74
2025/6/30,アマダ,6113,TOPIX Mid400,a0910000000FrHY,2023,社員の士気,2.78
2025/6/30,アマダ,6113,TOPIX Mid400,a0910000000FrHY,2024,社員の士気,2.88
2025/6/30,アマダ,6113,TOPIX Mid400,a0910000000FrHY,2025,社員の士気,3
2025/6/30,アマダ,6113,TOPIX Mid400,a0910000000FrHY,2016,風通しの良さ,2.89
2025/6/30,アマダ,6113,TOPIX Mid400,a0910000000FrHY,2017,風通しの良さ,2.86
2025/6/30,アマダ,6113,TOPIX Mid400,a0910000000FrHY,2018,風通しの良さ,2.89
2025/6/30,アマダ,6113,TOPIX Mid400,a0910000000FrHY,2019,風通しの良さ,2.97
2025/6/30,アマダ,6113,TOPIX Mid400,a0910000000FrHY,2020,風通しの良さ,3.03
2025/6/30,アマダ,6113,TOPIX Mid400,a0910000000FrHY,2021,風通しの良さ,3.03
2025/6/30,アマダ,6113,TOPIX Mid400,a0910000000FrHY,2022,風通しの良さ,3.23
2025/6/30,アマダ,6113,TOPIX Mid400,a0910000000FrHY,2023,風通しの良さ,3.29
2025/6/30,アマダ,6113,TOPIX Mid400,a0910000000FrHY,2024,風通しの良さ,3.24
2025/6/30,アマダ,6113,TOPIX Mid400,a0910000000FrHY,2025,風通しの良さ,3.32
2025/6/30,アマダ,6113,TOPIX Mid400,a0910000000FrHY,2016,社員の相互尊重,2.71
2025/6/30,アマダ,6113,TOPIX Mid400,a0910000000FrHY,2017,社員の相互尊重,2.64
2025/6/30,アマダ,6113,TOPIX Mid400,a0910000000FrHY,2018,社員の相互尊重,2.63
2025/6/30,アマダ,6113,TOPIX Mid400,a0910000000FrHY,2019,社員の相互尊重,2.68
2025/6/30,アマダ,6113,TOPIX Mid400,a0910000000FrHY,2020,社員の相互尊重,2.8
2025/6/30,アマダ,6113,TOPIX Mid400,a0910000000FrHY,2021,社員の相互尊重,2.72
2025/6/30,アマダ,6113,TOPIX Mid400,a0910000000FrHY,2022,社員の相互尊重,2.76
2025/6/30,アマダ,6113,TOPIX Mid400,a0910000000FrHY,2023,社員の相互尊重,2.85
2025/6/30,アマダ,6113,TOPIX Mid400,a0910000000FrHY,2024,社員の相互尊重,2.83
2025/6/30,アマダ,6113,TOPIX Mid400,a0910000000FrHY,2025,社員の相互尊重,3.88
2025/6/30,アマダ,6113,TOPIX Mid400,a0910000000FrHY,2016,20代成長環境,2.85
2025/6/30,アマダ,6113,TOPIX Mid400,a0910000000FrHY,2017,20代成長環境,2.77
2025/6/30,アマダ,6113,TOPIX Mid400,a0910000000FrHY,2018,20代成長環境,2.7
2025/6/30,アマダ,6113,TOPIX Mid400,a0910000000FrHY,2019,20代成長環境,2.68
2025/6/30,アマダ,6113,TOPIX Mid400,a0910000000FrHY,2020,20代成長環境,2.82
2025/6/30,アマダ,6113,TOPIX Mid400,a0910000000FrHY,2021,20代成長環境,2.75
2025/6/30,アマダ,6113,TOPIX Mid400,a0910000000FrHY,2022,20代成長環境,2.88
