date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2016,クチコミ総合評価,2.95
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2017,クチコミ総合評価,3.01
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2018,クチコミ総合評価,3.04
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2019,クチコミ総合評価,2.98
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2020,クチコミ総合評価,3.04
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2021,クチコミ総合評価,3.06
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2022,クチコミ総合評価,2.99
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2023,クチコミ総合評価,3.14
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2024,クチコミ総合評価,3.32
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2025,クチコミ総合評価,3.29
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2016,待遇面の満足度,3.32
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2017,待遇面の満足度,3.36
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2018,待遇面の満足度,3.42
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2019,待遇面の満足度,3.11
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2020,待遇面の満足度,3.12
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2021,待遇面の満足度,3.13
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2022,待遇面の満足度,3
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2023,待遇面の満足度,3.21
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2024,待遇面の満足度,3
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2025,待遇面の満足度,3
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2016,社員の士気,2.58
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2017,社員の士気,2.59
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2018,社員の士気,2.65
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2019,社員の士気,2.79
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2020,社員の士気,2.88
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2021,社員の士気,2.94
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2022,社員の士気,2.86
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2023,社員の士気,3
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2024,社員の士気,3
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2025,社員の士気,3
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2016,風通しの良さ,3
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2017,風通しの良さ,2.95
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2018,風通しの良さ,3
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2019,風通しの良さ,2.95
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2020,風通しの良さ,3
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2021,風通しの良さ,3
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2022,風通しの良さ,2.93
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2023,風通しの良さ,3
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2024,風通しの良さ,3.6
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2025,風通しの良さ,3.87
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2016,社員の相互尊重,2.67
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2017,社員の相互尊重,2.76
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2018,社員の相互尊重,2.82
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2019,社員の相互尊重,2.89
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2020,社員の相互尊重,2.88
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2021,社員の相互尊重,2.93
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2022,社員の相互尊重,2.86
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2023,社員の相互尊重,2.89
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2024,社員の相互尊重,3.6
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2025,社員の相互尊重,3.87
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2016,20代成長環境,2.73
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2017,20代成長環境,2.62
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2018,20代成長環境,2.73
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2019,20代成長環境,2.73
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2020,20代成長環境,2.75
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2021,20代成長環境,2.8
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2022,20代成長環境,2.65
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2023,20代成長環境,2.67
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2024,20代成長環境,3
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2025,20代成長環境,3
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2016,人材の長期育成,2.51
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2017,人材の長期育成,2.48
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2018,人材の長期育成,2.6
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2019,人材の長期育成,2.56
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2020,人材の長期育成,2.63
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2021,人材の長期育成,2.67
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2022,人材の長期育成,2.51
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2023,人材の長期育成,2.56
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2024,人材の長期育成,2.34
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2025,人材の長期育成,2.01
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2016,法令順守意識,3.53
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2017,法令順守意識,3.79
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2018,法令順守意識,3.7
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2019,法令順守意識,3.69
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2020,法令順守意識,3.84
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2021,法令順守意識,3.81
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2022,法令順守意識,3.94
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2023,法令順守意識,4.09
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2024,法令順守意識,4.31
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2025,法令順守意識,3.76
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2016,人事評価の適正感,2.95
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2017,人事評価の適正感,3.09
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2018,人事評価の適正感,3
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2019,人事評価の適正感,2.84
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2020,人事評価の適正感,2.88
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2021,人事評価の適正感,2.87
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2022,人事評価の適正感,2.93
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2023,人事評価の適正感,3.21
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2024,人事評価の適正感,3
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2025,人事評価の適正感,3
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2016,有給休暇消化率,64.44
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2017,有給休暇消化率,59.52
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2018,有給休暇消化率,60.68
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2019,有給休暇消化率,60.83
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2020,有給休暇消化率,63.75
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2021,有給休暇消化率,63.33
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2022,有給休暇消化率,61.79
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2023,有給休暇消化率,50.56
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2024,有給休暇消化率,40
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2025,有給休暇消化率,45
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2016,残業時間(月間),30.17
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2017,残業時間(月間),27.76
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2018,残業時間(月間),27.86
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2019,残業時間(月間),25.17
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2020,残業時間(月間),23.94
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2021,残業時間(月間),23.53
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2022,残業時間(月間),23.07
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2023,残業時間(月間),25.56
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2024,残業時間(月間),26.67
2025/6/30,ＦＵＪＩ,6134,TOPIX Mid400,a0910000000FrHe,2025,残業時間(月間),20
