date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,オーエスジー,6136,TOPIX Mid400,a0910000000FrHg,2016,クチコミ総合評価,3.61
2025/6/30,オーエスジー,6136,TOPIX Mid400,a0910000000FrHg,2017,クチコミ総合評価,3.8
2025/6/30,オーエスジー,6136,TOPIX Mid400,a0910000000FrHg,2018,クチコミ総合評価,3.72
2025/6/30,オーエスジー,6136,TOPIX Mid400,a0910000000FrHg,2019,クチコミ総合評価,3.69
2025/6/30,オーエスジー,6136,TOPIX Mid400,a0910000000FrHg,2020,クチコミ総合評価,3.63
2025/6/30,オーエスジー,6136,TOPIX Mid400,a0910000000FrHg,2021,クチコミ総合評価,3.33
2025/6/30,オーエスジー,6136,TOPIX Mid400,a0910000000FrHg,2022,クチコミ総合評価,3.37
2025/6/30,オーエスジー,6136,TOPIX Mid400,a0910000000FrHg,2023,クチコミ総合評価,3.27
2025/6/30,オーエスジー,6136,TOPIX Mid400,a0910000000FrHg,2024,クチコミ総合評価,3.21
2025/6/30,オーエスジー,6136,TOPIX Mid400,a0910000000FrHg,2025,クチコミ総合評価,3
2025/6/30,オーエスジー,6136,TOPIX Mid400,a0910000000FrHg,2016,待遇面の満足度,3.78
2025/6/30,オーエスジー,6136,TOPIX Mid400,a0910000000FrHg,2017,待遇面の満足度,3.97
2025/6/30,オーエスジー,6136,TOPIX Mid400,a0910000000FrHg,2018,待遇面の満足度,4.02
2025/6/30,オーエスジー,6136,TOPIX Mid400,a0910000000FrHg,2019,待遇面の満足度,3.77
2025/6/30,オーエスジー,6136,TOPIX Mid400,a0910000000FrHg,2020,待遇面の満足度,3.69
2025/6/30,オーエスジー,6136,TOPIX Mid400,a0910000000FrHg,2021,待遇面の満足度,3.52
2025/6/30,オーエスジー,6136,TOPIX Mid400,a0910000000FrHg,2022,待遇面の満足度,3.58
2025/6/30,オーエスジー,6136,TOPIX Mid400,a0910000000FrHg,2023,待遇面の満足度,3.47
2025/6/30,オーエスジー,6136,TOPIX Mid400,a0910000000FrHg,2024,待遇面の満足度,3
2025/6/30,オーエスジー,6136,TOPIX Mid400,a0910000000FrHg,2025,待遇面の満足度,3
2025/6/30,オーエスジー,6136,TOPIX Mid400,a0910000000FrHg,2016,社員の士気,3.33
2025/6/30,オーエスジー,6136,TOPIX Mid400,a0910000000FrHg,2017,社員の士気,3.56
2025/6/30,オーエスジー,6136,TOPIX Mid400,a0910000000FrHg,2018,社員の士気,3.29
2025/6/30,オーエスジー,6136,TOPIX Mid400,a0910000000FrHg,2019,社員の士気,3
2025/6/30,オーエスジー,6136,TOPIX Mid400,a0910000000FrHg,2020,社員の士気,2.9
2025/6/30,オーエスジー,6136,TOPIX Mid400,a0910000000FrHg,2021,社員の士気,2.78
2025/6/30,オーエスジー,6136,TOPIX Mid400,a0910000000FrHg,2022,社員の士気,2.75
2025/6/30,オーエスジー,6136,TOPIX Mid400,a0910000000FrHg,2023,社員の士気,2.63
2025/6/30,オーエスジー,6136,TOPIX Mid400,a0910000000FrHg,2024,社員の士気,2.5
2025/6/30,オーエスジー,6136,TOPIX Mid400,a0910000000FrHg,2025,社員の士気,2.33
2025/6/30,オーエスジー,6136,TOPIX Mid400,a0910000000FrHg,2016,風通しの良さ,4.09
2025/6/30,オーエスジー,6136,TOPIX Mid400,a0910000000FrHg,2017,風通しの良さ,4.21
2025/6/30,オーエスジー,6136,TOPIX Mid400,a0910000000FrHg,2018,風通しの良さ,4.34
2025/6/30,オーエスジー,6136,TOPIX Mid400,a0910000000FrHg,2019,風通しの良さ,4.29
2025/6/30,オーエスジー,6136,TOPIX Mid400,a0910000000FrHg,2020,風通しの良さ,4.23
2025/6/30,オーエスジー,6136,TOPIX Mid400,a0910000000FrHg,2021,風通しの良さ,3.96
2025/6/30,オーエスジー,6136,TOPIX Mid400,a0910000000FrHg,2022,風通しの良さ,4.05
2025/6/30,オーエスジー,6136,TOPIX Mid400,a0910000000FrHg,2023,風通しの良さ,4.37
2025/6/30,オーエスジー,6136,TOPIX Mid400,a0910000000FrHg,2024,風通しの良さ,4.32
2025/6/30,オーエスジー,6136,TOPIX Mid400,a0910000000FrHg,2025,風通しの良さ,3.61
2025/6/30,オーエスジー,6136,TOPIX Mid400,a0910000000FrHg,2016,社員の相互尊重,3.64
2025/6/30,オーエスジー,6136,TOPIX Mid400,a0910000000FrHg,2017,社員の相互尊重,3.84
2025/6/30,オーエスジー,6136,TOPIX Mid400,a0910000000FrHg,2018,社員の相互尊重,3.8
2025/6/30,オーエスジー,6136,TOPIX Mid400,a0910000000FrHg,2019,社員の相互尊重,3.77
2025/6/30,オーエスジー,6136,TOPIX Mid400,a0910000000FrHg,2020,社員の相互尊重,3.53
2025/6/30,オーエスジー,6136,TOPIX Mid400,a0910000000FrHg,2021,社員の相互尊重,3.22
2025/6/30,オーエスジー,6136,TOPIX Mid400,a0910000000FrHg,2022,社員の相互尊重,3.36
2025/6/30,オーエスジー,6136,TOPIX Mid400,a0910000000FrHg,2023,社員の相互尊重,3.24
2025/6/30,オーエスジー,6136,TOPIX Mid400,a0910000000FrHg,2024,社員の相互尊重,3.32
2025/6/30,オーエスジー,6136,TOPIX Mid400,a0910000000FrHg,2025,社員の相互尊重,3.61
2025/6/30,オーエスジー,6136,TOPIX Mid400,a0910000000FrHg,2016,20代成長環境,3.09
2025/6/30,オーエスジー,6136,TOPIX Mid400,a0910000000FrHg,2017,20代成長環境,3.25
2025/6/30,オーエスジー,6136,TOPIX Mid400,a0910000000FrHg,2018,20代成長環境,3.29
2025/6/30,オーエスジー,6136,TOPIX Mid400,a0910000000FrHg,2019,20代成長環境,3.19
2025/6/30,オーエスジー,6136,TOPIX Mid400,a0910000000FrHg,2020,20代成長環境,3.19
2025/6/30,オーエスジー,6136,TOPIX Mid400,a0910000000FrHg,2021,20代成長環境,2.89
2025/6/30,オーエスジー,6136,TOPIX Mid400,a0910000000FrHg,2022,20代成長環境,2.81
2025/6/30,オーエスジー,6136,TOPIX Mid400,a0910000000FrHg,2023,20代成長環境,2.75
2025/6/30,オーエスジー,6136,TOPIX Mid400,a0910000000FrHg,2024,20代成長環境,3
2025/6/30,オーエスジー,6136,TOPIX Mid400,a0910000000FrHg,2025,20代成長環境,2.67
2025/6/30,オーエスジー,6136,TOPIX Mid400,a0910000000FrHg,2016,人材の長期育成,3.09
2025/6/30,オーエスジー,6136,TOPIX Mid400,a0910000000FrHg,2017,人材の長期育成,3.09
2025/6/30,オーエスジー,6136,TOPIX Mid400,a0910000000FrHg,2018,人材の長期育成,2.9
2025/6/30,オーエスジー,6136,TOPIX Mid400,a0910000000FrHg,2019,人材の長期育成,3.09
2025/6/30,オーエスジー,6136,TOPIX Mid400,a0910000000FrHg,2020,人材の長期育成,3.09
2025/6/30,オーエスジー,6136,TOPIX Mid400,a0910000000FrHg,2021,人材の長期育成,2.94
2025/6/30,オーエスジー,6136,TOPIX Mid400,a0910000000FrHg,2022,人材の長期育成,2.88
2025/6/30,オーエスジー,6136,TOPIX Mid400,a0910000000FrHg,2023,人材の長期育成,2.75
2025/6/30,オーエスジー,6136,TOPIX Mid400,a0910000000FrHg,2024,人材の長期育成,2.83
2025/6/30,オーエスジー,6136,TOPIX Mid400,a0910000000FrHg,2025,人材の長期育成,2.67
2025/6/30,オーエスジー,6136,TOPIX Mid400,a0910000000FrHg,2016,法令順守意識,3.49
2025/6/30,オーエスジー,6136,TOPIX Mid400,a0910000000FrHg,2017,法令順守意識,3.71
2025/6/30,オーエスジー,6136,TOPIX Mid400,a0910000000FrHg,2018,法令順守意識,3.64
2025/6/30,オーエスジー,6136,TOPIX Mid400,a0910000000FrHg,2019,法令順守意識,3.69
2025/6/30,オーエスジー,6136,TOPIX Mid400,a0910000000FrHg,2020,法令順守意識,3.77
