date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,ＤＭＧ森精機,6141,TOPIX Mid400,a0910000000FrHk,2016,クチコミ総合評価,3.3
2025/6/30,ＤＭＧ森精機,6141,TOPIX Mid400,a0910000000FrHk,2017,クチコミ総合評価,3.31
2025/6/30,ＤＭＧ森精機,6141,TOPIX Mid400,a0910000000FrHk,2018,クチコミ総合評価,3.33
2025/6/30,ＤＭＧ森精機,6141,TOPIX Mid400,a0910000000FrHk,2019,クチコミ総合評価,3.26
2025/6/30,ＤＭＧ森精機,6141,TOPIX Mid400,a0910000000FrHk,2020,クチコミ総合評価,3.25
2025/6/30,ＤＭＧ森精機,6141,TOPIX Mid400,a0910000000FrHk,2021,クチコミ総合評価,3.3
2025/6/30,ＤＭＧ森精機,6141,TOPIX Mid400,a0910000000FrHk,2022,クチコミ総合評価,3.25
2025/6/30,ＤＭＧ森精機,6141,TOPIX Mid400,a0910000000FrHk,2023,クチコミ総合評価,3.45
2025/6/30,ＤＭＧ森精機,6141,TOPIX Mid400,a0910000000FrHk,2024,クチコミ総合評価,3.63
2025/6/30,ＤＭＧ森精機,6141,TOPIX Mid400,a0910000000FrHk,2025,クチコミ総合評価,4.32
2025/6/30,ＤＭＧ森精機,6141,TOPIX Mid400,a0910000000FrHk,2016,待遇面の満足度,4.12
2025/6/30,ＤＭＧ森精機,6141,TOPIX Mid400,a0910000000FrHk,2017,待遇面の満足度,4.18
2025/6/30,ＤＭＧ森精機,6141,TOPIX Mid400,a0910000000FrHk,2018,待遇面の満足度,4.2
2025/6/30,ＤＭＧ森精機,6141,TOPIX Mid400,a0910000000FrHk,2019,待遇面の満足度,4.3
2025/6/30,ＤＭＧ森精機,6141,TOPIX Mid400,a0910000000FrHk,2020,待遇面の満足度,4.26
2025/6/30,ＤＭＧ森精機,6141,TOPIX Mid400,a0910000000FrHk,2021,待遇面の満足度,4.23
2025/6/30,ＤＭＧ森精機,6141,TOPIX Mid400,a0910000000FrHk,2022,待遇面の満足度,4.28
2025/6/30,ＤＭＧ森精機,6141,TOPIX Mid400,a0910000000FrHk,2023,待遇面の満足度,4.37
2025/6/30,ＤＭＧ森精機,6141,TOPIX Mid400,a0910000000FrHk,2024,待遇面の満足度,4.25
2025/6/30,ＤＭＧ森精機,6141,TOPIX Mid400,a0910000000FrHk,2025,待遇面の満足度,4.5
2025/6/30,ＤＭＧ森精機,6141,TOPIX Mid400,a0910000000FrHk,2016,社員の士気,2.67
2025/6/30,ＤＭＧ森精機,6141,TOPIX Mid400,a0910000000FrHk,2017,社員の士気,2.69
2025/6/30,ＤＭＧ森精機,6141,TOPIX Mid400,a0910000000FrHk,2018,社員の士気,2.71
2025/6/30,ＤＭＧ森精機,6141,TOPIX Mid400,a0910000000FrHk,2019,社員の士気,2.64
2025/6/30,ＤＭＧ森精機,6141,TOPIX Mid400,a0910000000FrHk,2020,社員の士気,2.68
2025/6/30,ＤＭＧ森精機,6141,TOPIX Mid400,a0910000000FrHk,2021,社員の士気,2.71
2025/6/30,ＤＭＧ森精機,6141,TOPIX Mid400,a0910000000FrHk,2022,社員の士気,2.53
2025/6/30,ＤＭＧ森精機,6141,TOPIX Mid400,a0910000000FrHk,2023,社員の士気,2.61
2025/6/30,ＤＭＧ森精機,6141,TOPIX Mid400,a0910000000FrHk,2024,社員の士気,2.68
2025/6/30,ＤＭＧ森精機,6141,TOPIX Mid400,a0910000000FrHk,2025,社員の士気,3.68
2025/6/30,ＤＭＧ森精機,6141,TOPIX Mid400,a0910000000FrHk,2016,風通しの良さ,2.81
2025/6/30,ＤＭＧ森精機,6141,TOPIX Mid400,a0910000000FrHk,2017,風通しの良さ,2.81
2025/6/30,ＤＭＧ森精機,6141,TOPIX Mid400,a0910000000FrHk,2018,風通しの良さ,2.86
2025/6/30,ＤＭＧ森精機,6141,TOPIX Mid400,a0910000000FrHk,2019,風通しの良さ,2.82
2025/6/30,ＤＭＧ森精機,6141,TOPIX Mid400,a0910000000FrHk,2020,風通しの良さ,2.81
2025/6/30,ＤＭＧ森精機,6141,TOPIX Mid400,a0910000000FrHk,2021,風通しの良さ,2.79
2025/6/30,ＤＭＧ森精機,6141,TOPIX Mid400,a0910000000FrHk,2022,風通しの良さ,2.63
2025/6/30,ＤＭＧ森精機,6141,TOPIX Mid400,a0910000000FrHk,2023,風通しの良さ,2.79
2025/6/30,ＤＭＧ森精機,6141,TOPIX Mid400,a0910000000FrHk,2024,風通しの良さ,3
2025/6/30,ＤＭＧ森精機,6141,TOPIX Mid400,a0910000000FrHk,2025,風通しの良さ,3.72
2025/6/30,ＤＭＧ森精機,6141,TOPIX Mid400,a0910000000FrHk,2016,社員の相互尊重,2.95
2025/6/30,ＤＭＧ森精機,6141,TOPIX Mid400,a0910000000FrHk,2017,社員の相互尊重,3
2025/6/30,ＤＭＧ森精機,6141,TOPIX Mid400,a0910000000FrHk,2018,社員の相互尊重,3.05
2025/6/30,ＤＭＧ森精機,6141,TOPIX Mid400,a0910000000FrHk,2019,社員の相互尊重,2.92
2025/6/30,ＤＭＧ森精機,6141,TOPIX Mid400,a0910000000FrHk,2020,社員の相互尊重,2.95
2025/6/30,ＤＭＧ森精機,6141,TOPIX Mid400,a0910000000FrHk,2021,社員の相互尊重,2.95
2025/6/30,ＤＭＧ森精機,6141,TOPIX Mid400,a0910000000FrHk,2022,社員の相互尊重,2.93
2025/6/30,ＤＭＧ森精機,6141,TOPIX Mid400,a0910000000FrHk,2023,社員の相互尊重,2.67
2025/6/30,ＤＭＧ森精機,6141,TOPIX Mid400,a0910000000FrHk,2024,社員の相互尊重,2.89
2025/6/30,ＤＭＧ森精機,6141,TOPIX Mid400,a0910000000FrHk,2025,社員の相互尊重,3.72
2025/6/30,ＤＭＧ森精機,6141,TOPIX Mid400,a0910000000FrHk,2016,20代成長環境,3.85
2025/6/30,ＤＭＧ森精機,6141,TOPIX Mid400,a0910000000FrHk,2017,20代成長環境,3.89
2025/6/30,ＤＭＧ森精機,6141,TOPIX Mid400,a0910000000FrHk,2018,20代成長環境,3.84
2025/6/30,ＤＭＧ森精機,6141,TOPIX Mid400,a0910000000FrHk,2019,20代成長環境,3.6
2025/6/30,ＤＭＧ森精機,6141,TOPIX Mid400,a0910000000FrHk,2020,20代成長環境,3.45
2025/6/30,ＤＭＧ森精機,6141,TOPIX Mid400,a0910000000FrHk,2021,20代成長環境,3.71
2025/6/30,ＤＭＧ森精機,6141,TOPIX Mid400,a0910000000FrHk,2022,20代成長環境,3.68
2025/6/30,ＤＭＧ森精機,6141,TOPIX Mid400,a0910000000FrHk,2023,20代成長環境,3.81
2025/6/30,ＤＭＧ森精機,6141,TOPIX Mid400,a0910000000FrHk,2024,20代成長環境,3.79
2025/6/30,ＤＭＧ森精機,6141,TOPIX Mid400,a0910000000FrHk,2025,20代成長環境,4.5
2025/6/30,ＤＭＧ森精機,6141,TOPIX Mid400,a0910000000FrHk,2016,人材の長期育成,2.6
2025/6/30,ＤＭＧ森精機,6141,TOPIX Mid400,a0910000000FrHk,2017,人材の長期育成,2.53
2025/6/30,ＤＭＧ森精機,6141,TOPIX Mid400,a0910000000FrHk,2018,人材の長期育成,2.52
2025/6/30,ＤＭＧ森精機,6141,TOPIX Mid400,a0910000000FrHk,2019,人材の長期育成,2.43
2025/6/30,ＤＭＧ森精機,6141,TOPIX Mid400,a0910000000FrHk,2020,人材の長期育成,2.4
2025/6/30,ＤＭＧ森精機,6141,TOPIX Mid400,a0910000000FrHk,2021,人材の長期育成,2.46
2025/6/30,ＤＭＧ森精機,6141,TOPIX Mid400,a0910000000FrHk,2022,人材の長期育成,2.39
2025/6/30,ＤＭＧ森精機,6141,TOPIX Mid400,a0910000000FrHk,2023,人材の長期育成,2.63
2025/6/30,ＤＭＧ森精機,6141,TOPIX Mid400,a0910000000FrHk,2024,人材の長期育成,2.78
2025/6/30,ＤＭＧ森精機,6141,TOPIX Mid400,a0910000000FrHk,2025,人材の長期育成,4
2025/6/30,ＤＭＧ森精機,6141,TOPIX Mid400,a0910000000FrHk,2016,法令順守意識,3.64
2025/6/30,ＤＭＧ森精機,6141,TOPIX Mid400,a0910000000FrHk,2017,法令順守意識,3.65
2025/6/30,ＤＭＧ森精機,6141,TOPIX Mid400,a0910000000FrHk,2018,法令順守意識,3.67
