date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,日本郵政,6178,TOPIX Large70,a0910000000GYAY,2016,クチコミ総合評価,2.83
2025/6/30,日本郵政,6178,TOPIX Large70,a0910000000GYAY,2017,クチコミ総合評価,2.86
2025/6/30,日本郵政,6178,TOPIX Large70,a0910000000GYAY,2018,クチコミ総合評価,2.88
2025/6/30,日本郵政,6178,TOPIX Large70,a0910000000GYAY,2019,クチコミ総合評価,2.95
2025/6/30,日本郵政,6178,TOPIX Large70,a0910000000GYAY,2020,クチコミ総合評価,2.99
2025/6/30,日本郵政,6178,TOPIX Large70,a0910000000GYAY,2021,クチコミ総合評価,3.2
2025/6/30,日本郵政,6178,TOPIX Large70,a0910000000GYAY,2022,クチコミ総合評価,3.21
2025/6/30,日本郵政,6178,TOPIX Large70,a0910000000GYAY,2023,クチコミ総合評価,3.04
2025/6/30,日本郵政,6178,TOPIX Large70,a0910000000GYAY,2024,クチコミ総合評価,2.9
2025/6/30,日本郵政,6178,TOPIX Large70,a0910000000GYAY,2025,クチコミ総合評価,3.17
2025/6/30,日本郵政,6178,TOPIX Large70,a0910000000GYAY,2016,待遇面の満足度,2.84
2025/6/30,日本郵政,6178,TOPIX Large70,a0910000000GYAY,2017,待遇面の満足度,2.8
2025/6/30,日本郵政,6178,TOPIX Large70,a0910000000GYAY,2018,待遇面の満足度,2.89
2025/6/30,日本郵政,6178,TOPIX Large70,a0910000000GYAY,2019,待遇面の満足度,2.98
2025/6/30,日本郵政,6178,TOPIX Large70,a0910000000GYAY,2020,待遇面の満足度,2.82
2025/6/30,日本郵政,6178,TOPIX Large70,a0910000000GYAY,2021,待遇面の満足度,2.92
2025/6/30,日本郵政,6178,TOPIX Large70,a0910000000GYAY,2022,待遇面の満足度,2.9
2025/6/30,日本郵政,6178,TOPIX Large70,a0910000000GYAY,2023,待遇面の満足度,2.95
2025/6/30,日本郵政,6178,TOPIX Large70,a0910000000GYAY,2024,待遇面の満足度,2.86
2025/6/30,日本郵政,6178,TOPIX Large70,a0910000000GYAY,2025,待遇面の満足度,3.4
2025/6/30,日本郵政,6178,TOPIX Large70,a0910000000GYAY,2016,社員の士気,2.39
2025/6/30,日本郵政,6178,TOPIX Large70,a0910000000GYAY,2017,社員の士気,2.39
2025/6/30,日本郵政,6178,TOPIX Large70,a0910000000GYAY,2018,社員の士気,2.49
2025/6/30,日本郵政,6178,TOPIX Large70,a0910000000GYAY,2019,社員の士気,2.55
2025/6/30,日本郵政,6178,TOPIX Large70,a0910000000GYAY,2020,社員の士気,2.64
2025/6/30,日本郵政,6178,TOPIX Large70,a0910000000GYAY,2021,社員の士気,2.73
2025/6/30,日本郵政,6178,TOPIX Large70,a0910000000GYAY,2022,社員の士気,2.83
2025/6/30,日本郵政,6178,TOPIX Large70,a0910000000GYAY,2023,社員の士気,2.59
2025/6/30,日本郵政,6178,TOPIX Large70,a0910000000GYAY,2024,社員の士気,2.33
2025/6/30,日本郵政,6178,TOPIX Large70,a0910000000GYAY,2025,社員の士気,2.75
2025/6/30,日本郵政,6178,TOPIX Large70,a0910000000GYAY,2016,風通しの良さ,2.65
2025/6/30,日本郵政,6178,TOPIX Large70,a0910000000GYAY,2017,風通しの良さ,2.69
2025/6/30,日本郵政,6178,TOPIX Large70,a0910000000GYAY,2018,風通しの良さ,2.79
2025/6/30,日本郵政,6178,TOPIX Large70,a0910000000GYAY,2019,風通しの良さ,2.87
2025/6/30,日本郵政,6178,TOPIX Large70,a0910000000GYAY,2020,風通しの良さ,3.34
2025/6/30,日本郵政,6178,TOPIX Large70,a0910000000GYAY,2021,風通しの良さ,3.51
2025/6/30,日本郵政,6178,TOPIX Large70,a0910000000GYAY,2022,風通しの良さ,3.52
2025/6/30,日本郵政,6178,TOPIX Large70,a0910000000GYAY,2023,風通しの良さ,3.34
2025/6/30,日本郵政,6178,TOPIX Large70,a0910000000GYAY,2024,風通しの良さ,3
2025/6/30,日本郵政,6178,TOPIX Large70,a0910000000GYAY,2025,風通しの良さ,3
2025/6/30,日本郵政,6178,TOPIX Large70,a0910000000GYAY,2016,社員の相互尊重,2.8
2025/6/30,日本郵政,6178,TOPIX Large70,a0910000000GYAY,2017,社員の相互尊重,2.86
